Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,ATL,,BRK,"W, 120-116",34:32,12,2,4,1,4,3,2,5,2,15,22,17,20,7,dyson
2024-10-25,ATL,,CHO,"W, 125-120",24:24,10,2,4,0,0,0,1,1,4,18,23,22,19,5,dyson
2024-10-27,ATL,@,OKC,"L, 104-128",34:17,11,0,4,1,2,2,6,8,2,7,17,9,15,10,dyson
2024-10-28,ATL,,WAS,"L, 119-121",36:25,9,2,5,1,2,0,3,3,1,11,15,12,14,4,dyson
2024-11-03,ATL,@,NOP,"W, 126-111",24:49,10,2,5,0,0,2,3,5,3,16,24,19,21,8,dyson
2024-11-04,ATL,,BOS,"L, 93-123",23:45,9,0,1,0,0,0,2,2,3,8,13,11,10,5,dyson
2024-11-06,ATL,,NYK,"W, 121-116",36:46,16,0,4,0,0,1,4,5,2,6,13,8,11,7,dyson
2024-11-08,ATL,@,DET,"L, 121-122",38:28,17,2,6,2,2,1,2,3,2,18,23,20,21,5,dyson
2024-11-09,ATL,,CHI,"L, 113-125",36:07,15,0,3,2,4,1,7,8,3,16,27,19,24,11,dyson
2024-11-12,ATL,@,BOS,"W, 117-116",40:57,21,1,5,3,5,0,3,3,7,28,38,35,31,10,dyson
2024-11-15,ATL,,WAS,"W, 129-117",35:36,14,2,5,3,3,2,2,4,3,25,32,28,29,7,dyson
2024-11-17,ATL,@,POR,"L, 110-114",35:55,17,1,5,1,1,5,3,8,5,12,25,17,20,13,dyson
2024-11-18,ATL,@,SAC,"W, 109-108",39:03,14,2,5,0,0,1,7,8,4,14,26,18,22,12,dyson
2024-11-20,ATL,@,GSW,"L, 97-120",30:59,12,1,3,0,0,3,3,6,3,11,20,14,17,9,dyson
2024-11-22,ATL,@,CHI,"L, 122-136",32:19,14,2,4,0,0,3,2,5,4,8,17,12,13,9,dyson
2024-11-25,ATL,,DAL,"L, 119-129",34:50,14,1,4,2,2,1,0,1,2,17,20,19,18,3,dyson
2024-11-27,ATL,@,CLE,"W, 135-124",35:45,11,2,3,2,2,3,7,10,1,12,23,13,22,11,dyson
2024-11-29,ATL,,CLE,"W, 117-101",34:41,10,1,2,0,2,2,5,7,4,7,18,11,14,11,dyson
2024-11-30,ATL,@,CHO,"W, 107-104",30:44,10,0,6,0,0,1,4,5,3,8,16,11,13,8,dyson
2024-12-02,ATL,,NOP,"W, 124-112",34:40,16,1,5,2,2,2,4,6,2,19,27,21,25,8,dyson
2024-12-04,ATL,@,MIL,"W, 119-104",31:09,7,1,2,2,2,0,2,2,6,9,17,15,11,8,dyson
2024-12-06,ATL,,LAL,"W, 134-132 (OT)",35:43,8,1,2,0,0,3,1,4,5,11,20,16,15,9,dyson
2024-12-08,ATL,,DEN,"L, 111-141",33:31,15,2,5,2,4,1,3,4,6,18,28,24,22,10,dyson
2024-12-11,ATL,@,NYK,"W, 108-100",35:57,10,1,1,0,0,5,2,7,3,9,19,12,16,10,dyson
2024-12-14,ATL,@,MIL,"L, 102-110",38:00,10,0,3,1,4,1,7,8,5,11,24,16,19,13,dyson
2024-12-19,ATL,@,SAS,"L, 126-133 (OT)",27:35,6,0,2,0,0,1,4,5,2,4,11,6,9,7,dyson
2024-12-21,ATL,,MEM,"L, 112-128",29:27,9,3,5,0,0,1,2,3,6,15,24,21,18,9,dyson
2024-12-23,ATL,,MIN,"W, 117-104",34:03,10,1,2,1,2,0,4,4,4,10,18,14,14,8,dyson
2024-12-26,ATL,,CHI,"W, 141-133",33:14,9,3,5,0,0,1,6,7,4,15,26,19,22,11,dyson
2025-01-01,ATL,@,DEN,"L, 120-139",30:00,17,1,7,0,0,3,2,5,6,9,20,15,14,11,dyson
2025-01-03,ATL,@,LAL,"L, 102-119",30:56,14,1,5,0,1,0,3,3,4,13,20,17,16,7,dyson
2025-01-04,ATL,@,LAC,"L, 105-131",29:34,10,0,1,1,2,1,2,3,1,11,15,12,14,4,dyson
2025-01-07,ATL,@,UTA,"W, 124-121",35:11,12,2,4,0,0,1,5,6,7,16,29,23,22,13,dyson
2025-01-09,ATL,@,PHO,"L, 115-123",36:24,12,1,2,0,0,2,2,4,3,13,20,16,17,7,dyson
2025-01-14,ATL,,PHO,"W, 122-117",33:39,11,1,3,0,0,2,2,4,3,9,16,12,13,7,dyson
2025-01-15,ATL,@,CHI,"W, 110-94",33:43,16,1,4,3,7,5,3,8,3,18,29,21,26,11,dyson
2025-01-18,ATL,@,BOS,"W, 119-115 (OT)",39:52,14,1,3,0,0,1,3,4,4,23,31,27,27,8,dyson
2025-01-20,ATL,@,NYK,"L, 110-119",30:52,7,0,1,0,0,2,2,4,3,10,17,13,14,7,dyson
2025-01-22,ATL,,DET,"L, 104-114",32:50,21,0,5,0,1,4,6,10,2,20,32,22,30,12,dyson
2025-01-23,ATL,,TOR,"L, 119-122",36:42,14,2,4,4,5,4,4,8,5,22,35,27,30,13,dyson
2025-01-25,ATL,,TOR,"L, 94-117",34:18,11,1,2,0,1,1,5,6,6,13,25,19,19,12,dyson
2025-01-28,ATL,,HOU,"L, 96-100",36:41,12,1,5,3,3,2,8,10,6,12,28,18,22,16,dyson
2025-01-30,ATL,@,CLE,"L, 115-137",30:29,8,1,1,0,0,1,6,7,5,7,19,12,14,12,dyson
2025-02-01,ATL,@,IND,"L, 127-132",35:36,15,2,3,5,6,1,3,4,4,23,31,27,27,8,dyson
2025-02-03,ATL,@,DET,"W, 132-130",36:25,10,1,1,6,10,1,5,6,7,19,32,26,25,13,dyson
2025-02-05,ATL,,SAS,"L, 125-126",38:21,14,1,2,2,2,2,6,8,7,19,34,26,27,15,dyson
2025-02-07,ATL,,MIL,"W, 115-110",38:10,12,1,2,4,7,0,6,6,10,15,31,25,21,16,dyson
2025-02-08,ATL,@,WAS,"W, 125-111",35:18,13,0,0,3,4,4,5,9,4,11,24,15,20,13,dyson
2025-02-10,ATL,@,ORL,"W, 112-106",33:12,8,0,0,0,0,0,6,6,4,10,20,14,16,10,dyson
2025-02-12,ATL,@,NYK,"L, 148-149 (OT)",36:29,15,2,3,1,2,1,3,4,4,23,31,27,27,8,dyson
2025-02-20,ATL,,ORL,"L, 108-114",33:36,15,0,3,4,6,3,8,11,4,10,25,14,21,15,dyson
2025-02-23,ATL,,DET,"L, 143-148",38:16,14,3,3,1,2,0,5,5,6,24,35,30,29,11,dyson
2025-02-24,ATL,,MIA,"W, 98-86",33:48,12,0,3,0,0,2,9,11,2,10,23,12,21,13,dyson
2025-02-26,ATL,@,MIA,"L, 109-131",33:01,10,1,1,1,2,2,3,5,5,18,28,23,23,10,dyson
2025-02-28,ATL,,OKC,"L, 119-135",32:27,10,0,0,0,2,1,3,4,3,10,17,13,14,7,dyson
2025-03-03,ATL,@,MEM,"W, 132-130",33:22,10,0,0,2,4,0,3,3,7,14,24,21,17,10,dyson
2025-03-04,ATL,,MIL,"L, 121-127",33:31,14,2,4,0,2,0,9,9,6,16,31,22,25,15,dyson
2025-03-06,ATL,,IND,"W, 124-118",34:43,12,1,1,0,0,0,4,4,5,17,26,22,21,9,dyson
2025-03-08,ATL,,IND,"W, 120-118",34:42,10,2,3,0,0,1,5,6,4,10,20,14,16,10,dyson
2025-03-10,ATL,,PHI,"W, 132-123",33:06,14,1,2,4,5,1,5,6,9,25,40,34,31,15,dyson
2025-03-12,ATL,,CHO,"W, 123-110",34:01,14,0,1,0,0,2,3,5,3,10,18,13,15,8,dyson
2025-03-14,ATL,,LAC,"L, 98-121",31:22,12,0,4,2,2,2,4,6,5,6,17,11,12,11,dyson
2025-03-16,ATL,@,BRK,"L, 114-122",34:19,11,1,2,1,4,3,3,6,7,14,27,21,20,13,dyson
2025-03-18,ATL,@,CHO,"W, 134-102",27:36,12,1,2,1,3,2,5,7,7,22,36,29,29,14,dyson
2025-03-22,ATL,,GSW,"W, 124-115",35:01,9,2,5,0,0,2,9,11,6,12,29,18,23,17,dyson
2025-03-23,ATL,,PHI,"W, 132-119",33:50,12,0,3,0,0,0,5,5,3,8,16,11,13,8,dyson
2025-03-25,ATL,@,HOU,"L, 114-121",36:01,14,3,6,2,2,4,4,8,10,19,37,29,27,18,dyson
2025-03-27,ATL,@,MIA,"L, 112-122",35:09,10,1,4,0,0,2,6,8,3,9,20,12,17,11,dyson
2025-03-30,ATL,@,MIL,"W, 145-124",33:34,15,0,3,2,2,3,6,9,6,22,37,28,31,15,dyson
2025-04-01,ATL,,POR,"L, 113-127",36:42,13,0,1,0,0,2,8,10,1,22,33,23,32,11,dyson
2025-04-02,ATL,@,DAL,"L, 118-120",32:53,12,3,4,0,0,2,4,6,5,17,28,22,23,11,dyson
2025-04-05,ATL,,NYK,"L, 105-121",26:38,8,1,2,1,2,2,0,2,1,12,15,13,14,3,dyson
2025-04-06,ATL,,UTA,"W, 147-134",36:13,16,2,4,1,2,0,6,6,6,19,31,25,25,12,dyson
2025-04-08,ATL,@,ORL,"L, 112-119",33:53,12,0,2,1,2,2,3,5,3,15,23,18,20,8,dyson
2025-04-10,ATL,@,BRK,"W, 133-109",28:20,9,0,0,2,2,0,9,9,9,10,28,19,19,18,dyson
