Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,ATL,,BRK,"W, 120-116",36:51,9,0,3,3,8,1,9,10,4,11,25,15,21,14,jalen
2024-10-25,ATL,,CHO,"W, 125-120",41:10,15,1,4,7,9,2,5,7,3,16,26,19,23,10,jalen
2024-10-27,ATL,@,OKC,"L, 104-128",29:12,13,1,3,0,0,1,8,9,2,7,18,9,16,11,jalen
2024-10-28,ATL,,WAS,"L, 119-121",38:48,17,1,3,6,7,2,10,12,7,29,48,36,41,19,jalen
2024-10-30,ATL,@,WAS,"L, 120-133",40:21,21,1,5,2,5,6,11,17,4,21,42,25,38,21,jalen
2024-11-01,ATL,,SAC,"L, 115-123",36:00,10,2,6,4,6,1,4,5,9,14,28,23,19,14,jalen
2024-11-03,ATL,@,NOP,"W, 126-111",37:54,20,0,4,5,6,2,7,9,8,29,46,37,38,17,jalen
2024-11-04,ATL,,BOS,"L, 93-123",30:35,20,2,7,4,5,2,9,11,4,20,35,24,31,15,jalen
2024-11-06,ATL,,NYK,"W, 121-116",39:15,18,3,6,0,0,4,11,15,7,23,45,30,38,22,jalen
2024-11-08,ATL,@,DET,"L, 121-122",37:10,19,2,6,2,2,0,9,9,1,20,30,21,29,10,jalen
2024-11-09,ATL,,CHI,"L, 113-125",34:07,11,3,6,5,6,1,5,6,5,20,31,25,26,11,jalen
2024-11-12,ATL,@,BOS,"W, 117-116",38:50,16,2,4,0,0,2,10,12,10,18,40,28,30,22,jalen
2024-11-15,ATL,,WAS,"W, 129-117",34:52,15,1,5,1,1,2,11,13,7,18,38,25,31,20,jalen
2024-11-17,ATL,@,POR,"L, 110-114",37:13,14,1,2,4,4,0,4,4,4,25,33,29,29,8,jalen
2024-11-20,ATL,@,GSW,"L, 97-120",34:59,16,3,5,0,0,3,11,14,4,15,33,19,29,18,jalen
2024-11-22,ATL,@,CHI,"L, 122-136",36:45,19,2,5,3,4,4,9,13,5,25,43,30,38,18,jalen
2024-11-25,ATL,,DAL,"L, 119-129",37:00,20,2,6,2,2,0,11,11,3,28,42,31,39,14,jalen
2024-11-27,ATL,@,CLE,"W, 135-124",34:51,16,2,4,2,2,2,7,9,7,22,38,29,31,16,jalen
2024-11-29,ATL,,CLE,"W, 117-101",34:59,14,2,4,0,0,0,9,9,7,20,36,27,29,16,jalen
2024-11-30,ATL,@,CHO,"W, 107-104",38:24,12,4,6,0,0,0,3,3,9,20,32,29,23,12,jalen
2024-12-02,ATL,,NOP,"W, 124-112",31:41,14,1,4,0,0,0,7,7,5,19,31,24,26,12,jalen
2024-12-04,ATL,@,MIL,"W, 119-104",40:11,19,0,2,3,3,3,10,13,5,23,41,28,36,18,jalen
2024-12-06,ATL,,LAL,"W, 134-132 (OT)",34:40,8,1,4,3,4,0,10,10,7,12,29,19,22,17,jalen
2024-12-11,ATL,@,NYK,"W, 108-100",41:11,20,1,5,4,6,4,11,15,7,21,43,28,36,22,jalen
2024-12-14,ATL,@,MIL,"L, 102-110",39:07,15,0,4,3,5,1,9,10,4,15,29,19,25,14,jalen
2024-12-19,ATL,@,SAS,"L, 126-133 (OT)",38:44,14,1,1,5,6,1,8,9,3,22,34,25,31,12,jalen
2024-12-21,ATL,,MEM,"L, 112-128",33:01,12,1,3,4,5,1,10,11,8,13,32,21,24,19,jalen
2024-12-23,ATL,,MIN,"W, 117-104",35:00,14,0,3,1,1,2,9,11,7,17,35,24,28,18,jalen
2024-12-26,ATL,,CHI,"W, 141-133",39:03,16,0,2,8,9,5,10,15,4,30,49,34,45,19,jalen
2024-12-28,ATL,,MIA,"W, 120-110",35:19,20,2,3,0,1,4,9,13,5,28,46,33,41,18,jalen
2024-12-29,ATL,@,TOR,"W, 136-107",33:04,14,1,5,2,4,0,4,4,3,15,22,18,19,7,jalen
2025-01-03,ATL,@,LAL,"L, 102-119",32:59,13,1,3,2,2,2,6,8,1,19,28,20,27,9,jalen
2025-01-18,ATL,@,BOS,"W, 119-115 (OT)",37:41,13,0,2,4,7,2,11,13,3,14,30,17,27,16,jalen
2025-01-20,ATL,@,NYK,"L, 110-119",34:55,12,0,0,3,3,1,11,12,4,11,27,15,23,16,jalen
2025-01-22,ATL,,DET,"L, 104-114",37:32,21,0,6,1,1,1,8,9,4,17,30,21,26,13,jalen
2025-01-23,ATL,,TOR,"L, 119-122",10:47,2,0,0,1,2,0,1,1,1,3,5,4,4,2,jalen
