Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,ATL,,BRK,"W, 120-116",28:29,12,0,0,6,6,4,4,8,1,28,37,29,36,9,onyeka
2024-10-25,ATL,,CHO,"W, 125-120",26:27,6,1,2,0,0,0,8,8,3,7,18,10,15,11,onyeka
2024-10-27,ATL,@,OKC,"L, 104-128",23:22,9,1,2,7,9,2,1,3,1,14,18,15,17,4,onyeka
2024-10-30,ATL,@,WAS,"L, 120-133",24:07,5,0,4,0,0,1,2,3,2,2,7,4,5,5,onyeka
2024-11-01,ATL,,SAC,"L, 115-123",19:12,5,0,1,3,4,1,3,4,1,11,16,12,15,5,onyeka
2024-11-04,ATL,,BOS,"L, 93-123",22:52,12,0,3,2,2,5,5,10,0,18,28,18,28,10,onyeka
2024-11-06,ATL,,NYK,"W, 121-116",20:08,6,0,1,0,0,2,2,4,5,2,11,7,6,9,onyeka
2024-11-08,ATL,@,DET,"L, 121-122",16:49,7,0,1,0,0,2,3,5,3,8,16,11,13,8,onyeka
2024-11-09,ATL,,CHI,"L, 113-125",22:25,5,1,1,3,4,1,6,7,1,8,16,9,15,8,onyeka
2024-11-12,ATL,@,BOS,"W, 117-116",30:42,11,1,4,0,0,4,2,6,2,15,23,17,21,8,onyeka
2024-11-15,ATL,,WAS,"W, 129-117",25:57,9,0,2,3,3,4,9,13,0,13,26,13,26,13,onyeka
2024-11-17,ATL,@,POR,"L, 110-114",28:06,9,0,1,3,4,2,9,11,3,11,25,14,22,14,onyeka
2024-11-18,ATL,@,SAC,"W, 109-108",19:32,5,0,1,1,1,0,2,2,0,7,9,7,9,2,onyeka
2024-11-20,ATL,@,GSW,"L, 97-120",23:05,6,2,4,3,6,2,5,7,0,9,16,9,16,7,onyeka
2024-11-22,ATL,@,CHI,"L, 122-136",21:19,9,0,2,1,2,0,6,6,1,7,14,8,13,7,onyeka
2024-11-25,ATL,,DAL,"L, 119-129",22:01,11,0,2,0,0,5,2,7,1,8,16,9,15,8,onyeka
2024-11-27,ATL,@,CLE,"W, 135-124",29:28,7,0,0,0,0,2,3,5,4,10,19,14,15,9,onyeka
2024-11-29,ATL,,CLE,"W, 117-101",21:42,8,1,2,2,2,2,5,7,2,15,24,17,22,9,onyeka
2024-11-30,ATL,@,CHO,"W, 107-104",28:03,10,0,2,6,6,6,5,11,2,16,29,18,27,13,onyeka
2024-12-02,ATL,,NOP,"W, 124-112",19:14,5,0,0,4,5,1,3,4,1,12,17,13,16,5,onyeka
2024-12-04,ATL,@,MIL,"W, 119-104",24:19,10,1,3,2,3,2,4,6,1,13,20,14,19,7,onyeka
2024-12-06,ATL,,LAL,"W, 134-132 (OT)",29:05,11,0,1,1,3,3,3,6,0,15,21,15,21,6,onyeka
2024-12-08,ATL,,DEN,"L, 111-141",24:52,10,0,0,4,4,7,2,9,1,14,24,15,23,10,onyeka
2024-12-11,ATL,@,NYK,"W, 108-100",23:11,10,0,0,0,2,5,6,11,0,12,23,12,23,11,onyeka
2024-12-14,ATL,@,MIL,"L, 102-110",19:16,5,2,2,2,2,0,3,3,0,8,11,8,11,3,onyeka
2024-12-29,ATL,@,TOR,"W, 136-107",18:06,8,0,1,3,5,2,2,4,0,15,19,15,19,4,onyeka
2025-01-01,ATL,@,DEN,"L, 120-139",24:23,6,1,3,0,0,1,6,7,2,9,18,11,16,9,onyeka
2025-01-03,ATL,@,LAL,"L, 102-119",23:52,12,0,1,0,0,7,4,11,2,14,27,16,25,13,onyeka
2025-01-04,ATL,@,LAC,"L, 105-131",24:23,7,0,3,0,0,1,7,8,2,4,14,6,12,10,onyeka
2025-01-07,ATL,@,UTA,"W, 124-121",22:44,5,0,0,0,0,2,7,9,3,2,14,5,11,12,onyeka
2025-01-09,ATL,@,PHO,"L, 115-123",22:00,7,0,1,0,0,1,4,5,6,8,19,14,13,11,onyeka
