Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,ATL,,BRK,"W, 120-116",36:40,16,2,6,14,16,1,4,5,12,30,47,42,35,17,trae
2024-10-25,ATL,,CHO,"W, 125-120",41:28,24,5,14,11,13,3,5,8,10,38,56,48,46,18,trae
2024-10-27,ATL,@,OKC,"L, 104-128",37:03,14,2,7,8,8,0,1,1,8,24,33,32,25,9,trae
2024-10-28,ATL,,WAS,"L, 119-121",35:44,15,2,10,8,9,0,8,8,13,14,35,27,22,21,trae
2024-10-30,ATL,@,WAS,"L, 120-133",40:22,28,4,13,7,7,2,2,4,15,35,54,50,39,19,trae
2024-11-01,ATL,,SAC,"L, 115-123",42:18,21,3,9,6,7,1,4,5,12,25,42,37,30,17,trae
2024-11-03,ATL,@,NOP,"W, 126-111",31:21,15,5,10,2,2,1,3,4,12,23,39,35,27,16,trae
2024-11-04,ATL,,BOS,"L, 93-123",23:15,10,0,6,0,0,0,0,0,6,2,8,8,2,6,trae
2024-11-06,ATL,,NYK,"W, 121-116",35:15,21,3,9,6,8,2,4,6,10,23,39,33,29,16,trae
2024-11-08,ATL,@,DET,"L, 121-122",41:00,25,6,12,7,8,0,2,2,13,35,50,48,37,15,trae
2024-11-09,ATL,,CHI,"L, 113-125",37:52,16,2,6,0,0,1,2,3,16,14,33,30,17,19,trae
2024-11-15,ATL,,WAS,"W, 129-117",33:08,18,4,9,4,4,0,2,2,9,18,29,27,20,11,trae
2024-11-17,ATL,@,POR,"L, 110-114",37:55,16,5,10,8,9,1,4,5,8,29,42,37,34,13,trae
2024-11-18,ATL,@,SAC,"W, 109-108",35:43,7,0,2,5,5,0,3,3,19,7,29,26,10,22,trae
2024-11-20,ATL,@,GSW,"L, 97-120",30:20,12,1,6,3,4,0,3,3,11,12,26,23,15,14,trae
2024-11-22,ATL,@,CHI,"L, 122-136",37:31,18,1,8,8,8,0,1,1,13,25,39,38,26,14,trae
2024-11-25,ATL,,DAL,"L, 119-129",35:16,12,2,4,6,7,1,1,2,16,18,36,34,20,18,trae
2024-11-27,ATL,@,CLE,"W, 135-124",36:57,18,3,13,5,5,0,4,4,22,20,46,42,24,26,trae
2024-11-29,ATL,,CLE,"W, 117-101",34:41,12,2,5,5,5,0,3,3,11,21,35,32,24,14,trae
2024-11-30,ATL,@,CHO,"W, 107-104",30:48,9,2,6,4,6,0,4,4,5,14,23,19,18,9,trae
2024-12-02,ATL,,NOP,"W, 124-112",35:50,16,2,9,0,0,1,7,8,15,12,35,27,20,23,trae
2024-12-04,ATL,@,MIL,"W, 119-104",35:23,19,0,9,5,6,0,4,4,7,17,28,24,21,11,trae
2024-12-06,ATL,,LAL,"W, 134-132 (OT)",42:05,25,5,13,8,8,0,4,4,20,31,55,51,35,24,trae
2024-12-08,ATL,,DEN,"L, 111-141",35:08,13,2,7,1,2,1,3,4,10,15,29,25,19,14,trae
2024-12-11,ATL,@,NYK,"W, 108-100",36:24,22,2,8,4,4,0,5,5,11,22,38,33,27,16,trae
2024-12-14,ATL,@,MIL,"L, 102-110",39:36,18,3,5,14,17,2,5,7,10,35,52,45,42,17,trae
2024-12-19,ATL,@,SAS,"L, 126-133 (OT)",36:39,16,3,6,6,8,0,0,0,16,23,39,39,23,16,trae
2024-12-23,ATL,,MIN,"W, 117-104",31:18,15,4,7,9,12,0,2,2,7,29,38,36,31,9,trae
2024-12-26,ATL,,CHI,"W, 141-133",38:44,17,4,11,7,7,1,1,2,13,27,42,40,29,15,trae
2024-12-28,ATL,,MIA,"W, 120-110",36:51,13,2,9,3,4,0,1,1,15,11,27,26,12,16,trae
2024-12-29,ATL,@,TOR,"W, 136-107",32:24,21,7,13,7,7,0,2,2,10,34,46,44,36,12,trae
2025-01-01,ATL,@,DEN,"L, 120-139",30:16,17,4,10,10,12,0,4,4,9,30,43,39,34,13,trae
2025-01-03,ATL,@,LAL,"L, 102-119",35:57,22,3,9,10,12,0,0,0,9,33,42,42,33,9,trae
2025-01-04,ATL,@,LAC,"L, 105-131",33:50,16,4,9,2,3,0,4,4,14,20,38,34,24,18,trae
2025-01-07,ATL,@,UTA,"W, 124-121",36:34,16,3,10,9,10,0,2,2,20,24,46,44,26,22,trae
2025-01-09,ATL,@,PHO,"L, 115-123",33:50,15,1,4,8,9,0,2,2,7,21,30,28,23,9,trae
2025-01-14,ATL,,PHO,"W, 122-117",38:07,31,6,12,11,14,2,1,3,5,43,51,48,46,8,trae
2025-01-18,ATL,@,BOS,"W, 119-115 (OT)",38:52,23,3,10,5,5,0,4,4,11,28,43,39,32,15,trae
2025-01-20,ATL,@,NYK,"L, 110-119",35:21,22,6,12,5,6,1,2,3,6,27,36,33,30,9,trae
2025-01-22,ATL,,DET,"L, 104-114",40:07,13,1,4,2,4,0,2,2,9,13,24,22,15,11,trae
2025-01-23,ATL,,TOR,"L, 119-122",39:11,19,2,8,2,4,0,1,1,13,18,32,31,19,14,trae
2025-01-25,ATL,,TOR,"L, 94-117",38:09,12,1,4,5,8,1,3,4,4,16,24,20,20,8,trae
2025-01-28,ATL,,HOU,"L, 96-100",34:26,16,2,9,5,5,1,2,3,9,21,33,30,24,12,trae
2025-01-30,ATL,@,CLE,"L, 115-137",31:51,16,2,8,3,4,0,1,1,10,15,26,25,16,11,trae
2025-02-01,ATL,@,IND,"L, 127-132",36:56,26,5,15,7,7,0,3,3,17,34,54,51,37,20,trae
2025-02-03,ATL,@,DET,"W, 132-130",34:56,16,4,8,12,14,0,0,0,9,34,43,43,34,9,trae
2025-02-05,ATL,,SAS,"L, 125-126",42:56,21,3,11,9,11,0,2,2,12,32,46,44,34,14,trae
2025-02-07,ATL,,MIL,"W, 115-110",34:55,22,2,8,4,5,0,3,3,7,24,34,31,27,10,trae
2025-02-08,ATL,@,WAS,"W, 125-111",34:58,26,5,14,4,4,1,1,2,14,35,51,49,37,16,trae
2025-02-10,ATL,@,ORL,"W, 112-106",36:35,17,1,8,6,7,1,4,5,8,19,32,27,24,13,trae
2025-02-12,ATL,@,NYK,"L, 148-149 (OT)",44:15,29,4,11,12,14,0,1,1,19,38,58,57,39,20,trae
2025-02-20,ATL,,ORL,"L, 108-114",36:50,28,4,13,8,10,1,2,3,6,38,47,44,41,9,trae
2025-02-23,ATL,,DET,"L, 143-148",38:06,24,6,15,12,15,0,2,2,13,38,53,51,40,15,trae
2025-02-24,ATL,,MIA,"W, 98-86",37:48,14,0,7,3,3,0,3,3,14,11,28,25,14,17,trae
2025-02-26,ATL,@,MIA,"L, 109-131",35:42,12,1,6,8,8,0,2,2,8,17,27,25,19,10,trae
2025-02-28,ATL,,OKC,"L, 119-135",35:15,14,2,5,7,7,0,3,3,12,19,34,31,22,15,trae
2025-03-03,ATL,@,MEM,"W, 132-130",36:18,17,0,2,2,2,0,2,2,15,12,29,27,14,17,trae
2025-03-04,ATL,,MIL,"L, 121-127",35:24,24,1,6,9,9,0,2,2,13,28,43,41,30,15,trae
2025-03-06,ATL,,IND,"W, 124-118",35:53,17,1,5,7,7,0,3,3,16,22,41,38,25,19,trae
2025-03-08,ATL,,IND,"W, 120-118",33:23,24,3,12,11,12,0,4,4,8,36,48,44,40,12,trae
2025-03-12,ATL,,CHO,"W, 123-110",35:29,20,0,5,21,21,2,5,7,12,35,54,47,42,19,trae
2025-03-14,ATL,,LAC,"L, 98-121",34:28,18,2,6,3,4,3,1,4,7,17,28,24,21,11,trae
2025-03-16,ATL,@,BRK,"L, 114-122",39:02,18,3,5,7,8,0,6,6,12,28,46,40,34,18,trae
2025-03-18,ATL,@,CHO,"W, 134-102",30:30,20,5,9,4,4,0,2,2,8,31,41,39,33,10,trae
2025-03-22,ATL,,GSW,"W, 124-115",35:14,15,1,4,6,7,0,5,5,10,25,40,35,30,15,trae
2025-03-23,ATL,,PHI,"W, 132-119",32:32,12,4,6,10,11,0,1,1,12,28,41,40,29,13,trae
2025-03-25,ATL,@,HOU,"L, 114-121",39:02,17,3,7,2,2,1,1,2,12,19,33,31,21,14,trae
2025-03-27,ATL,@,MIA,"L, 112-122",35:37,21,6,12,3,3,0,2,2,12,29,43,41,31,14,trae
2025-03-30,ATL,@,MIL,"W, 145-124",37:08,16,2,9,9,11,0,3,3,19,19,41,38,22,22,trae
2025-04-01,ATL,,POR,"L, 113-127",36:26,20,3,7,12,13,1,3,4,15,29,48,44,33,19,trae
2025-04-02,ATL,@,DAL,"L, 118-120",39:37,20,2,9,7,7,1,3,4,12,25,41,37,29,16,trae
2025-04-05,ATL,,NYK,"L, 105-121",31:32,15,3,7,3,3,0,1,1,9,16,26,25,17,10,trae
2025-04-06,ATL,,UTA,"W, 147-134",36:59,16,4,9,3,4,1,4,5,15,23,43,38,28,20,trae
2025-04-08,ATL,@,ORL,"L, 112-119",36:43,20,3,9,5,6,0,1,1,10,28,39,38,29,11,trae
2025-04-10,ATL,@,BRK,"W, 133-109",31:22,15,3,8,7,8,0,1,1,12,24,37,36,25,13,trae
2025-04-11,ATL,@,PHI,"W, 124-110",35:42,22,6,13,10,12,1,2,3,11,36,50,47,39,14,trae
