Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,BOS,,NYK,"W, 132-109",26:38,13,6,10,2,2,0,3,3,4,24,31,28,27,7,derrick
2024-10-24,BOS,@,WAS,"W, 122-102",29:16,11,4,7,3,4,1,3,4,4,19,27,23,23,8,derrick
2024-10-26,BOS,@,DET,"W, 124-118",39:22,14,0,6,5,5,2,4,6,3,17,26,20,23,9,derrick
2024-10-28,BOS,,MIL,"W, 119-108",33:34,13,3,10,0,0,0,3,3,8,13,24,21,16,11,derrick
2024-10-30,BOS,@,IND,"L, 132-135 (OT)",37:05,9,5,5,2,2,1,2,3,1,23,27,24,26,4,derrick
2024-11-01,BOS,@,CHO,"W, 124-109",35:05,16,3,10,2,2,0,2,2,5,17,24,22,19,7,derrick
2024-11-02,BOS,@,CHO,"W, 113-103",33:43,17,4,13,4,4,1,7,8,2,18,28,20,26,10,derrick
2024-11-04,BOS,@,ATL,"W, 123-93",29:19,16,4,9,1,2,2,4,6,6,21,33,27,27,12,derrick
2024-11-06,BOS,,GSW,"L, 112-118",36:18,19,7,16,3,3,1,5,6,3,26,35,29,32,9,derrick
2024-11-08,BOS,,BRK,"W, 108-104 (OT)",42:31,11,1,6,3,4,1,2,3,6,14,23,20,17,9,derrick
2024-11-10,BOS,@,MIL,"W, 113-107",36:08,12,3,6,0,0,2,4,6,6,15,27,21,21,12,derrick
2024-11-12,BOS,,ATL,"L, 116-117",37:52,15,7,12,4,5,1,5,6,5,31,42,36,37,11,derrick
2024-11-13,BOS,@,BRK,"W, 139-114",22:01,11,3,9,0,0,2,0,2,3,9,14,12,11,5,derrick
2024-11-16,BOS,,TOR,"W, 126-123 (OT)",41:14,20,3,12,1,2,2,3,5,4,18,27,22,23,9,derrick
2024-11-19,BOS,,CLE,"W, 120-117",42:21,12,4,7,1,1,2,4,6,5,19,30,24,25,11,derrick
2024-11-22,BOS,@,WAS,"W, 108-96",36:29,11,2,8,0,0,0,2,2,3,10,15,13,12,5,derrick
2024-11-24,BOS,,MIN,"W, 107-105",37:56,12,4,9,1,2,2,7,9,5,19,33,24,28,14,derrick
2024-11-25,BOS,,LAC,"W, 126-94",31:07,12,5,9,2,2,2,2,4,7,19,30,26,23,11,derrick
2024-11-29,BOS,@,CHI,"W, 138-129",24:02,10,4,8,0,0,1,5,6,4,16,26,20,22,10,derrick
2024-12-02,BOS,,MIA,"W, 108-89",31:21,14,5,12,0,0,2,4,6,8,19,33,27,25,14,derrick
2024-12-04,BOS,,DET,"W, 130-120",37:38,15,3,11,3,4,1,3,4,11,14,29,25,18,15,derrick
2024-12-06,BOS,,MIL,"W, 111-105",37:29,10,0,8,4,4,1,5,6,7,6,19,13,12,13,derrick
2024-12-07,BOS,,MEM,"L, 121-127",37:53,9,2,7,2,2,1,5,6,3,10,19,13,16,9,derrick
2024-12-12,BOS,,DET,"W, 123-99",30:35,13,7,12,2,2,1,1,2,4,23,29,27,25,6,derrick
2024-12-15,BOS,@,WAS,"W, 112-98",35:27,10,3,7,2,4,0,5,5,5,15,25,20,20,10,derrick
2024-12-19,BOS,,CHI,"L, 108-117",35:31,14,3,12,3,3,1,7,8,4,16,28,20,24,12,derrick
2024-12-21,BOS,@,CHI,"W, 123-98",25:34,12,0,6,2,2,0,4,4,1,8,13,9,12,5,derrick
2024-12-23,BOS,@,ORL,"L, 104-108",40:26,12,3,7,4,5,0,4,4,4,17,25,21,21,8,derrick
2024-12-25,BOS,,PHI,"L, 114-118",32:55,15,5,10,0,0,0,3,3,4,21,28,25,24,7,derrick
2024-12-27,BOS,,IND,"W, 142-105",29:57,8,3,8,0,0,0,3,3,6,9,18,15,12,9,derrick
2024-12-29,BOS,,IND,"L, 114-123",38:49,15,3,11,0,0,1,2,3,3,17,23,20,20,6,derrick
2024-12-31,BOS,,TOR,"W, 125-71",27:22,8,3,3,1,2,0,4,4,3,16,23,19,20,7,derrick
2025-01-02,BOS,@,MIN,"W, 118-115",36:51,20,5,10,1,1,0,2,2,2,26,30,28,28,4,derrick
2025-01-03,BOS,@,HOU,"W, 109-86",34:46,16,6,12,1,2,2,2,4,2,23,29,25,27,6,derrick
2025-01-05,BOS,@,OKC,"L, 92-105",37:15,13,2,11,1,2,0,4,4,4,11,19,15,15,8,derrick
2025-01-10,BOS,,SAC,"L, 97-114",27:21,8,0,6,1,1,0,1,1,3,3,7,6,4,4,derrick
2025-01-12,BOS,,NOP,"W, 120-119",30:18,6,0,5,4,4,2,2,4,2,6,12,8,10,6,derrick
2025-01-15,BOS,@,TOR,"L, 97-110",21:15,9,1,7,1,2,0,0,0,1,6,7,7,6,1,derrick
2025-01-17,BOS,,ORL,"W, 121-94",30:44,12,2,7,0,0,1,2,3,2,12,17,14,15,5,derrick
2025-01-18,BOS,,ATL,"L, 115-119 (OT)",43:17,20,5,16,2,2,1,7,8,2,21,31,23,29,10,derrick
2025-01-20,BOS,@,GSW,"W, 125-85",25:47,5,2,4,0,0,0,5,5,5,8,18,13,13,10,derrick
2025-01-22,BOS,@,LAC,"W, 117-113 (OT)",42:28,17,4,12,2,2,2,4,6,4,20,30,24,26,10,derrick
2025-01-23,BOS,@,LAL,"L, 96-117",19:26,5,1,3,0,0,3,0,3,3,3,9,6,6,6,derrick
2025-01-25,BOS,@,DAL,"W, 122-107",36:25,16,4,10,5,6,2,2,4,4,23,31,27,27,8,derrick
2025-01-29,BOS,,CHI,"W, 122-100",39:49,14,4,10,4,4,0,1,1,5,22,28,27,23,6,derrick
2025-01-31,BOS,@,NOP,"W, 118-116",33:48,9,3,6,3,4,0,4,4,3,16,23,19,20,7,derrick
2025-02-02,BOS,@,PHI,"W, 118-110",33:47,11,5,9,0,0,0,1,1,9,17,27,26,18,10,derrick
2025-02-04,BOS,@,CLE,"W, 112-105",35:07,14,6,12,0,2,2,3,5,2,20,27,22,25,7,derrick
2025-02-06,BOS,,DAL,"L, 120-127",25:48,10,2,6,1,1,0,3,3,3,13,19,16,16,6,derrick
2025-02-08,BOS,@,NYK,"W, 131-104",25:15,9,4,7,3,3,0,3,3,4,17,24,21,20,7,derrick
2025-02-10,BOS,@,MIA,"W, 103-85",37:49,10,2,8,5,5,1,3,4,7,13,24,20,17,11,derrick
2025-02-12,BOS,,SAS,"W, 116-103",39:22,16,3,11,2,2,1,6,7,9,19,35,28,26,16,derrick
2025-02-20,BOS,@,PHI,"W, 124-104",25:57,10,3,7,3,3,0,10,10,2,16,28,18,26,12,derrick
2025-02-23,BOS,,NYK,"W, 118-105",36:48,10,5,6,0,0,2,7,9,7,19,35,26,28,16,derrick
2025-02-25,BOS,@,TOR,"W, 111-101",37:52,15,6,11,2,2,0,3,3,5,22,30,27,25,8,derrick
2025-02-26,BOS,@,DET,"L, 97-117",31:17,12,5,10,1,2,1,2,3,3,18,24,21,21,6,derrick
2025-02-28,BOS,,CLE,"L, 116-123",41:06,12,4,10,2,2,0,1,1,5,16,22,21,17,6,derrick
2025-03-02,BOS,,DEN,"W, 110-103",33:17,13,5,11,0,0,1,2,3,2,17,22,19,20,5,derrick
2025-03-05,BOS,,POR,"W, 128-118",39:12,26,9,17,4,4,0,3,3,2,41,46,43,44,5,derrick
2025-03-06,BOS,,PHI,"W, 123-105",24:11,14,2,10,2,2,0,3,3,6,12,21,18,15,9,derrick
2025-03-08,BOS,,LAL,"W, 111-101",36:09,7,1,5,3,3,1,4,5,7,10,22,17,15,12,derrick
2025-03-10,BOS,,UTA,"W, 114-108",36:16,16,3,11,3,3,0,5,5,10,18,33,28,23,15,derrick
2025-03-12,BOS,,OKC,"L, 112-118",37:19,14,6,12,2,3,2,6,8,5,22,35,27,30,13,derrick
2025-03-14,BOS,@,MIA,"W, 103-91",36:39,18,3,11,1,2,1,4,5,4,18,27,22,23,9,derrick
2025-03-18,BOS,,BRK,"W, 104-96",33:24,19,3,11,3,3,0,5,5,4,18,27,22,23,9,derrick
2025-03-21,BOS,@,UTA,"W, 121-99",31:48,8,2,7,3,4,0,5,5,4,11,20,15,16,9,derrick
