Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,BOS,,NYK,"W, 132-109",29:54,18,5,9,4,4,2,5,7,1,23,31,24,30,8,jaylen
2024-10-24,BOS,@,WAS,"W, 122-102",30:18,20,3,6,4,5,1,7,8,3,27,38,30,35,11,jaylen
2024-10-26,BOS,@,DET,"W, 124-118",38:09,24,3,9,9,10,3,7,10,5,24,39,29,34,15,jaylen
2024-10-28,BOS,,MIL,"W, 119-108",38:00,19,0,4,10,14,1,5,6,4,30,40,34,36,10,jaylen
2024-10-30,BOS,@,IND,"L, 132-135 (OT)",43:08,30,1,11,2,4,0,6,6,5,25,36,30,31,11,jaylen
2024-11-01,BOS,@,CHO,"W, 124-109",36:30,19,0,6,9,10,3,3,6,5,25,36,30,31,11,jaylen
2024-11-10,BOS,@,MIL,"W, 113-107",37:25,13,1,5,5,6,0,5,5,4,14,23,18,19,9,jaylen
2024-11-12,BOS,,ATL,"L, 116-117",35:56,22,3,6,6,10,2,3,5,2,37,44,39,42,7,jaylen
2024-11-13,BOS,@,BRK,"W, 139-114",36:02,19,2,5,6,9,2,10,12,4,24,40,28,36,16,jaylen
2024-11-16,BOS,,TOR,"W, 126-123 (OT)",42:57,16,2,7,9,10,2,4,6,7,27,40,34,33,13,jaylen
2024-11-19,BOS,,CLE,"W, 120-117",37:21,17,2,7,1,2,0,3,3,8,17,28,25,20,11,jaylen
2024-11-22,BOS,@,WAS,"W, 108-96",37:12,27,3,13,6,8,3,8,11,5,31,47,36,42,16,jaylen
2024-11-24,BOS,,MIN,"W, 107-105",36:26,18,7,10,2,2,1,1,2,4,29,35,33,31,6,jaylen
2024-11-25,BOS,,LAC,"W, 126-94",30:45,11,3,7,2,4,0,6,6,4,17,27,21,23,10,jaylen
2024-11-29,BOS,@,CHI,"W, 138-129",36:50,21,4,10,3,4,1,1,2,4,21,27,25,23,6,jaylen
2024-12-02,BOS,,MIA,"W, 108-89",31:10,21,4,11,9,10,4,3,7,4,29,40,33,36,11,jaylen
2024-12-04,BOS,,DET,"W, 130-120",38:31,21,1,6,7,11,1,5,6,9,28,43,37,34,15,jaylen
2024-12-06,BOS,,MIL,"W, 111-105",34:28,21,3,9,2,2,1,2,3,3,25,31,28,28,6,jaylen
2024-12-07,BOS,,MEM,"L, 121-127",35:16,14,2,3,0,1,1,2,3,6,22,31,28,25,9,jaylen
2024-12-12,BOS,,DET,"W, 123-99",29:57,12,1,2,1,1,1,8,9,6,14,29,20,23,15,jaylen
2024-12-15,BOS,@,WAS,"W, 112-98",25:43,14,2,5,1,4,0,3,3,4,11,18,15,14,7,jaylen
2024-12-19,BOS,,CHI,"L, 108-117",36:27,17,1,8,4,5,1,2,3,4,19,26,23,22,7,jaylen
2024-12-21,BOS,@,CHI,"W, 123-98",33:00,20,0,5,1,2,2,3,5,8,19,32,27,24,13,jaylen
2024-12-23,BOS,@,ORL,"L, 104-108",36:53,29,1,7,4,6,2,7,9,4,35,48,39,44,13,jaylen
2024-12-25,BOS,,PHI,"L, 114-118",42:50,23,3,6,0,3,1,6,7,4,23,34,27,30,11,jaylen
2024-12-27,BOS,,IND,"W, 142-105",37:15,24,6,11,6,6,3,2,5,3,44,52,47,49,8,jaylen
2024-12-29,BOS,,IND,"L, 114-123",36:25,21,2,6,3,5,0,4,4,6,31,41,37,35,10,jaylen
2024-12-31,BOS,,TOR,"W, 125-71",25:28,13,0,2,0,0,5,4,9,3,12,24,15,21,12,jaylen
2025-01-05,BOS,@,OKC,"L, 92-105",39:37,19,1,6,4,4,0,4,4,3,21,28,24,25,7,jaylen
2025-01-07,BOS,@,DEN,"W, 118-106",38:27,13,0,1,2,2,0,8,8,8,14,30,22,22,16,jaylen
2025-01-10,BOS,,SAC,"L, 97-114",35:06,19,1,5,9,11,1,0,1,5,28,34,33,29,6,jaylen
2025-01-12,BOS,,NOP,"W, 120-119",38:36,14,0,2,4,4,2,6,8,7,16,31,23,24,15,jaylen
2025-01-15,BOS,@,TOR,"L, 97-110",32:38,16,1,1,1,2,2,5,7,4,10,21,14,17,11,jaylen
2025-01-17,BOS,,ORL,"W, 121-94",32:40,12,1,2,9,9,1,5,6,6,20,32,26,26,12,jaylen
2025-01-18,BOS,,ATL,"L, 115-119 (OT)",42:46,27,2,9,4,5,6,5,11,8,24,43,32,35,19,jaylen
2025-01-20,BOS,@,GSW,"W, 125-85",28:33,14,1,3,0,0,1,3,4,2,17,23,19,21,6,jaylen
2025-01-22,BOS,@,LAC,"W, 117-113 (OT)",38:41,15,2,2,7,9,0,2,2,6,25,33,31,27,8,jaylen
2025-01-23,BOS,@,LAL,"L, 96-117",33:02,19,3,9,0,3,2,6,8,3,17,28,20,25,11,jaylen
2025-01-25,BOS,@,DAL,"W, 122-107",30:41,21,0,5,2,6,1,7,8,6,22,36,28,30,14,jaylen
2025-01-27,BOS,,HOU,"L, 112-114",38:01,23,3,9,5,6,0,4,4,4,28,36,32,32,8,jaylen
2025-01-29,BOS,,CHI,"W, 122-100",35:37,18,1,5,7,11,0,6,6,6,28,40,34,34,12,jaylen
2025-01-31,BOS,@,NOP,"W, 118-116",34:35,18,3,6,3,4,1,5,6,4,28,38,32,34,10,jaylen
2025-02-02,BOS,@,PHI,"W, 118-110",41:43,17,2,7,1,2,3,7,10,6,21,37,27,31,16,jaylen
2025-02-04,BOS,@,CLE,"W, 112-105",28:19,12,0,0,2,2,2,7,9,6,16,31,22,25,15,jaylen
2025-02-06,BOS,,DAL,"L, 120-127",32:40,16,3,4,4,4,0,5,5,2,25,32,27,30,7,jaylen
2025-02-08,BOS,@,NYK,"W, 131-104",31:47,14,0,3,2,2,1,2,3,5,12,20,17,15,8,jaylen
2025-02-20,BOS,@,PHI,"W, 124-104",26:56,13,2,6,4,4,3,3,6,6,20,32,26,26,12,jaylen
2025-02-23,BOS,,NYK,"W, 118-105",36:37,21,2,7,2,2,1,7,8,2,24,34,26,32,10,jaylen
2025-02-25,BOS,@,TOR,"W, 111-101",33:25,18,0,5,4,4,1,4,5,4,24,33,28,29,9,jaylen
2025-02-28,BOS,,CLE,"L, 116-123",33:55,24,4,6,7,10,4,1,5,2,37,44,39,42,7,jaylen
2025-03-02,BOS,,DEN,"W, 110-103",36:36,15,2,4,8,9,0,5,5,8,22,35,30,27,13,jaylen
2025-03-05,BOS,,POR,"W, 128-118",39:57,23,0,4,4,6,3,5,8,8,18,34,26,26,16,jaylen
2025-03-08,BOS,,LAL,"W, 111-101",41:37,25,3,6,2,4,1,5,6,2,31,39,33,37,8,jaylen
2025-03-10,BOS,,UTA,"W, 114-108",38:24,20,0,5,10,11,0,8,8,7,26,41,33,34,15,jaylen
2025-03-12,BOS,,OKC,"L, 112-118",37:59,15,0,5,0,0,1,4,5,2,10,17,12,15,7,jaylen
2025-03-15,BOS,@,BRK,"W, 115-113",24:25,8,1,3,1,2,0,6,6,3,8,17,11,14,9,jaylen
2025-03-24,BOS,@,SAC,"W, 113-95",25:46,8,1,3,0,0,0,2,2,0,9,11,9,11,2,jaylen
2025-03-26,BOS,@,PHO,"W, 132-102",28:19,15,4,9,6,6,0,3,3,5,24,32,29,27,8,jaylen
2025-03-29,BOS,@,SAS,"W, 121-111",29:49,9,1,4,1,2,0,2,2,4,14,20,18,16,6,jaylen
2025-04-02,BOS,,MIA,"L, 103-124",28:47,20,2,6,2,3,2,7,9,4,24,37,28,33,13,jaylen
2025-04-04,BOS,,PHO,"W, 123-103",28:27,16,3,4,8,9,0,5,5,3,31,39,34,36,8,jaylen
2025-04-06,BOS,,WAS,"W, 124-90",21:34,9,2,4,3,4,0,2,2,5,15,22,20,17,7,jaylen
2025-04-08,BOS,@,NYK,"W, 119-117 (OT)",21:39,8,0,2,2,2,0,5,5,1,6,12,7,11,6,jaylen
