Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,BOS,,NYK,"W, 132-109",04:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neemias
2024-10-24,BOS,@,WAS,"W, 122-102",13:38,7,0,1,2,2,4,3,7,0,12,19,12,19,7,neemias
2024-10-28,BOS,,MIL,"W, 119-108",01:49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,neemias
2024-10-30,BOS,@,IND,"L, 132-135 (OT)",13:39,2,0,0,0,0,4,5,9,1,2,12,3,11,10,neemias
2024-11-01,BOS,@,CHO,"W, 124-109",24:29,6,0,0,0,0,4,2,6,1,12,19,13,18,7,neemias
2024-11-02,BOS,@,CHO,"W, 113-103",15:28,4,0,0,0,0,0,3,3,1,4,8,5,7,4,neemias
2024-11-04,BOS,@,ATL,"W, 123-93",23:11,7,0,0,2,2,2,5,7,0,10,17,10,17,7,neemias
2024-11-06,BOS,,GSW,"L, 112-118",28:08,11,0,0,2,4,5,3,8,0,14,22,14,22,8,neemias
2024-11-08,BOS,,BRK,"W, 108-104 (OT)",26:33,2,0,0,1,2,1,9,10,2,3,15,5,13,12,neemias
2024-11-10,BOS,@,MIL,"W, 113-107",20:35,6,0,0,2,2,1,6,7,0,8,15,8,15,7,neemias
2024-11-12,BOS,,ATL,"L, 116-117",21:01,0,0,0,0,0,2,3,5,0,0,5,0,5,5,neemias
2024-11-13,BOS,@,BRK,"W, 139-114",21:16,4,0,0,0,0,0,1,1,1,8,10,9,9,2,neemias
2024-11-16,BOS,,TOR,"W, 126-123 (OT)",33:06,8,0,1,0,0,4,4,8,2,12,22,14,20,10,neemias
2024-11-19,BOS,,CLE,"W, 120-117",16:24,5,0,0,1,2,3,1,4,2,5,11,7,9,6,neemias
2024-11-22,BOS,@,WAS,"W, 108-96",18:18,3,0,0,5,6,0,2,2,0,7,9,7,9,2,neemias
2024-11-25,BOS,,LAC,"W, 126-94",25:17,6,0,0,2,2,2,7,9,3,12,24,15,21,12,neemias
2024-11-29,BOS,@,CHI,"W, 138-129",06:35,0,0,0,0,0,1,1,2,1,0,3,1,2,3,neemias
2024-12-02,BOS,,MIA,"W, 108-89",14:31,3,0,0,0,0,2,5,7,0,4,11,4,11,7,neemias
2024-12-06,BOS,,MIL,"W, 111-105",11:35,1,0,0,0,0,1,1,2,0,2,4,2,4,2,neemias
2024-12-07,BOS,,MEM,"L, 121-127",17:25,3,0,0,1,2,1,6,7,1,5,13,6,12,8,neemias
2024-12-12,BOS,,DET,"W, 123-99",18:03,3,0,0,0,0,0,2,2,1,4,7,5,6,3,neemias
2024-12-15,BOS,@,WAS,"W, 112-98",09:50,2,0,0,0,0,1,1,2,1,0,3,1,2,3,neemias
