Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,BOS,,NYK,"W, 132-109",24:10,10,2,7,0,0,1,4,5,1,10,16,11,15,6,sam
2024-10-30,BOS,@,IND,"L, 132-135 (OT)",13:50,6,1,4,0,0,0,2,2,1,5,8,6,7,3,sam
2024-11-01,BOS,@,CHO,"W, 124-109",17:31,3,2,3,0,0,1,4,5,2,6,13,8,11,7,sam
2024-11-02,BOS,@,CHO,"W, 113-103",19:39,7,2,6,0,0,3,4,7,1,8,16,9,15,8,sam
2024-11-04,BOS,@,ATL,"W, 123-93",19:30,11,2,8,0,0,1,1,2,1,10,13,11,12,3,sam
2024-11-06,BOS,,GSW,"L, 112-118",21:47,5,2,5,0,0,0,5,5,1,6,12,7,11,6,sam
2024-11-08,BOS,,BRK,"W, 108-104 (OT)",35:13,11,2,10,0,0,1,3,4,3,8,15,11,12,7,sam
2024-11-10,BOS,@,MIL,"W, 113-107",12:29,6,1,5,0,0,1,0,1,1,3,5,4,4,2,sam
2024-11-12,BOS,,ATL,"L, 116-117",19:06,3,2,3,0,0,0,2,2,0,6,8,6,8,2,sam
2024-11-13,BOS,@,BRK,"W, 139-114",25:37,10,4,10,0,0,1,5,6,1,12,19,13,18,7,sam
2024-11-16,BOS,,TOR,"W, 126-123 (OT)",25:24,12,3,10,1,1,0,0,0,1,14,15,15,14,1,sam
2024-11-19,BOS,,CLE,"W, 120-117",21:01,3,0,2,0,0,0,3,3,2,2,7,4,5,5,sam
2024-11-22,BOS,@,WAS,"W, 108-96",21:50,7,3,5,0,0,0,3,3,0,13,16,13,16,3,sam
2024-11-24,BOS,,MIN,"W, 107-105",20:21,7,1,5,0,0,3,2,5,2,5,12,7,10,7,sam
2024-11-25,BOS,,LAC,"W, 126-94",23:00,3,3,3,0,0,0,2,2,0,9,11,9,11,2,sam
2024-11-29,BOS,@,CHI,"W, 138-129",21:59,5,1,5,0,0,0,3,3,1,3,7,4,6,4,sam
2024-12-01,BOS,@,CLE,"L, 111-115",36:04,8,3,6,0,0,2,3,5,2,13,20,15,18,7,sam
2024-12-04,BOS,,DET,"W, 130-120",30:40,12,5,10,1,1,1,2,3,0,20,23,20,23,3,sam
2024-12-06,BOS,,MIL,"W, 111-105",24:29,10,4,8,0,0,1,2,3,1,16,20,17,19,4,sam
2024-12-07,BOS,,MEM,"L, 121-127",09:06,2,0,2,0,0,0,1,1,0,0,1,0,1,1,sam
2024-12-15,BOS,@,WAS,"W, 112-98",28:15,10,4,9,0,0,2,5,7,1,12,20,13,19,8,sam
2024-12-23,BOS,@,ORL,"L, 104-108",16:27,0,0,0,0,0,0,2,2,2,0,4,2,2,4,sam
2024-12-25,BOS,,PHI,"L, 114-118",13:27,1,0,1,0,0,1,1,2,0,0,2,0,2,2,sam
2024-12-27,BOS,,IND,"W, 142-105",19:30,8,0,5,0,0,1,1,2,2,4,8,6,6,4,sam
2024-12-29,BOS,,IND,"L, 114-123",19:40,6,3,6,0,0,0,0,0,3,9,12,12,9,3,sam
2024-12-31,BOS,,TOR,"W, 125-71",17:50,7,4,7,0,0,0,2,2,1,12,15,13,14,3,sam
2025-01-02,BOS,@,MIN,"W, 118-115",27:18,11,5,11,0,0,1,2,3,2,15,20,17,18,5,sam
2025-01-03,BOS,@,HOU,"W, 109-86",19:24,1,0,1,0,0,0,3,3,0,0,3,0,3,3,sam
2025-01-05,BOS,@,OKC,"L, 92-105",11:05,5,1,5,0,0,0,1,1,0,3,4,3,4,1,sam
2025-01-07,BOS,@,DEN,"W, 118-106",17:43,5,3,5,0,0,1,1,2,1,9,12,10,11,3,sam
2025-01-10,BOS,,SAC,"L, 97-114",12:54,6,1,4,0,0,1,1,2,1,7,10,8,9,3,sam
2025-01-12,BOS,,NOP,"W, 120-119",08:53,2,1,2,0,0,0,2,2,1,3,6,4,5,3,sam
2025-01-15,BOS,@,TOR,"L, 97-110",16:45,6,1,5,0,0,2,4,6,0,3,9,3,9,6,sam
2025-01-17,BOS,,ORL,"W, 121-94",17:16,5,2,4,0,0,0,1,1,1,8,10,9,9,2,sam
2025-01-18,BOS,,ATL,"L, 115-119 (OT)",20:12,7,0,5,0,0,1,2,3,2,0,5,2,3,5,sam
2025-01-20,BOS,@,GSW,"W, 125-85",20:42,7,3,6,0,0,0,2,2,1,11,14,12,13,3,sam
2025-01-22,BOS,@,LAC,"W, 117-113 (OT)",25:14,7,5,7,0,0,0,4,4,0,15,19,15,19,4,sam
2025-01-23,BOS,@,LAL,"L, 96-117",13:23,4,2,4,0,0,0,2,2,0,6,8,6,8,2,sam
2025-01-25,BOS,@,DAL,"W, 122-107",14:24,3,2,3,0,0,0,1,1,1,6,8,7,7,2,sam
2025-01-31,BOS,@,NOP,"W, 118-116",14:27,6,3,6,0,0,0,4,4,1,9,14,10,13,5,sam
2025-02-02,BOS,@,PHI,"W, 118-110",23:52,7,4,7,0,0,0,4,4,0,12,16,12,16,4,sam
2025-02-04,BOS,@,CLE,"W, 112-105",12:53,2,1,1,0,0,1,2,3,0,3,6,3,6,3,sam
2025-02-06,BOS,,DAL,"L, 120-127",20:42,5,2,5,0,0,0,1,1,2,6,9,8,7,3,sam
2025-02-08,BOS,@,NYK,"W, 131-104",17:39,4,1,3,0,0,0,3,3,0,5,8,5,8,3,sam
2025-02-10,BOS,@,MIA,"W, 103-85",24:03,8,5,8,0,0,0,4,4,2,15,21,17,19,6,sam
2025-02-12,BOS,,SAS,"W, 116-103",29:04,9,2,7,2,2,1,6,7,0,12,19,12,19,7,sam
2025-02-20,BOS,@,PHI,"W, 124-104",21:24,6,1,5,0,0,1,1,2,2,3,7,5,5,4,sam
2025-02-23,BOS,,NYK,"W, 118-105",08:55,4,2,3,0,0,0,1,1,0,6,7,6,7,1,sam
2025-02-25,BOS,@,TOR,"W, 111-101",39:38,6,2,4,0,0,2,3,5,0,10,15,10,15,5,sam
2025-02-26,BOS,@,DET,"L, 97-117",12:03,1,1,1,0,0,0,1,1,1,3,5,4,4,2,sam
2025-02-28,BOS,,CLE,"L, 116-123",37:43,8,2,6,0,0,2,4,6,1,6,13,7,12,7,sam
2025-03-02,BOS,,DEN,"W, 110-103",17:19,4,2,3,0,0,1,2,3,1,8,12,9,11,4,sam
2025-03-05,BOS,,POR,"W, 128-118",31:53,9,1,8,0,0,1,5,6,0,5,11,5,11,6,sam
