Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,CHI,@,NOP,"L, 111-123",24:58,6,0,2,0,0,0,4,4,3,8,15,11,12,7,ayo
2024-10-25,CHI,@,MIL,"W, 133-122",27:36,8,0,5,0,0,0,5,5,5,2,12,7,7,10,ayo
2024-10-26,CHI,,OKC,"L, 95-114",24:12,11,1,9,0,0,0,5,5,6,3,14,9,8,11,ayo
2024-10-28,CHI,@,MEM,"W, 126-123",27:17,8,2,4,0,0,2,6,8,4,10,22,14,18,12,ayo
2024-10-30,CHI,,ORL,"W, 102-99",29:08,8,0,1,0,1,0,4,4,4,12,20,16,16,8,ayo
2024-11-01,CHI,@,BRK,"L, 112-120",27:09,11,2,7,2,2,0,7,7,3,10,20,13,17,10,ayo
2024-11-04,CHI,,UTA,"L, 126-135",34:48,13,0,2,7,7,3,2,5,5,25,35,30,30,10,ayo
2024-11-06,CHI,@,DAL,"L, 99-119",24:52,13,2,10,0,0,1,4,5,4,6,15,10,11,9,ayo
2024-11-07,CHI,,MIN,"L, 119-135",33:04,11,1,3,2,2,2,1,3,2,13,18,15,16,5,ayo
2024-11-09,CHI,@,ATL,"W, 125-113",30:36,10,2,3,3,3,0,2,2,4,19,25,23,21,6,ayo
2024-11-11,CHI,,CLE,"L, 113-119",30:45,8,1,4,5,6,0,3,3,4,10,17,14,13,7,ayo
2024-11-13,CHI,@,NYK,"W, 124-123",25:10,8,2,3,4,4,0,3,3,6,16,25,22,19,9,ayo
2024-11-15,CHI,@,CLE,"L, 126-144",26:13,9,2,3,1,2,1,4,5,4,15,24,19,20,9,ayo
2024-11-17,CHI,,HOU,"L, 107-143",23:30,10,1,5,0,0,0,2,2,6,9,17,15,11,8,ayo
2024-11-18,CHI,@,DET,"W, 122-112",33:17,12,0,2,1,2,1,0,1,1,9,11,10,10,2,ayo
2024-11-20,CHI,@,MIL,"L, 106-122",32:16,7,0,1,0,0,0,3,3,3,8,14,11,11,6,ayo
2024-11-22,CHI,,ATL,"W, 136-122",38:24,10,2,3,2,2,1,2,3,8,20,31,28,23,11,ayo
2024-11-23,CHI,,MEM,"L, 131-142",29:20,7,2,4,0,2,0,1,1,5,8,14,13,9,6,ayo
2024-11-26,CHI,@,WAS,"W, 127-108",30:18,10,1,4,3,4,0,3,3,3,12,18,15,15,6,ayo
2024-11-27,CHI,@,ORL,"L, 119-133",30:40,12,1,3,0,2,1,3,4,2,21,27,23,25,6,ayo
2024-11-29,CHI,,BOS,"L, 129-138",32:00,11,1,4,2,2,0,1,1,5,13,19,18,14,6,ayo
2024-12-02,CHI,,BRK,"W, 128-102",29:41,13,1,5,1,1,1,1,2,6,16,24,22,18,8,ayo
2024-12-05,CHI,@,SAS,"W, 139-124",35:14,13,3,3,6,6,3,7,10,11,27,48,38,37,21,ayo
2024-12-06,CHI,,IND,"L, 123-132",32:24,8,3,5,0,0,0,2,2,5,15,22,20,17,7,ayo
2024-12-08,CHI,,PHI,"L, 100-108",34:52,6,2,4,2,2,0,3,3,5,10,18,15,13,8,ayo
2024-12-13,CHI,,CHO,"W, 109-95",32:25,12,3,6,0,0,0,3,3,5,19,27,24,22,8,ayo
2024-12-16,CHI,@,TOR,"W, 122-121",39:45,15,1,6,1,2,0,5,5,5,12,22,17,17,10,ayo
2024-12-19,CHI,@,BOS,"W, 117-108",37:39,14,3,5,0,0,1,7,8,4,17,29,21,25,12,ayo
2024-12-21,CHI,,BOS,"L, 98-123",32:15,7,1,4,0,0,1,3,4,6,7,17,13,11,10,ayo
2024-12-23,CHI,,MIL,"L, 91-112",33:47,9,0,5,1,2,0,4,4,11,5,20,16,9,15,ayo
2025-01-15,CHI,,ATL,"L, 94-110",25:07,7,0,1,1,1,1,2,3,2,9,14,11,12,5,ayo
2025-01-17,CHI,,CHO,"L, 123-125",28:12,8,1,3,0,0,1,4,5,4,9,18,13,14,9,ayo
2025-01-19,CHI,@,POR,"L, 102-113",32:09,8,1,3,3,4,0,1,1,4,12,17,16,13,5,ayo
2025-01-23,CHI,@,GSW,"L, 106-131",22:36,6,2,4,3,4,0,2,2,2,13,17,15,15,4,ayo
2025-01-25,CHI,,PHI,"L, 97-109",27:52,10,2,5,0,0,1,1,2,2,8,12,10,10,4,ayo
2025-01-27,CHI,,DEN,"W, 129-121",34:26,13,4,7,1,2,2,0,2,2,17,21,19,19,4,ayo
2025-01-29,CHI,@,BOS,"L, 100-122",31:31,13,2,5,0,0,1,3,4,4,12,20,16,16,8,ayo
2025-01-31,CHI,@,TOR,"W, 122-106",35:10,9,2,6,0,0,0,4,4,8,6,18,14,10,12,ayo
2025-02-02,CHI,@,DET,"L, 119-127",31:38,9,2,5,0,0,1,2,3,5,14,22,19,17,8,ayo
2025-02-04,CHI,,MIA,"W, 133-124",28:47,11,2,2,3,3,0,2,2,9,21,32,30,23,11,ayo
2025-02-05,CHI,@,MIN,"L, 108-127",36:29,10,1,5,0,0,0,0,0,4,11,15,15,11,4,ayo
2025-02-08,CHI,,GSW,"L, 111-132",30:16,6,1,3,1,1,0,1,1,4,10,15,14,11,5,ayo
2025-02-11,CHI,,DET,"L, 92-132",20:11,6,1,3,1,2,0,1,1,2,8,11,10,9,3,ayo
2025-02-12,CHI,,DET,"L, 110-128",35:05,16,0,5,5,6,1,2,3,6,23,32,29,26,9,ayo
2025-02-20,CHI,@,NYK,"L, 111-113 (OT)",28:07,8,1,5,0,0,0,5,5,3,5,13,8,10,8,ayo
2025-02-28,CHI,,TOR,"W, 125-115 (OT)",22:39,9,0,2,1,2,0,5,5,2,11,18,13,16,7,ayo
