Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,CHI,@,NOP,"L, 111-123",17:18,8,1,3,4,4,3,2,5,0,15,20,15,20,5,jalen
2024-10-25,CHI,@,MIL,"W, 133-122",14:50,9,3,5,0,0,3,2,5,1,11,17,12,16,6,jalen
2024-10-26,CHI,,OKC,"L, 95-114",11:03,4,1,2,1,2,2,4,6,0,4,10,4,10,6,jalen
2024-10-28,CHI,@,MEM,"W, 126-123",11:31,5,3,4,5,9,0,7,7,1,16,24,17,23,8,jalen
2024-11-01,CHI,@,BRK,"L, 112-120",13:35,4,1,3,0,0,1,4,5,0,5,10,5,10,5,jalen
2024-11-04,CHI,,UTA,"L, 126-135",15:07,9,2,5,0,0,2,1,3,1,8,12,9,11,4,jalen
2024-11-06,CHI,@,DAL,"L, 99-119",15:45,5,0,3,0,0,0,5,5,0,2,7,2,7,5,jalen
2024-11-07,CHI,,MIN,"L, 119-135",15:46,7,1,4,0,0,2,4,6,0,9,15,9,15,6,jalen
2024-11-09,CHI,@,ATL,"W, 125-113",16:33,10,2,5,0,0,1,4,5,2,10,17,12,15,7,jalen
2024-11-13,CHI,@,NYK,"W, 124-123",13:33,2,0,2,0,0,0,4,4,1,0,5,1,4,5,jalen
2024-11-15,CHI,@,CLE,"L, 126-144",14:08,3,0,1,2,2,0,3,3,1,6,10,7,9,4,jalen
2024-11-17,CHI,,HOU,"L, 107-143",14:37,7,0,3,1,1,3,4,7,0,5,12,5,12,7,jalen
2024-11-18,CHI,@,DET,"W, 122-112",12:55,5,2,3,2,2,2,3,5,2,8,15,10,13,7,jalen
2024-11-20,CHI,@,MIL,"L, 106-122",11:43,5,1,3,0,0,0,1,1,2,5,8,7,6,3,jalen
2024-11-22,CHI,,ATL,"W, 136-122",14:37,5,4,5,1,2,1,4,5,0,13,18,13,18,5,jalen
2024-11-23,CHI,,MEM,"L, 131-142",15:22,5,1,3,0,0,1,4,5,0,7,12,7,12,5,jalen
2024-11-26,CHI,@,WAS,"W, 127-108",17:33,11,0,4,2,3,3,6,9,2,12,23,14,21,11,jalen
2024-11-29,CHI,,BOS,"L, 129-138",13:55,4,0,3,0,0,0,7,7,1,2,10,3,9,8,jalen
2024-12-02,CHI,,BRK,"W, 128-102",15:25,5,1,2,3,3,2,3,5,0,8,13,8,13,5,jalen
2024-12-05,CHI,@,SAS,"W, 139-124",12:03,6,1,4,2,2,1,2,3,1,9,13,10,12,4,jalen
2024-12-06,CHI,,IND,"L, 123-132",18:09,6,0,3,4,4,3,4,7,0,10,17,10,17,7,jalen
2024-12-08,CHI,,PHI,"L, 100-108",19:11,7,3,5,0,0,0,4,4,0,11,15,11,15,4,jalen
2024-12-13,CHI,,CHO,"W, 109-95",28:46,10,1,5,4,6,3,8,11,2,11,24,13,22,13,jalen
2024-12-16,CHI,@,TOR,"W, 122-121",15:46,5,2,2,2,2,2,3,5,1,10,16,11,15,6,jalen
2024-12-19,CHI,@,BOS,"W, 117-108",15:00,0,0,0,0,0,1,5,6,1,0,7,1,6,7,jalen
2024-12-21,CHI,,BOS,"L, 98-123",16:36,3,0,1,0,0,0,8,8,1,2,11,3,10,9,jalen
2024-12-23,CHI,,MIL,"L, 91-112",16:47,11,1,5,1,1,2,5,7,2,14,23,16,21,9,jalen
2024-12-26,CHI,@,ATL,"L, 133-141",11:56,5,0,0,0,0,1,5,6,0,8,14,8,14,6,jalen
2024-12-30,CHI,@,CHO,"W, 115-108 (OT)",18:09,10,1,6,0,0,1,4,5,0,11,16,11,16,5,jalen
2025-01-01,CHI,@,WAS,"L, 107-125",13:42,6,1,4,0,0,0,2,2,0,3,5,3,5,2,jalen
2025-01-04,CHI,,NYK,"W, 139-126",13:59,7,2,6,2,2,1,4,5,1,10,16,11,15,6,jalen
2025-01-06,CHI,,SAS,"W, 114-110",14:19,11,1,6,2,2,5,3,8,1,9,18,10,17,9,jalen
2025-01-08,CHI,@,IND,"L, 113-129",16:51,4,2,2,3,3,2,5,7,3,13,23,16,20,10,jalen
