Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,CHI,@,NOP,"L, 111-123",30:29,11,0,1,4,7,1,4,5,3,14,22,17,19,8,josh
2024-10-25,CHI,@,MIL,"W, 133-122",24:28,10,2,2,3,4,0,6,6,9,17,32,26,23,15,josh
2024-10-26,CHI,,OKC,"L, 95-114",26:26,14,2,6,0,0,2,5,7,4,14,25,18,21,11,josh
2024-10-28,CHI,@,MEM,"W, 126-123",27:56,10,2,4,2,4,4,9,13,8,12,33,20,25,21,josh
2024-10-30,CHI,,ORL,"W, 102-99",31:09,11,4,4,4,6,1,10,11,5,20,36,25,31,16,josh
2024-11-01,CHI,@,BRK,"L, 112-120",33:23,17,0,4,1,4,3,3,6,8,11,25,19,17,14,josh
2024-11-04,CHI,,UTA,"L, 126-135",30:01,11,1,4,4,5,0,2,2,7,15,24,22,17,9,josh
2024-11-06,CHI,@,DAL,"L, 99-119",27:51,9,1,3,3,4,1,2,3,6,10,19,16,13,9,josh
2024-11-07,CHI,,MIN,"L, 119-135",29:45,12,1,4,2,3,1,5,6,13,9,28,22,15,19,josh
2024-11-09,CHI,@,ATL,"W, 125-113",25:23,9,1,1,2,2,2,4,6,7,13,26,20,19,13,josh
2024-11-11,CHI,,CLE,"L, 113-119",31:25,11,2,4,2,2,1,7,8,7,18,33,25,26,15,josh
2024-11-13,CHI,@,NYK,"W, 124-123",28:08,7,1,3,0,0,1,1,2,6,5,13,11,7,8,josh
2024-11-15,CHI,@,CLE,"L, 126-144",15:11,9,1,5,0,0,0,3,3,1,5,9,6,8,4,josh
2024-11-17,CHI,,HOU,"L, 107-143",21:07,10,1,6,2,2,2,7,9,5,9,23,14,18,14,josh
2024-11-18,CHI,@,DET,"W, 122-112",28:47,10,1,4,0,0,2,6,8,10,11,29,21,19,18,josh
2024-11-20,CHI,@,MIL,"L, 106-122",25:44,9,1,4,0,0,2,2,4,3,5,12,8,9,7,josh
2024-11-22,CHI,,ATL,"W, 136-122",33:09,10,1,3,1,1,1,5,6,8,18,32,26,24,14,josh
2024-11-23,CHI,,MEM,"L, 131-142",21:02,10,2,4,0,0,1,6,7,8,12,27,20,19,15,josh
