Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,CHI,@,NOP,"L, 111-123",04:42,3,0,3,0,0,0,2,2,1,0,3,1,2,3,matas
2024-10-25,CHI,@,MIL,"W, 133-122",08:59,3,0,1,0,0,0,0,0,2,2,4,4,2,2,matas
2024-10-26,CHI,,OKC,"L, 95-114",07:07,3,0,0,1,2,1,0,1,0,3,4,3,4,1,matas
2024-10-28,CHI,@,MEM,"W, 126-123",02:58,1,0,1,0,0,0,0,0,0,0,0,0,0,0,matas
2024-10-30,CHI,,ORL,"W, 102-99",04:06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,matas
2024-11-04,CHI,,UTA,"L, 126-135",04:19,1,0,0,0,0,0,1,1,0,0,1,0,1,1,matas
2024-11-06,CHI,@,DAL,"L, 99-119",22:51,9,3,4,2,2,3,6,9,0,13,22,13,22,9,matas
2024-11-07,CHI,,MIN,"L, 119-135",16:50,3,0,2,0,0,1,2,3,0,2,5,2,5,3,matas
2024-11-09,CHI,@,ATL,"W, 125-113",05:22,0,0,0,0,2,0,1,1,0,0,1,0,1,1,matas
2024-11-11,CHI,,CLE,"L, 113-119",03:44,1,0,1,0,0,0,1,1,0,0,1,0,1,1,matas
2024-11-13,CHI,@,NYK,"W, 124-123",12:07,6,0,3,2,2,0,4,4,0,4,8,4,8,4,matas
2024-11-15,CHI,@,CLE,"L, 126-144",08:26,3,3,3,0,0,0,2,2,0,9,11,9,11,2,matas
2024-11-17,CHI,,HOU,"L, 107-143",15:54,6,2,3,2,2,1,2,3,0,8,11,8,11,3,matas
2024-11-18,CHI,@,DET,"W, 122-112",02:16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,matas
2024-11-20,CHI,@,MIL,"L, 106-122",05:42,1,0,1,2,2,0,2,2,0,2,4,2,4,2,matas
2024-11-22,CHI,,ATL,"W, 136-122",19:59,8,1,4,2,2,0,4,4,0,9,13,9,13,4,matas
2024-11-23,CHI,,MEM,"L, 131-142",29:24,13,2,5,0,1,1,2,3,1,14,18,15,17,4,matas
2024-11-26,CHI,@,WAS,"W, 127-108",17:17,7,1,4,0,0,1,3,4,0,9,13,9,13,4,matas
2024-11-27,CHI,@,ORL,"L, 119-133",25:16,7,1,5,2,2,0,2,2,0,7,9,7,9,2,matas
2024-11-29,CHI,,BOS,"L, 129-138",04:57,2,0,1,0,0,0,2,2,0,2,4,2,4,2,matas
2024-12-02,CHI,,BRK,"W, 128-102",21:48,10,4,5,2,2,1,4,5,1,20,26,21,25,6,matas
2024-12-05,CHI,@,SAS,"W, 139-124",18:31,7,2,3,1,2,2,5,7,1,11,19,12,18,8,matas
2024-12-06,CHI,,IND,"L, 123-132",17:30,7,2,3,2,2,0,2,2,3,8,13,11,10,5,matas
2024-12-08,CHI,,PHI,"L, 100-108",23:31,7,0,5,1,1,0,3,3,0,5,8,5,8,3,matas
2024-12-13,CHI,,CHO,"W, 109-95",19:58,11,1,5,2,2,3,2,5,3,5,13,8,10,8,matas
2024-12-16,CHI,@,TOR,"W, 122-121",12:33,5,1,2,0,0,0,4,4,1,7,12,8,11,5,matas
2024-12-19,CHI,@,BOS,"W, 117-108",09:45,3,0,2,0,0,0,3,3,1,0,4,1,3,4,matas
2024-12-21,CHI,,BOS,"L, 98-123",20:07,10,1,4,0,0,0,1,1,2,9,12,11,10,3,matas
2024-12-23,CHI,,MIL,"L, 91-112",15:21,4,1,3,1,2,1,1,2,1,4,7,5,6,3,matas
2024-12-28,CHI,,MIL,"W, 116-111",12:58,2,0,0,0,0,2,1,3,0,2,5,2,5,3,matas
2024-12-30,CHI,@,CHO,"W, 115-108 (OT)",10:26,6,0,1,0,0,0,2,2,0,2,4,2,4,2,matas
2025-01-01,CHI,@,WAS,"L, 107-125",14:12,5,1,3,0,0,1,3,4,0,5,9,5,9,4,matas
2025-01-04,CHI,,NYK,"W, 139-126",02:01,0,0,0,2,2,1,0,1,0,2,3,2,3,1,matas
2025-01-06,CHI,,SAS,"W, 114-110",12:13,3,0,2,0,0,1,0,1,1,0,2,1,1,2,matas
2025-01-08,CHI,@,IND,"L, 113-129",13:03,2,0,1,0,0,1,1,2,0,2,4,2,4,2,matas
2025-01-10,CHI,,WAS,"W, 138-105",15:40,4,2,3,0,0,0,3,3,0,8,11,8,11,3,matas
2025-01-12,CHI,,SAC,"L, 119-124",12:50,2,1,1,0,0,1,1,2,0,5,7,5,7,2,matas
2025-01-14,CHI,,NOP,"L, 113-119",11:56,6,1,3,0,0,0,4,4,0,5,9,5,9,4,matas
2025-01-15,CHI,,ATL,"L, 94-110",17:29,8,0,3,0,0,0,5,5,0,8,13,8,13,5,matas
2025-01-17,CHI,,CHO,"L, 123-125",04:10,2,0,1,0,0,0,0,0,0,2,2,2,2,0,matas
2025-01-19,CHI,@,POR,"L, 102-113",14:50,5,1,2,2,2,1,2,3,0,7,10,7,10,3,matas
2025-01-20,CHI,@,LAC,"W, 112-99",12:31,6,1,3,2,2,3,1,4,0,5,9,5,9,4,matas
