Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,CHI,@,NOP,"L, 111-123",30:42,12,1,2,4,5,2,9,11,1,21,33,22,32,12,nikola
2024-10-25,CHI,@,MIL,"W, 133-122",32:00,17,4,9,4,4,2,8,10,4,22,36,26,32,14,nikola
2024-10-26,CHI,,OKC,"L, 95-114",32:31,12,2,2,2,2,3,10,13,2,18,33,20,31,15,nikola
2024-10-28,CHI,@,MEM,"W, 126-123",35:00,19,4,8,0,0,2,5,7,5,22,34,27,29,12,nikola
2024-10-30,CHI,,ORL,"W, 102-99",35:30,16,0,3,4,4,6,8,14,5,18,37,23,32,19,nikola
2024-11-01,CHI,@,BRK,"L, 112-120",33:57,11,3,4,5,5,3,8,11,3,28,42,31,39,14,nikola
2024-11-04,CHI,,UTA,"L, 126-135",32:53,17,2,5,3,3,1,9,10,6,23,39,29,33,16,nikola
2024-11-06,CHI,@,DAL,"L, 99-119",24:51,10,0,2,0,0,3,7,10,3,14,27,17,24,13,nikola
2024-11-07,CHI,,MIN,"L, 119-135",30:26,15,3,5,0,2,2,3,5,2,25,32,27,30,7,nikola
2024-11-09,CHI,@,ATL,"W, 125-113",31:27,13,2,4,0,0,2,10,12,1,18,31,19,30,13,nikola
2024-11-11,CHI,,CLE,"L, 113-119",34:53,15,1,3,1,2,2,6,8,3,20,31,23,28,11,nikola
2024-11-13,CHI,@,NYK,"W, 124-123",34:27,14,0,2,1,1,3,8,11,3,19,33,22,30,14,nikola
2024-11-15,CHI,@,CLE,"L, 126-144",32:59,16,2,4,1,1,0,8,8,2,25,35,27,33,10,nikola
2024-11-17,CHI,,HOU,"L, 107-143",25:20,7,1,3,2,2,0,6,6,2,9,17,11,15,8,nikola
2024-11-18,CHI,@,DET,"W, 122-112",35:05,18,6,8,1,2,2,10,12,3,29,44,32,41,15,nikola
2024-11-20,CHI,@,MIL,"L, 106-122",34:41,15,2,7,0,0,1,5,6,6,14,26,20,20,12,nikola
2024-11-22,CHI,,ATL,"W, 136-122",33:23,14,2,5,2,2,1,12,13,3,18,34,21,31,16,nikola
2024-11-23,CHI,,MEM,"L, 131-142",28:02,14,2,4,6,6,4,4,8,3,26,37,29,34,11,nikola
2024-11-26,CHI,@,WAS,"W, 127-108",28:32,14,1,3,0,0,1,11,12,4,19,35,23,31,16,nikola
2024-11-27,CHI,@,ORL,"L, 119-133",30:08,20,2,6,1,2,1,10,11,4,19,34,23,30,15,nikola
2024-11-29,CHI,,BOS,"L, 129-138",34:05,16,6,9,4,6,0,11,11,3,32,46,35,43,14,nikola
2024-12-02,CHI,,BRK,"W, 128-102",28:09,11,3,5,2,2,2,8,10,3,21,34,24,31,13,nikola
2024-12-05,CHI,@,SAS,"W, 139-124",34:58,22,2,6,5,6,2,6,8,5,39,52,44,47,13,nikola
2024-12-06,CHI,,IND,"L, 123-132",29:51,11,3,5,0,0,3,6,9,2,13,24,15,22,11,nikola
2024-12-08,CHI,,PHI,"L, 100-108",28:49,7,1,2,4,4,1,7,8,3,13,24,16,21,11,nikola
2024-12-16,CHI,@,TOR,"W, 122-121",32:10,17,2,4,2,2,1,4,5,3,24,32,27,29,8,nikola
2024-12-19,CHI,@,BOS,"W, 117-108",33:00,9,2,3,0,0,2,12,14,4,16,34,20,30,18,nikola
2024-12-21,CHI,,BOS,"L, 98-123",32:08,19,0,4,3,3,6,4,10,2,19,31,21,29,12,nikola
2024-12-23,CHI,,MIL,"L, 91-112",30:58,16,2,8,1,2,2,10,12,3,17,32,20,29,15,nikola
2024-12-26,CHI,@,ATL,"L, 133-141",36:04,13,1,1,0,0,2,6,8,3,19,30,22,27,11,nikola
2024-12-28,CHI,,MIL,"W, 116-111",38:25,24,3,7,0,0,5,8,13,5,23,41,28,36,18,nikola
