Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,CHI,@,NOP,"L, 111-123",24:04,7,1,4,1,2,2,1,3,3,6,12,9,9,6,patrick
2024-10-25,CHI,@,MIL,"W, 133-122",36:05,11,2,4,1,1,1,4,5,2,13,20,15,18,7,patrick
2024-10-26,CHI,,OKC,"L, 95-114",26:23,8,1,4,0,0,2,6,8,2,3,13,5,11,10,patrick
2024-10-28,CHI,@,MEM,"W, 126-123",24:36,10,1,5,0,0,1,5,6,1,5,12,6,11,7,patrick
2024-10-30,CHI,,ORL,"W, 102-99",29:47,8,3,5,1,2,1,6,7,2,10,19,12,17,9,patrick
2024-11-01,CHI,@,BRK,"L, 112-120",28:22,8,0,4,2,2,1,5,6,1,6,13,7,12,7,patrick
2024-11-04,CHI,,UTA,"L, 126-135",26:44,11,3,6,0,0,0,2,2,2,13,17,15,15,4,patrick
2024-11-06,CHI,@,DAL,"L, 99-119",23:26,4,2,4,2,2,0,6,6,1,8,15,9,14,7,patrick
2024-11-07,CHI,,MIN,"L, 119-135",31:15,9,2,4,2,2,0,0,0,1,12,13,13,12,1,patrick
2024-11-09,CHI,@,ATL,"W, 125-113",29:08,9,0,4,4,4,2,5,7,3,10,20,13,17,10,patrick
2024-11-11,CHI,,CLE,"L, 113-119",35:38,13,3,7,0,0,1,9,10,3,13,26,16,23,13,patrick
2024-11-13,CHI,@,NYK,"W, 124-123",33:29,9,3,4,3,4,2,4,6,2,18,26,20,24,8,patrick
2024-11-15,CHI,@,CLE,"L, 126-144",34:21,7,4,5,3,4,1,2,3,9,17,29,26,20,12,patrick
2024-11-17,CHI,,HOU,"L, 107-143",16:21,9,1,7,2,2,0,1,1,1,7,9,8,8,2,patrick
2024-11-18,CHI,@,DET,"W, 122-112",33:21,10,2,4,0,0,2,3,5,2,8,15,10,13,7,patrick
2024-12-13,CHI,,CHO,"W, 109-95",13:57,7,0,5,2,2,0,2,2,1,4,7,5,6,3,patrick
2024-12-16,CHI,@,TOR,"W, 122-121",21:23,6,0,2,2,2,2,2,4,1,6,11,7,10,5,patrick
2024-12-19,CHI,@,BOS,"W, 117-108",22:57,13,4,9,0,0,0,2,2,1,14,17,15,16,3,patrick
2024-12-21,CHI,,BOS,"L, 98-123",21:49,11,2,4,2,2,0,5,5,5,14,24,19,19,10,patrick
2024-12-23,CHI,,MIL,"L, 91-112",22:54,8,3,6,0,0,0,4,4,1,13,18,14,17,5,patrick
2024-12-26,CHI,@,ATL,"L, 133-141",27:09,10,1,6,0,0,1,2,3,4,11,18,15,14,7,patrick
2024-12-28,CHI,,MIL,"W, 116-111",28:41,8,1,1,0,0,0,2,2,1,9,12,10,11,3,patrick
2024-12-30,CHI,@,CHO,"W, 115-108 (OT)",32:17,11,5,10,2,2,1,2,3,0,17,20,17,20,3,patrick
2025-01-01,CHI,@,WAS,"L, 107-125",22:43,6,1,4,0,0,0,3,3,3,7,13,10,10,6,patrick
2025-01-04,CHI,,NYK,"W, 139-126",34:56,5,0,2,3,3,0,5,5,5,5,15,10,10,10,patrick
2025-01-06,CHI,,SAS,"W, 114-110",34:18,7,3,5,1,2,0,1,1,3,12,16,15,13,4,patrick
2025-01-08,CHI,@,IND,"L, 113-129",21:23,5,0,3,2,4,0,3,3,0,2,5,2,5,3,patrick
2025-01-10,CHI,,WAS,"W, 138-105",19:24,8,0,4,0,0,1,2,3,3,2,8,5,5,6,patrick
2025-01-12,CHI,,SAC,"L, 119-124",34:12,12,1,5,1,1,0,5,5,5,8,18,13,13,10,patrick
2025-01-14,CHI,,NOP,"L, 113-119",20:03,7,2,4,0,0,0,1,1,1,8,10,9,9,2,patrick
2025-01-15,CHI,,ATL,"L, 94-110",24:32,8,2,3,0,0,0,2,2,0,10,12,10,12,2,patrick
2025-01-17,CHI,,CHO,"L, 123-125",16:55,8,1,5,0,0,0,0,0,1,5,6,6,5,1,patrick
2025-01-19,CHI,@,POR,"L, 102-113",25:39,11,2,5,3,4,0,3,3,1,15,19,16,18,4,patrick
2025-01-20,CHI,@,LAC,"W, 112-99",25:51,7,2,4,0,0,1,4,5,3,8,16,11,13,8,patrick
2025-01-23,CHI,@,GSW,"L, 106-131",27:08,11,1,4,0,0,0,3,3,1,7,11,8,10,4,patrick
2025-01-25,CHI,,PHI,"L, 97-109",27:06,9,0,4,0,1,0,4,4,3,2,9,5,6,7,patrick
2025-01-27,CHI,,DEN,"W, 129-121",28:25,12,1,5,0,0,3,5,8,3,11,22,14,19,11,patrick
2025-01-29,CHI,@,BOS,"L, 100-122",30:09,11,3,7,1,1,1,6,7,4,16,27,20,23,11,patrick
2025-01-31,CHI,@,TOR,"W, 122-106",28:43,11,2,5,1,2,1,8,9,1,11,21,12,20,10,patrick
2025-02-02,CHI,@,DET,"L, 119-127",19:59,8,1,2,2,3,2,1,3,0,11,14,11,14,3,patrick
2025-02-04,CHI,,MIA,"W, 133-124",30:55,8,2,5,2,2,2,5,7,4,10,21,14,17,11,patrick
2025-02-05,CHI,@,MIN,"L, 108-127",24:46,10,0,4,2,5,0,3,3,1,8,12,9,11,4,patrick
2025-02-08,CHI,,GSW,"L, 111-132",19:43,6,1,3,3,4,1,1,2,0,8,10,8,10,2,patrick
2025-02-11,CHI,,DET,"L, 92-132",19:40,8,1,3,0,0,2,1,3,0,5,8,5,8,3,patrick
