Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,CHO,@,HOU,"W, 110-105",10:44,4,1,2,1,1,1,0,1,1,6,8,7,7,2,brandon
2024-11-02,CHO,,BOS,"L, 103-113",31:21,18,3,9,1,2,0,4,4,6,16,26,22,20,10,brandon
2024-11-04,CHO,@,MIN,"L, 93-114",21:10,10,2,7,2,2,0,2,2,1,10,13,11,12,3,brandon
2024-11-06,CHO,,DET,"W, 108-107",28:32,16,3,11,4,4,2,4,6,4,19,29,23,25,10,brandon
2024-11-08,CHO,,IND,"W, 103-83",33:25,17,7,11,2,2,0,6,6,6,29,41,35,35,12,brandon
2024-11-10,CHO,@,PHI,"L, 105-107 (OT)",40:37,16,3,11,5,5,1,6,7,2,22,31,24,29,9,brandon
2024-11-12,CHO,@,ORL,"L, 89-114",37:32,18,1,11,1,1,0,3,3,7,8,18,15,11,10,brandon
2024-11-16,CHO,,MIL,"W, 115-114",33:37,17,3,11,0,0,0,4,4,3,13,20,16,17,7,brandon
2024-11-17,CHO,@,CLE,"L, 114-128",34:53,20,3,12,0,0,1,4,5,4,15,24,19,20,9,brandon
2024-11-19,CHO,@,BRK,"L, 115-116",38:28,17,5,9,2,2,1,2,3,4,29,36,33,32,7,brandon
2024-11-21,CHO,,DET,"W, 123-121 (OT)",42:13,26,8,12,0,0,1,6,7,4,38,49,42,45,11,brandon
2024-11-23,CHO,@,MIL,"L, 119-125",42:48,23,6,13,4,4,2,9,11,3,32,46,35,43,14,brandon
2024-11-25,CHO,,ORL,"L, 84-95",37:57,17,2,7,6,7,1,9,10,4,20,34,24,30,14,brandon
2024-11-27,CHO,,MIA,"L, 94-98",37:32,19,5,13,0,1,0,2,2,3,21,26,24,23,5,brandon
2024-11-29,CHO,,NYK,"L, 98-99",37:22,25,2,11,4,4,4,2,6,3,20,29,23,26,9,brandon
2024-11-30,CHO,,ATL,"L, 104-107",38:46,30,7,19,5,5,3,5,8,4,32,44,36,40,12,brandon
2024-12-03,CHO,,PHI,"L, 104-110",36:42,25,7,16,3,5,0,3,3,1,34,38,35,37,4,brandon
2024-12-05,CHO,@,NYK,"L, 101-125",29:37,19,5,12,3,3,1,5,6,3,26,35,29,32,9,brandon
2024-12-07,CHO,,CLE,"L, 102-116",34:19,21,3,13,8,8,1,3,4,1,25,30,26,29,5,brandon
2024-12-08,CHO,@,IND,"W, 113-109",40:02,18,4,9,4,5,2,4,6,5,26,37,31,32,11,brandon
2024-12-13,CHO,@,CHI,"L, 95-109",37:45,21,3,15,2,2,0,6,6,3,21,30,24,27,9,brandon
2024-12-16,CHO,,PHI,"L, 108-121",31:12,9,2,7,2,3,0,4,4,4,12,20,16,16,8,brandon
2024-12-26,CHO,@,WAS,"L, 110-113",36:22,21,4,12,2,2,0,3,3,9,18,30,27,21,12,brandon
2025-01-05,CHO,@,CLE,"L, 105-115",31:40,14,6,10,2,3,1,1,2,2,24,28,26,26,4,brandon
2025-01-07,CHO,,PHO,"W, 115-104",32:35,16,3,12,0,0,0,3,3,2,13,18,15,16,5,brandon
2025-01-12,CHO,@,PHO,"L, 113-120",33:20,16,3,8,4,4,1,3,4,6,19,29,25,23,10,brandon
2025-01-15,CHO,@,UTA,"W, 117-112",33:03,18,3,10,1,4,2,3,5,3,20,28,23,25,8,brandon
