Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,CHO,@,HOU,"W, 110-105",37:55,20,4,12,10,10,1,7,8,11,34,53,45,42,19,lamelo
2024-10-25,CHO,@,ATL,"L, 120-125",28:43,20,9,14,5,6,1,4,5,4,34,43,38,39,9,lamelo
2024-10-26,CHO,,MIA,"L, 106-114",36:31,22,2,10,7,8,2,6,8,7,27,42,34,35,15,lamelo
2024-10-30,CHO,,TOR,"W, 138-133",32:24,20,4,12,1,1,0,3,3,6,19,28,25,22,9,lamelo
2024-11-01,CHO,,BOS,"L, 109-124",31:08,25,5,14,2,3,0,2,2,4,31,37,35,33,6,lamelo
2024-11-02,CHO,,BOS,"L, 103-113",37:08,26,6,12,0,0,2,2,4,6,36,46,42,40,10,lamelo
2024-11-04,CHO,@,MIN,"L, 93-114",24:36,15,2,8,5,7,0,2,2,2,19,23,21,21,4,lamelo
2024-11-06,CHO,,DET,"W, 108-107",31:59,23,5,12,0,0,2,4,6,8,25,39,33,31,14,lamelo
2024-11-08,CHO,,IND,"W, 103-83",33:14,29,5,18,6,8,1,6,7,6,31,44,37,38,13,lamelo
2024-11-10,CHO,@,PHI,"L, 105-107 (OT)",40:31,30,6,18,6,7,1,3,4,8,38,50,46,42,12,lamelo
2024-11-12,CHO,@,ORL,"L, 89-114",35:07,27,6,14,3,3,1,5,6,7,35,48,42,41,13,lamelo
2024-11-16,CHO,,MIL,"W, 115-114",36:20,20,1,7,11,11,2,7,9,6,26,41,32,35,15,lamelo
2024-11-17,CHO,@,CLE,"L, 114-128",35:18,29,5,15,4,4,0,1,1,12,31,44,43,32,13,lamelo
2024-11-19,CHO,@,BRK,"L, 115-116",23:57,13,3,8,3,3,1,1,2,5,12,19,17,14,7,lamelo
2024-11-21,CHO,,DET,"W, 123-121 (OT)",32:37,27,4,14,7,8,1,5,6,9,35,50,44,41,15,lamelo
2024-11-23,CHO,@,MIL,"L, 119-125",39:41,38,6,17,10,13,0,5,5,10,50,65,60,55,15,lamelo
2024-11-25,CHO,,ORL,"L, 84-95",39:43,30,4,11,6,8,0,9,9,7,44,60,51,53,16,lamelo
2024-11-27,CHO,,MIA,"L, 94-98",36:52,35,7,20,3,5,2,8,10,7,32,49,39,42,17,lamelo
2024-12-16,CHO,,PHI,"L, 108-121",25:50,15,3,8,2,4,0,5,5,11,15,31,26,20,16,lamelo
2024-12-19,CHO,@,WAS,"L, 114-123",33:32,32,3,18,9,10,1,3,4,13,34,51,47,38,17,lamelo
2024-12-23,CHO,,HOU,"L, 101-114",30:29,18,5,11,0,0,1,4,5,8,23,36,31,28,13,lamelo
2024-12-26,CHO,@,WAS,"L, 110-113",37:55,27,4,13,3,3,0,6,6,6,31,43,37,37,12,lamelo
2025-01-05,CHO,@,CLE,"L, 105-115",33:12,20,3,11,7,9,1,2,3,4,24,31,28,27,7,lamelo
2025-01-07,CHO,,PHO,"W, 115-104",35:09,28,5,16,3,5,5,5,10,7,32,49,39,42,17,lamelo
2025-01-12,CHO,@,PHO,"L, 113-120",39:31,25,5,17,2,2,1,5,6,11,25,42,36,31,17,lamelo
2025-01-15,CHO,@,UTA,"W, 117-112",39:03,21,2,9,3,3,0,6,6,9,27,42,36,33,15,lamelo
2025-01-17,CHO,@,CHI,"W, 125-123",32:05,19,1,9,11,13,0,1,1,9,26,36,35,27,10,lamelo
2025-01-20,CHO,,DAL,"W, 110-105",37:48,21,5,10,2,4,1,6,7,9,23,39,32,30,16,lamelo
2025-01-22,CHO,@,MEM,"L, 120-132",34:13,20,2,6,6,6,3,5,8,6,22,36,28,30,14,lamelo
2025-01-25,CHO,,NOP,"W, 123-92",30:11,21,4,13,3,6,0,5,5,7,25,37,32,30,12,lamelo
2025-01-27,CHO,,LAL,"L, 107-112",08:45,5,2,3,1,2,0,0,0,1,7,8,8,7,1,lamelo
2025-02-07,CHO,,SAS,"W, 117-116",36:12,26,4,11,2,2,1,3,4,10,24,38,34,28,14,lamelo
2025-02-10,CHO,@,BRK,"L, 89-97",10:19,5,1,3,0,0,0,1,1,3,5,9,8,6,4,lamelo
2025-02-19,CHO,@,LAL,"W, 100-97",33:15,19,5,13,4,4,0,5,5,6,27,38,33,32,11,lamelo
2025-02-22,CHO,@,POR,"L, 88-141",21:49,10,0,4,3,4,0,4,4,2,5,11,7,9,6,lamelo
2025-02-24,CHO,@,SAC,"L, 88-130",28:35,13,1,7,6,6,3,3,6,9,13,28,22,19,15,lamelo
2025-03-01,CHO,,WAS,"L, 100-113",32:24,19,5,13,1,1,1,6,7,3,20,30,23,27,10,lamelo
2025-03-03,CHO,,GSW,"L, 101-119",34:25,21,4,9,5,8,2,7,9,7,25,41,32,34,16,lamelo
2025-03-05,CHO,,MIN,"L, 110-125",36:21,28,4,12,2,2,2,8,10,6,28,44,34,38,16,lamelo
2025-03-07,CHO,,CLE,"L, 117-118",22:50,13,3,10,2,2,0,1,1,7,13,21,20,14,8,lamelo
2025-03-10,CHO,@,MIA,"W, 105-102",36:10,21,2,12,3,3,2,4,6,10,15,31,25,21,16,lamelo
2025-03-12,CHO,@,ATL,"L, 110-123",30:24,21,3,11,10,10,2,0,2,9,25,36,34,27,11,lamelo
2025-03-14,CHO,@,SAS,"W, 145-134",29:07,13,7,11,2,2,1,2,3,15,27,45,42,30,18,lamelo
2025-03-16,CHO,@,LAC,"L, 88-123",30:51,18,2,8,4,5,0,2,2,5,16,23,21,18,7,lamelo
2025-03-20,CHO,,NYK,"W, 115-98",27:31,23,5,10,0,0,2,3,5,8,25,38,33,30,13,lamelo
2025-03-23,CHO,@,MIA,"L, 105-122",34:04,19,2,10,4,4,1,2,3,11,18,32,29,21,14,lamelo
2025-03-25,CHO,,ORL,"L, 104-111",28:47,13,3,4,4,4,0,1,1,9,25,35,34,26,10,lamelo
