Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,CHO,@,HOU,"W, 110-105",32:17,11,0,3,0,0,0,9,9,2,10,21,12,19,11,miles
2024-10-25,CHO,@,ATL,"L, 120-125",30:30,17,3,8,8,8,1,4,5,0,27,32,27,32,5,miles
2024-10-26,CHO,,MIA,"L, 106-114",34:47,14,2,6,2,4,2,7,9,2,16,27,18,25,11,miles
2024-10-30,CHO,,TOR,"W, 138-133",23:54,11,1,7,2,2,0,3,3,2,7,12,9,10,5,miles
2024-11-01,CHO,,BOS,"L, 109-124",31:20,16,2,10,2,3,0,7,7,3,14,24,17,21,10,miles
2024-11-02,CHO,,BOS,"L, 103-113",31:18,6,1,2,1,2,0,8,8,5,6,19,11,14,13,miles
2024-11-04,CHO,@,MIN,"L, 93-114",25:00,13,1,6,1,2,1,5,6,4,10,20,14,16,10,miles
2024-11-06,CHO,,DET,"W, 108-107",35:00,14,2,3,9,9,1,6,7,2,27,36,29,34,9,miles
2024-11-16,CHO,,MIL,"W, 115-114",26:57,15,3,7,2,2,2,5,7,3,19,29,22,26,10,miles
2024-11-17,CHO,@,CLE,"L, 114-128",26:49,15,4,8,1,1,1,7,8,8,19,35,27,27,16,miles
2024-11-19,CHO,@,BRK,"L, 115-116",33:18,14,5,9,0,0,0,3,3,2,21,26,23,24,5,miles
2024-12-13,CHO,@,CHI,"L, 95-109",24:37,16,0,6,4,4,3,6,9,4,14,27,18,23,13,miles
2024-12-16,CHO,,PHI,"L, 108-121",28:14,19,2,8,2,3,1,5,6,4,24,34,28,30,10,miles
2024-12-19,CHO,@,WAS,"L, 114-123",31:53,16,0,4,2,3,1,7,8,3,16,27,19,24,11,miles
2024-12-20,CHO,@,PHI,"L, 98-108",28:44,13,1,7,6,6,1,6,7,1,15,23,16,22,8,miles
2024-12-23,CHO,,HOU,"L, 101-114",29:00,17,2,6,4,4,0,8,8,3,24,35,27,32,11,miles
2024-12-26,CHO,@,WAS,"L, 110-113",33:43,17,4,9,2,2,1,13,14,6,22,42,28,36,20,miles
2024-12-28,CHO,,OKC,"L, 94-106",38:29,16,1,8,8,8,1,9,10,6,19,35,25,29,16,miles
2024-12-30,CHO,,CHI,"L, 108-115 (OT)",36:11,32,2,13,3,3,1,11,12,8,31,51,39,43,20,miles
2025-01-03,CHO,@,DET,"L, 94-98",39:09,16,3,7,7,9,0,9,9,5,20,34,25,29,14,miles
2025-01-05,CHO,@,CLE,"L, 105-115",26:29,14,1,6,0,0,1,7,8,3,11,22,14,19,11,miles
2025-01-07,CHO,,PHO,"W, 115-104",36:46,17,2,5,3,3,1,6,7,3,21,31,24,28,10,miles
2025-01-12,CHO,@,PHO,"L, 113-120",32:02,15,3,5,2,2,0,5,5,5,21,31,26,26,10,miles
2025-01-15,CHO,@,UTA,"W, 117-112",38:55,16,3,7,4,4,2,8,10,4,25,39,29,35,14,miles
2025-01-17,CHO,@,CHI,"W, 125-123",31:37,15,3,6,2,2,1,3,4,3,21,28,24,25,7,miles
2025-01-20,CHO,,DAL,"W, 110-105",32:11,15,4,7,3,4,1,4,5,2,23,30,25,28,7,miles
2025-01-22,CHO,@,MEM,"L, 120-132",34:02,14,2,8,5,6,0,5,5,6,17,28,23,22,11,miles
2025-01-25,CHO,,NOP,"W, 123-92",28:17,13,2,4,4,6,2,4,6,3,22,31,25,28,9,miles
2025-01-27,CHO,,LAL,"L, 107-112",36:59,23,2,11,4,4,1,7,8,4,26,38,30,34,12,miles
2025-01-29,CHO,,BRK,"L, 83-104",31:58,21,1,8,6,7,2,11,13,1,23,37,24,36,14,miles
2025-01-31,CHO,,LAC,"L, 104-112",37:40,27,1,8,2,3,1,8,9,6,27,42,33,36,15,miles
2025-02-01,CHO,,DEN,"L, 104-107",33:55,23,1,5,3,4,2,10,12,2,24,38,26,36,14,miles
2025-02-03,CHO,,WAS,"L, 114-124",36:42,21,2,7,4,4,3,7,10,10,24,44,34,34,20,miles
2025-02-05,CHO,,MIL,"L, 102-112",26:28,17,1,5,0,0,1,5,6,6,15,27,21,21,12,miles
2025-02-07,CHO,,SAS,"W, 117-116",34:41,18,3,6,2,2,1,6,7,2,25,34,27,32,9,miles
2025-02-09,CHO,@,DET,"L, 102-112",36:06,20,5,9,5,7,1,8,9,3,30,42,33,39,12,miles
2025-02-10,CHO,@,BRK,"L, 89-97",28:47,11,0,3,1,2,3,4,7,3,7,17,10,14,10,miles
2025-02-12,CHO,@,ORL,"L, 86-102",36:27,23,2,8,5,5,0,8,8,4,19,31,23,27,12,miles
2025-02-19,CHO,@,LAL,"W, 100-97",33:24,22,5,11,6,7,1,5,6,0,29,35,29,35,6,miles
2025-02-20,CHO,@,DEN,"L, 115-129",33:45,23,5,10,7,7,4,9,13,7,36,56,43,49,20,miles
2025-02-22,CHO,@,POR,"L, 88-141",23:27,14,3,6,2,2,0,3,3,3,17,23,20,20,6,miles
2025-02-24,CHO,@,SAC,"L, 88-130",30:03,19,4,8,1,2,2,4,6,1,23,30,24,29,7,miles
2025-02-25,CHO,@,GSW,"L, 92-128",26:04,11,0,5,5,6,1,6,7,2,9,18,11,16,9,miles
2025-02-27,CHO,@,DAL,"L, 96-103",39:47,24,2,8,0,0,0,12,12,6,20,38,26,32,18,miles
2025-03-01,CHO,,WAS,"L, 100-113",35:31,16,3,6,1,1,4,3,7,7,18,32,25,25,14,miles
2025-03-03,CHO,,GSW,"L, 101-119",33:44,20,4,9,9,9,1,8,9,3,35,47,38,44,12,miles
2025-03-05,CHO,,MIN,"L, 110-125",34:38,20,1,8,4,6,1,8,9,5,23,37,28,32,14,miles
2025-03-07,CHO,,CLE,"L, 117-118",38:57,32,4,10,12,13,1,7,8,2,46,56,48,54,10,miles
2025-03-08,CHO,,BRK,"W, 105-102",35:27,20,2,6,6,6,3,9,12,5,26,43,31,38,17,miles
2025-03-10,CHO,@,MIA,"W, 105-102",37:19,19,5,11,6,6,0,5,5,5,35,45,40,40,10,miles
2025-03-12,CHO,@,ATL,"L, 110-123",36:37,19,5,8,4,6,0,11,11,5,31,47,36,42,16,miles
2025-03-14,CHO,@,SAS,"W, 145-134",28:46,14,2,7,5,7,1,6,7,8,21,36,29,28,15,miles
