Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,CHO,@,HOU,"W, 110-105",14:59,4,0,0,0,0,2,3,5,0,2,7,2,7,5,moussa
2024-10-25,CHO,@,ATL,"L, 120-125",09:50,2,0,0,0,2,1,3,4,0,2,6,2,6,4,moussa
2024-10-26,CHO,,MIA,"L, 106-114",07:52,2,0,0,1,2,2,0,2,0,5,7,5,7,2,moussa
2024-10-30,CHO,,TOR,"W, 138-133",09:26,0,0,0,0,0,1,3,4,1,0,5,1,4,5,moussa
2024-11-01,CHO,,BOS,"L, 109-124",15:47,4,0,0,1,2,6,1,7,1,7,15,8,14,8,moussa
2024-11-02,CHO,,BOS,"L, 103-113",14:27,0,0,0,1,2,1,3,4,1,1,6,2,5,5,moussa
2024-11-04,CHO,@,MIN,"L, 93-114",11:05,1,0,0,0,0,1,4,5,0,2,7,2,7,5,moussa
2024-11-06,CHO,,DET,"W, 108-107",06:35,3,0,0,0,0,0,5,5,0,4,9,4,9,5,moussa
2024-11-08,CHO,,IND,"W, 103-83",28:59,1,0,0,0,0,4,11,15,0,0,15,0,15,15,moussa
2024-11-10,CHO,@,PHI,"L, 105-107 (OT)",23:22,4,0,0,0,0,5,6,11,1,4,16,5,15,12,moussa
2024-11-12,CHO,@,ORL,"L, 89-114",29:57,7,0,0,0,0,3,12,15,2,12,29,14,27,17,moussa
2024-11-16,CHO,,MIL,"W, 115-114",24:46,7,0,0,0,0,10,4,14,1,12,27,13,26,15,moussa
2024-11-17,CHO,@,CLE,"L, 114-128",11:47,2,0,0,0,0,3,1,4,0,2,6,2,6,4,moussa
2024-11-19,CHO,@,BRK,"L, 115-116",15:38,2,0,0,0,0,2,5,7,0,0,7,0,7,7,moussa
2024-11-21,CHO,,DET,"W, 123-121 (OT)",32:28,2,0,0,1,3,7,9,16,1,1,18,2,17,17,moussa
2024-11-23,CHO,@,MIL,"L, 119-125",31:29,4,0,0,0,0,7,4,11,2,0,13,2,11,13,moussa
2024-11-25,CHO,,ORL,"L, 84-95",32:18,2,0,0,0,0,3,5,8,0,2,10,2,10,8,moussa
2024-11-27,CHO,,MIA,"L, 94-98",33:04,1,0,0,0,0,6,5,11,2,0,13,2,11,13,moussa
2024-11-29,CHO,,NYK,"L, 98-99",37:09,4,0,0,0,3,5,6,11,1,6,18,7,17,12,moussa
2024-11-30,CHO,,ATL,"L, 104-107",22:25,3,0,0,1,1,8,0,8,3,3,14,6,11,11,moussa
2024-12-03,CHO,,PHI,"L, 104-110",09:38,0,0,0,0,0,1,0,1,0,0,1,0,1,1,moussa
2024-12-05,CHO,@,NYK,"L, 101-125",16:06,3,0,0,0,0,1,2,3,0,4,7,4,7,3,moussa
2024-12-13,CHO,@,CHI,"L, 95-109",08:26,2,0,0,1,2,2,1,3,0,5,8,5,8,3,moussa
2024-12-16,CHO,,PHI,"L, 108-121",15:42,2,0,0,0,0,2,1,3,0,4,7,4,7,3,moussa
2024-12-19,CHO,@,WAS,"L, 114-123",11:35,2,0,0,0,0,4,3,7,2,4,13,6,11,9,moussa
2024-12-20,CHO,@,PHI,"L, 98-108",18:28,4,0,0,3,4,3,4,7,0,7,14,7,14,7,moussa
2024-12-23,CHO,,HOU,"L, 101-114",15:58,6,0,0,2,4,1,4,5,0,14,19,14,19,5,moussa
2024-12-26,CHO,@,WAS,"L, 110-113",05:26,1,0,0,0,0,1,2,3,0,0,3,0,3,3,moussa
2024-12-28,CHO,,OKC,"L, 94-106",13:50,1,0,0,0,0,0,3,3,1,0,4,1,3,4,moussa
2024-12-30,CHO,,CHI,"L, 108-115 (OT)",08:49,0,0,0,0,0,0,3,3,0,0,3,0,3,3,moussa
2025-01-17,CHO,@,CHI,"W, 125-123",15:02,2,0,0,0,0,0,3,3,0,2,5,2,5,3,moussa
2025-01-20,CHO,,DAL,"W, 110-105",17:57,6,0,0,2,2,2,0,2,0,10,12,10,12,2,moussa
2025-01-22,CHO,@,MEM,"L, 120-132",15:21,2,0,0,1,1,2,0,2,0,3,5,3,5,2,moussa
2025-01-24,CHO,,POR,"L, 97-102",20:39,6,0,0,0,0,2,4,6,2,6,14,8,12,8,moussa
2025-01-25,CHO,,NOP,"W, 123-92",28:53,2,0,0,5,7,4,9,13,3,9,25,12,22,16,moussa
2025-01-27,CHO,,LAL,"L, 107-112",10:44,4,0,0,0,0,2,2,4,0,4,8,4,8,4,moussa
2025-01-29,CHO,,BRK,"L, 83-104",27:13,6,0,0,3,6,4,4,8,1,13,22,14,21,9,moussa
2025-01-31,CHO,,LAC,"L, 104-112",31:56,11,0,0,1,2,7,7,14,0,11,25,11,25,14,moussa
2025-02-01,CHO,,DEN,"L, 104-107",20:50,9,0,2,0,3,3,4,7,3,12,22,15,19,10,moussa
2025-02-03,CHO,,WAS,"L, 114-124",16:22,2,0,0,3,4,2,5,7,1,5,13,6,12,8,moussa
2025-02-05,CHO,,MIL,"L, 102-112",22:53,2,0,0,6,8,3,10,13,2,10,25,12,23,15,moussa
2025-02-07,CHO,,SAS,"W, 117-116",33:14,10,0,0,1,1,7,8,15,6,9,30,15,24,21,moussa
2025-02-09,CHO,@,DET,"L, 102-112",07:06,2,0,0,1,2,0,1,1,0,5,6,5,6,1,moussa
2025-02-10,CHO,@,BRK,"L, 89-97",26:40,11,0,0,3,6,3,7,10,0,21,31,21,31,10,moussa
2025-02-20,CHO,@,DEN,"L, 115-129",29:18,10,0,0,5,7,2,4,6,0,11,17,11,17,6,moussa
2025-02-22,CHO,@,POR,"L, 88-141",13:06,2,0,0,1,2,1,6,7,2,5,14,7,12,9,moussa
2025-02-24,CHO,@,SAC,"L, 88-130",21:07,10,0,0,2,4,5,2,7,0,12,19,12,19,7,moussa
2025-02-25,CHO,@,GSW,"L, 92-128",22:31,2,0,0,3,4,2,3,5,3,5,13,8,10,8,moussa
2025-02-27,CHO,@,DAL,"L, 96-103",12:58,7,0,0,0,1,4,2,6,0,8,14,8,14,6,moussa
2025-03-01,CHO,,WAS,"L, 100-113",12:55,5,0,0,0,0,0,2,2,1,4,7,5,6,3,moussa
2025-03-03,CHO,,GSW,"L, 101-119",01:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moussa
2025-03-05,CHO,,MIN,"L, 110-125",11:50,3,0,0,2,2,3,1,4,1,6,11,7,10,5,moussa
2025-03-07,CHO,,CLE,"L, 117-118",10:41,5,0,0,0,0,1,2,3,2,6,11,8,9,5,moussa
2025-03-08,CHO,,BRK,"W, 105-102",36:31,12,0,0,0,0,10,5,15,2,16,33,18,31,17,moussa
