Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,CHO,@,HOU,"W, 110-105",28:57,16,4,8,4,4,3,3,6,1,24,31,25,30,7,tre
2024-10-25,CHO,@,ATL,"L, 120-125",24:57,19,2,7,3,3,3,0,3,4,17,24,21,20,7,tre
2024-10-26,CHO,,MIA,"L, 106-114",31:45,11,2,5,2,2,0,5,5,4,14,23,18,19,9,tre
2024-10-30,CHO,,TOR,"W, 138-133",28:13,19,4,8,3,3,0,1,1,4,27,32,31,28,5,tre
2024-11-01,CHO,,BOS,"L, 109-124",29:31,18,3,6,0,0,1,3,4,5,23,32,28,27,9,tre
2024-11-02,CHO,,BOS,"L, 103-113",22:24,9,1,2,1,1,0,1,1,3,10,14,13,11,4,tre
2024-11-04,CHO,@,MIN,"L, 93-114",20:59,8,0,0,2,2,1,3,4,6,10,20,16,14,10,tre
2024-11-06,CHO,,DET,"W, 108-107",21:14,7,0,4,0,0,0,3,3,2,4,9,6,7,5,tre
2024-11-08,CHO,,IND,"W, 103-83",27:02,13,2,5,0,0,1,1,2,4,14,20,18,16,6,tre
2024-11-10,CHO,@,PHI,"L, 105-107 (OT)",15:57,6,1,4,2,2,0,0,0,0,5,5,5,5,0,tre
2024-11-16,CHO,,MIL,"W, 115-114",21:19,8,1,2,0,0,1,3,4,0,11,15,11,15,4,tre
2024-11-19,CHO,@,BRK,"L, 115-116",25:33,17,4,6,1,2,2,1,3,6,19,28,25,22,9,tre
2024-11-21,CHO,,DET,"W, 123-121 (OT)",21:10,10,0,3,1,2,0,2,2,0,5,7,5,7,2,tre
