Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,ATL,,BRK,"W, 120-116",25:47,10,2,4,4,5,1,5,6,1,12,19,13,18,7,de andre
2024-10-25,ATL,,CHO,"W, 125-120",33:09,14,2,6,8,8,1,6,7,3,24,34,27,31,10,de andre
2024-11-15,ATL,,WAS,"W, 129-117",20:52,13,3,5,5,7,0,3,3,1,22,26,23,25,4,de andre
2024-11-18,ATL,@,SAC,"W, 109-108",24:34,15,4,8,2,2,1,1,2,1,24,27,25,26,3,de andre
2024-11-20,ATL,@,GSW,"L, 97-120",25:06,12,0,6,4,4,2,4,6,1,10,17,11,16,7,de andre
2024-11-22,ATL,@,CHI,"L, 122-136",29:15,12,1,4,1,1,0,2,2,0,14,16,14,16,2,de andre
2024-11-25,ATL,,DAL,"L, 119-129",31:23,11,1,5,2,2,0,4,4,2,9,15,11,13,6,de andre
2024-11-27,ATL,@,CLE,"W, 135-124",30:28,16,5,9,3,4,0,5,5,1,26,32,27,31,6,de andre
2024-11-29,ATL,,CLE,"W, 117-101",27:56,12,4,7,5,5,0,5,5,3,23,31,26,28,8,de andre
2024-11-30,ATL,@,CHO,"W, 107-104",24:36,9,1,3,7,8,1,2,3,0,18,21,18,21,3,de andre
2024-12-02,ATL,,NOP,"W, 124-112",28:40,14,4,7,2,2,1,1,2,0,22,24,22,24,2,de andre
2024-12-04,ATL,@,MIL,"W, 119-104",28:14,13,2,7,6,6,0,5,5,2,20,27,22,25,7,de andre
2024-12-06,ATL,,LAL,"W, 134-132 (OT)",33:54,15,5,7,3,4,0,3,3,2,26,31,28,29,5,de andre
2024-12-08,ATL,,DEN,"L, 111-141",24:27,20,3,9,3,3,1,2,3,1,20,24,21,23,4,de andre
2024-12-11,ATL,@,NYK,"W, 108-100",28:52,15,4,5,4,6,1,0,1,0,24,25,24,25,1,de andre
2024-12-14,ATL,@,MIL,"L, 102-110",29:53,16,3,6,2,4,1,6,7,3,15,25,18,22,10,de andre
2024-12-19,ATL,@,SAS,"L, 126-133 (OT)",36:18,15,4,8,5,5,1,5,6,1,27,34,28,33,7,de andre
2024-12-21,ATL,,MEM,"L, 112-128",24:14,14,1,5,7,7,0,2,2,0,26,28,26,28,2,de andre
2024-12-23,ATL,,MIN,"W, 117-104",28:25,9,3,7,6,6,0,4,4,2,19,25,21,23,6,de andre
2024-12-26,ATL,,CHI,"W, 141-133",27:53,14,3,7,10,10,1,5,6,1,25,32,26,31,7,de andre
2024-12-28,ATL,,MIA,"W, 120-110",28:39,14,4,7,6,7,0,5,5,2,26,33,28,31,7,de andre
2024-12-29,ATL,@,TOR,"W, 136-107",22:17,11,2,3,4,7,1,2,3,2,22,27,24,25,5,de andre
2025-01-01,ATL,@,DEN,"L, 120-139",26:06,14,3,5,3,5,2,2,4,3,20,27,23,24,7,de andre
2025-01-03,ATL,@,LAL,"L, 102-119",27:12,12,0,6,1,2,1,2,3,1,3,7,4,6,4,de andre
2025-01-04,ATL,@,LAC,"L, 105-131",28:25,16,4,11,2,2,0,3,3,2,18,23,20,21,5,de andre
2025-01-07,ATL,@,UTA,"W, 124-121",27:26,11,4,7,3,5,1,3,4,1,17,22,18,21,5,de andre
2025-01-09,ATL,@,PHO,"L, 115-123",27:02,9,2,7,4,4,0,3,3,4,12,19,16,15,7,de andre
2025-01-18,ATL,@,BOS,"W, 119-115 (OT)",32:02,14,1,8,3,3,3,3,6,1,16,23,17,22,7,de andre
2025-01-20,ATL,@,NYK,"L, 110-119",30:22,14,4,7,4,6,0,0,0,1,22,23,23,22,1,de andre
2025-01-22,ATL,,DET,"L, 104-114",29:55,14,0,9,6,6,0,0,0,3,10,13,13,10,3,de andre
2025-01-23,ATL,,TOR,"L, 119-122",30:36,11,2,8,0,0,0,2,2,2,8,12,10,10,4,de andre
2025-01-27,ATL,@,MIN,"L, 92-100",31:36,21,4,8,7,8,0,2,2,1,35,38,36,37,3,de andre
2025-01-28,ATL,,HOU,"L, 96-100",28:39,15,1,7,3,4,0,5,5,0,16,21,16,21,5,de andre
2025-01-30,ATL,@,CLE,"L, 115-137",30:39,13,1,7,12,12,2,3,5,2,25,32,27,30,7,de andre
2025-02-01,ATL,@,IND,"L, 127-132",29:29,5,0,3,2,4,4,4,8,2,4,14,6,12,10,de andre
2025-02-03,ATL,@,DET,"W, 132-130",30:44,14,4,8,2,2,0,0,0,0,20,20,20,20,0,de andre
2025-02-05,ATL,,SAS,"L, 125-126",38:33,15,6,11,0,0,1,9,10,5,22,37,27,32,15,de andre
2025-02-10,CLE,,MIN,"W, 128-107",22:57,7,3,4,3,4,0,1,1,0,12,13,12,13,1,de andre
2025-02-12,CLE,@,TOR,"W, 131-108",26:58,12,4,9,2,2,0,5,5,0,18,23,18,23,5,de andre
2025-02-20,CLE,@,BRK,"W, 110-97",26:30,10,2,4,1,2,0,4,4,1,9,14,10,13,5,de andre
2025-02-21,CLE,,NYK,"W, 142-105",19:13,7,4,4,0,0,0,0,0,1,16,17,17,16,1,de andre
2025-02-23,CLE,,MEM,"W, 129-123",25:21,10,0,4,4,4,2,6,8,2,12,22,14,20,10,de andre
2025-02-25,CLE,@,ORL,"W, 122-82",26:45,8,4,5,3,4,0,3,3,2,17,22,19,20,5,de andre
2025-02-28,CLE,@,BOS,"W, 123-116",28:51,6,3,3,1,2,0,5,5,1,12,18,13,17,6,de andre
2025-03-02,CLE,,POR,"W, 133-129 (OT)",31:32,15,5,9,11,12,2,5,7,0,32,39,32,39,7,de andre
2025-03-04,CLE,@,CHI,"W, 139-117",23:40,7,0,2,2,2,0,5,5,0,6,11,6,11,5,de andre
2025-03-05,CLE,,MIA,"W, 112-107",24:08,12,0,4,4,4,2,3,5,2,16,23,18,21,7,de andre
2025-03-07,CLE,@,CHO,"W, 118-117",24:46,6,2,4,5,6,1,5,6,4,15,25,19,21,10,de andre
