Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,CLE,@,TOR,"W, 136-106",27:40,14,2,5,5,7,0,2,2,3,21,26,24,23,5,donovan
2024-10-25,CLE,,DET,"W, 113-101",30:07,21,1,8,2,4,1,1,2,5,19,26,24,21,7,donovan
2024-10-26,CLE,@,WAS,"W, 135-116",29:18,18,6,11,2,3,1,3,4,5,30,39,35,34,9,donovan
2024-10-28,CLE,@,NYK,"W, 110-104",33:15,17,3,8,4,4,0,2,2,5,25,32,30,27,7,donovan
2024-10-30,CLE,,LAL,"W, 134-110",30:27,20,4,10,0,0,1,2,3,7,24,34,31,27,10,donovan
2024-11-01,CLE,,ORL,"W, 120-109",22:04,15,2,5,2,2,0,3,3,1,22,26,23,25,4,donovan
2024-11-02,CLE,@,MIL,"W, 114-113",34:33,25,4,8,4,4,2,1,3,4,30,37,34,33,7,donovan
2024-11-04,CLE,,MIL,"W, 116-114",31:05,15,3,7,1,2,0,4,4,4,14,22,18,18,8,donovan
2024-11-06,CLE,@,NOP,"W, 131-122",33:43,20,3,9,6,6,0,4,4,3,29,36,32,33,7,donovan
2024-11-08,CLE,,GSW,"W, 136-117",26:26,13,2,7,2,2,0,5,5,4,12,21,16,17,9,donovan
2024-11-09,CLE,,BRK,"W, 105-100",34:32,12,4,6,8,8,0,1,1,1,22,24,23,23,2,donovan
2024-11-11,CLE,@,CHI,"W, 119-113",34:33,26,7,16,5,6,1,7,8,2,36,46,38,44,10,donovan
2024-11-13,CLE,@,PHI,"W, 114-106",34:23,21,5,13,0,0,2,11,13,9,23,45,32,36,22,donovan
2024-11-15,CLE,,CHI,"W, 144-126",34:06,23,7,13,6,7,0,7,7,4,37,48,41,44,11,donovan
2024-11-19,CLE,@,BOS,"L, 117-120",40:09,29,3,11,6,8,1,7,8,3,35,46,38,43,11,donovan
2024-11-20,CLE,,NOP,"W, 128-100",19:37,10,1,5,1,2,0,2,2,2,10,14,12,12,4,donovan
2024-11-24,CLE,,TOR,"W, 122-108",34:39,18,5,9,1,1,0,4,4,1,26,31,27,30,5,donovan
2024-11-27,CLE,,ATL,"L, 124-135",36:25,24,4,14,6,8,0,4,4,7,30,41,37,34,11,donovan
2024-11-29,CLE,@,ATL,"L, 101-117",35:03,23,2,10,0,0,2,9,11,6,12,29,18,23,17,donovan
2024-12-01,CLE,,BOS,"W, 115-111",35:22,21,6,11,5,8,1,6,7,3,35,45,38,42,10,donovan
2024-12-03,CLE,,WAS,"W, 118-87",27:59,15,4,8,3,3,0,5,5,7,19,31,26,24,12,donovan
2024-12-05,CLE,,DEN,"W, 126-114",32:56,24,6,10,0,0,1,2,3,6,28,37,34,31,9,donovan
2024-12-07,CLE,@,CHO,"W, 116-102",36:08,12,5,10,1,2,1,7,8,8,18,34,26,26,16,donovan
2024-12-08,CLE,@,MIA,"L, 113-122",30:50,16,1,5,1,1,0,1,1,5,12,18,17,13,6,donovan
2024-12-13,CLE,,WAS,"W, 115-105",34:19,18,4,11,2,3,0,6,6,6,20,32,26,26,12,donovan
2024-12-16,CLE,@,BRK,"W, 130-101",30:22,14,3,10,3,4,0,3,3,5,18,26,23,21,8,donovan
2024-12-20,CLE,,MIL,"W, 124-101",27:13,15,3,7,6,8,0,4,4,6,27,37,33,31,10,donovan
2024-12-21,CLE,,PHI,"W, 126-99",27:54,16,4,10,1,1,0,4,4,5,19,28,24,23,9,donovan
2024-12-23,CLE,,UTA,"W, 124-113",33:42,15,4,8,4,5,0,3,3,7,22,32,29,25,10,donovan
2024-12-27,CLE,@,DEN,"W, 149-135",30:21,17,6,12,7,7,2,3,5,6,33,44,39,38,11,donovan
2024-12-30,CLE,@,GSW,"W, 113-95",27:21,19,5,11,0,0,0,3,3,4,23,30,27,26,7,donovan
2024-12-31,CLE,@,LAL,"W, 122-110",32:11,20,6,13,4,5,1,3,4,4,26,34,30,30,8,donovan
2025-01-03,CLE,@,DAL,"W, 134-122",26:44,11,2,7,3,3,0,0,0,6,15,21,21,15,6,donovan
2025-01-05,CLE,,CHO,"W, 115-105",29:16,16,3,7,0,0,0,3,3,4,19,26,23,22,7,donovan
2025-01-08,CLE,,OKC,"W, 129-122",35:09,16,2,7,3,4,1,5,6,4,11,21,15,17,10,donovan
2025-01-12,CLE,,IND,"L, 93-108",30:50,17,3,7,2,2,2,1,3,1,19,23,20,22,4,donovan
2025-01-14,CLE,@,IND,"W, 127-117",31:19,23,3,9,8,8,2,7,9,3,35,47,38,44,12,donovan
2025-01-16,CLE,@,OKC,"L, 114-134",20:41,15,1,4,1,2,0,2,2,2,8,12,10,10,4,donovan
2025-01-18,CLE,@,MIN,"W, 124-117",33:36,27,4,15,8,9,2,6,8,7,36,51,43,44,15,donovan
