Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,CLE,@,TOR,"W, 136-106",26:57,14,1,2,6,6,4,5,9,3,25,37,28,34,12,evan
2024-10-25,CLE,,DET,"W, 113-101",31:44,12,2,3,2,2,1,5,6,3,16,25,19,22,9,evan
2024-10-26,CLE,@,WAS,"W, 135-116",32:18,13,0,2,5,7,1,12,13,4,13,30,17,26,17,evan
2024-10-28,CLE,@,NYK,"W, 110-104",35:48,12,1,1,2,2,0,8,8,1,17,26,18,25,9,evan
2024-10-30,CLE,,LAL,"W, 134-110",18:45,16,0,0,1,1,1,4,5,0,25,30,25,30,5,evan
2024-11-01,CLE,,ORL,"W, 120-109",29:45,11,1,3,1,1,1,11,12,3,14,29,17,26,15,evan
2024-11-02,CLE,@,MIL,"W, 114-113",31:35,13,0,1,0,0,1,6,7,5,14,26,19,21,12,evan
2024-11-04,CLE,,MIL,"W, 116-114",31:51,15,1,3,4,6,1,4,5,3,17,25,20,22,8,evan
2024-11-06,CLE,@,NOP,"W, 131-122",28:31,16,0,1,1,3,5,4,9,3,15,27,18,24,12,evan
2024-11-08,CLE,,GSW,"W, 136-117",26:26,12,0,3,9,10,0,4,4,4,23,31,27,27,8,evan
2024-11-09,CLE,,BRK,"W, 105-100",35:15,11,1,1,2,5,3,13,16,1,23,40,24,39,17,evan
2024-11-11,CLE,@,CHI,"W, 119-113",31:24,10,0,1,3,3,5,6,11,2,15,28,17,26,13,evan
2024-11-13,CLE,@,PHI,"W, 114-106",34:12,8,0,0,6,6,2,5,7,1,14,22,15,21,8,evan
2024-11-17,CLE,,CHO,"W, 128-114",34:25,12,2,3,3,3,1,10,11,0,23,34,23,34,11,evan
2024-11-19,CLE,@,BOS,"L, 117-120",38:01,13,1,3,5,5,6,5,11,6,22,39,28,33,17,evan
2024-11-20,CLE,,NOP,"W, 128-100",17:51,9,1,2,2,2,2,5,7,1,9,17,10,16,8,evan
