Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,CLE,@,TOR,"W, 136-106",26:05,7,0,0,4,5,2,5,7,1,14,22,15,21,8,jarrett
2024-10-25,CLE,,DET,"W, 113-101",31:13,7,0,0,7,8,0,11,11,2,17,30,19,28,13,jarrett
2024-10-26,CLE,@,WAS,"W, 135-116",25:04,10,0,0,3,4,1,4,5,1,23,29,24,28,6,jarrett
2024-10-28,CLE,@,NYK,"W, 110-104",31:24,7,0,0,5,7,5,10,15,1,15,31,16,30,16,jarrett
2024-10-30,CLE,,LAL,"W, 134-110",30:40,12,0,0,2,2,3,14,17,1,20,38,21,37,18,jarrett
2024-11-01,CLE,,ORL,"W, 120-109",28:28,3,0,0,0,0,2,9,11,1,2,14,3,13,12,jarrett
2024-11-02,CLE,@,MIL,"W, 114-113",32:25,10,0,0,3,6,2,10,12,1,15,28,16,27,13,jarrett
2024-11-04,CLE,,MIL,"W, 116-114",34:42,14,0,0,0,2,1,14,15,6,14,35,20,29,21,jarrett
2024-11-06,CLE,@,NOP,"W, 131-122",34:48,10,0,0,2,2,2,12,14,2,16,32,18,30,16,jarrett
2024-11-08,CLE,,GSW,"W, 136-117",30:17,7,0,0,3,5,4,8,12,3,13,28,16,25,15,jarrett
2024-11-09,CLE,,BRK,"W, 105-100",21:07,6,0,0,2,2,1,2,3,0,4,7,4,7,3,jarrett
2024-11-11,CLE,@,CHI,"W, 119-113",26:17,7,0,0,3,4,1,4,5,2,9,16,11,14,7,jarrett
2024-11-13,CLE,@,PHI,"W, 114-106",32:06,8,0,0,1,2,1,11,12,1,11,24,12,23,13,jarrett
2024-11-15,CLE,,CHI,"W, 144-126",36:33,15,0,0,2,2,1,9,10,3,24,37,27,34,13,jarrett
2024-11-17,CLE,,CHO,"W, 128-114",31:23,7,0,0,9,10,4,11,15,0,21,36,21,36,15,jarrett
2024-11-19,CLE,@,BOS,"L, 117-120",28:19,6,0,0,0,0,3,8,11,2,10,23,12,21,13,jarrett
2024-11-20,CLE,,NOP,"W, 128-100",21:03,7,0,0,2,2,6,5,11,4,16,31,20,27,15,jarrett
2024-11-24,CLE,,TOR,"W, 122-108",32:19,14,0,0,3,5,6,7,13,2,23,38,25,36,15,jarrett
2024-11-27,CLE,,ATL,"L, 124-135",31:40,7,0,0,5,7,2,8,10,1,17,28,18,27,11,jarrett
2024-11-29,CLE,@,ATL,"L, 101-117",25:15,3,0,0,0,0,0,5,5,0,6,11,6,11,5,jarrett
2024-12-01,CLE,,BOS,"W, 115-111",31:43,6,0,0,0,1,2,8,10,0,8,18,8,18,10,jarrett
2024-12-03,CLE,,WAS,"W, 118-87",24:47,6,0,1,1,2,1,2,3,1,11,15,12,14,4,jarrett
2024-12-05,CLE,,DEN,"W, 126-114",35:22,5,0,0,2,2,4,11,15,6,8,29,14,23,21,jarrett
2024-12-07,CLE,@,CHO,"W, 116-102",32:59,8,0,0,3,4,3,7,10,3,11,24,14,21,13,jarrett
2024-12-08,CLE,@,MIA,"L, 113-122",28:38,7,0,0,0,0,0,7,7,1,6,14,7,13,8,jarrett
2024-12-13,CLE,,WAS,"W, 115-105",33:22,9,0,0,7,10,3,8,11,2,21,34,23,32,13,jarrett
2024-12-16,CLE,@,BRK,"W, 130-101",23:44,5,0,0,2,3,3,5,8,4,12,24,16,20,12,jarrett
2024-12-20,CLE,,MIL,"W, 124-101",24:40,6,0,0,0,0,1,9,10,0,10,20,10,20,10,jarrett
