Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,CLE,@,TOR,"W, 136-106",06:40,1,1,1,1,2,0,2,2,1,4,7,5,6,3,jaylon
2024-10-25,CLE,,DET,"W, 113-101",01:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jaylon
2024-10-26,CLE,@,WAS,"W, 135-116",07:53,3,1,1,0,0,0,1,1,0,3,4,3,4,1,jaylon
2024-10-30,CLE,,LAL,"W, 134-110",05:16,0,0,0,0,0,0,1,1,1,0,2,1,1,2,jaylon
2024-11-08,CLE,,GSW,"W, 136-117",03:26,2,0,2,0,0,0,0,0,0,0,0,0,0,0,jaylon
2024-11-17,CLE,,CHO,"W, 128-114",01:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jaylon
2024-11-20,CLE,,NOP,"W, 128-100",37:23,12,1,4,1,2,5,6,11,7,16,34,23,27,18,jaylon
2024-11-24,CLE,,TOR,"W, 122-108",06:51,2,0,1,0,0,1,0,1,0,0,1,0,1,1,jaylon
2024-11-27,CLE,,ATL,"L, 124-135",10:44,2,0,0,0,0,0,2,2,1,2,5,3,4,3,jaylon
2024-11-29,CLE,@,ATL,"L, 101-117",10:57,1,0,0,1,2,3,0,3,0,3,6,3,6,3,jaylon
2024-12-01,CLE,,BOS,"W, 115-111",03:57,0,0,0,0,0,0,1,1,0,0,1,0,1,1,jaylon
2024-12-03,CLE,,WAS,"W, 118-87",05:41,3,0,1,0,0,1,1,2,1,2,5,3,4,3,jaylon
2024-12-07,CLE,@,CHO,"W, 116-102",04:52,1,0,1,0,0,0,0,0,0,0,0,0,0,0,jaylon
2024-12-08,CLE,@,MIA,"L, 113-122",01:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jaylon
2024-12-20,CLE,,MIL,"W, 124-101",09:13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,jaylon
2024-12-21,CLE,,PHI,"W, 126-99",14:12,5,1,1,1,2,2,1,3,1,8,12,9,11,4,jaylon
