Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,CLE,@,TOR,"W, 136-106",16:04,4,1,3,2,2,0,0,0,1,7,8,8,7,1,sam
2024-10-25,CLE,,DET,"W, 113-101",15:48,4,0,4,0,0,0,1,1,2,0,3,2,1,3,sam
2024-10-26,CLE,@,WAS,"W, 135-116",19:35,8,3,7,2,2,1,1,2,1,11,14,12,13,3,sam
2024-10-28,CLE,@,NYK,"W, 110-104",21:50,5,2,5,0,0,0,2,2,2,6,10,8,8,4,sam
2024-10-30,CLE,,LAL,"W, 134-110",21:16,4,1,4,0,0,0,0,0,3,3,6,6,3,3,sam
2024-11-01,CLE,,ORL,"W, 120-109",20:04,3,2,3,0,0,0,2,2,1,6,9,7,8,3,sam
2024-11-02,CLE,@,MIL,"W, 114-113",22:05,10,5,9,0,0,0,1,1,1,17,19,18,18,2,sam
2024-11-04,CLE,,MIL,"W, 116-114",27:18,10,2,6,0,0,0,5,5,2,12,19,14,17,7,sam
2024-11-06,CLE,@,NOP,"W, 131-122",19:12,6,3,6,0,0,1,1,2,0,9,11,9,11,2,sam
2024-11-08,CLE,,GSW,"W, 136-117",14:36,4,1,4,2,2,0,2,2,1,5,8,6,7,3,sam
2024-11-09,CLE,,BRK,"W, 105-100",20:00,4,2,4,0,0,0,2,2,2,6,10,8,8,4,sam
2024-11-11,CLE,@,CHI,"W, 119-113",18:16,5,0,5,0,0,0,1,1,3,0,4,3,1,4,sam
2024-11-19,CLE,@,BOS,"L, 117-120",19:02,3,2,3,0,0,0,1,1,1,6,8,7,7,2,sam
2024-11-24,CLE,,TOR,"W, 122-108",19:46,6,1,4,0,0,1,3,4,3,3,10,6,7,7,sam
2024-11-27,CLE,,ATL,"L, 124-135",16:54,8,2,6,0,0,1,1,2,0,10,12,10,12,2,sam
2024-11-29,CLE,@,ATL,"L, 101-117",19:54,7,2,7,1,2,0,0,0,1,7,8,8,7,1,sam
2024-12-01,CLE,,BOS,"W, 115-111",20:40,5,1,5,0,0,0,1,1,2,3,6,5,4,3,sam
2024-12-03,CLE,,WAS,"W, 118-87",23:04,10,4,9,0,0,1,2,3,6,14,23,20,17,9,sam
2024-12-05,CLE,,DEN,"W, 126-114",20:33,8,2,7,0,0,0,5,5,2,8,15,10,13,7,sam
