Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-24,DEN,,OKC,"L, 87-102",32:33,12,0,1,2,2,5,4,9,2,12,23,14,21,11,aaron
2024-10-26,DEN,,LAC,"L, 104-109",35:51,10,1,4,3,4,2,3,5,2,10,17,12,15,7,aaron
2024-10-28,DEN,@,TOR,"W, 127-125 (OT)",42:07,8,2,2,6,8,5,6,11,8,16,35,24,27,19,aaron
2024-10-29,DEN,@,BRK,"W, 144-139 (OT)",33:15,11,1,3,7,7,1,4,5,2,24,31,26,29,7,aaron
2024-11-01,DEN,@,MIN,"L, 116-119",38:03,18,5,7,4,5,4,7,11,2,31,44,33,42,13,aaron
2024-11-02,DEN,,UTA,"W, 129-103",26:16,9,2,3,0,0,2,4,6,5,12,23,17,18,11,aaron
2024-11-04,DEN,,TOR,"W, 121-119",04:16,2,1,2,0,0,0,0,0,1,3,4,4,3,1,aaron
2024-12-01,DEN,@,LAC,"L, 122-126",23:48,7,1,2,1,1,0,1,1,4,10,15,14,11,5,aaron
2024-12-03,DEN,,GSW,"W, 119-115",32:54,6,3,4,4,6,0,9,9,5,15,29,20,24,14,aaron
2024-12-05,DEN,@,CLE,"L, 114-126",34:21,13,0,2,2,4,2,5,7,2,18,27,20,25,9,aaron
2024-12-08,DEN,@,ATL,"W, 141-111",22:53,6,0,4,4,5,0,2,2,6,6,14,12,8,8,aaron
2024-12-13,DEN,,LAC,"W, 120-98",23:22,7,1,2,5,5,0,6,6,2,14,22,16,20,8,aaron
2024-12-16,DEN,@,SAC,"W, 130-129",30:53,14,1,3,5,6,4,3,7,2,24,33,26,31,9,aaron
2024-12-19,DEN,@,POR,"L, 124-126",30:59,6,0,3,0,2,1,5,6,3,2,11,5,8,9,aaron
2024-12-22,DEN,@,NOP,"W, 132-129 (OT)",35:18,12,2,4,3,6,5,3,8,3,17,28,20,25,11,aaron
2024-12-23,DEN,,PHO,"W, 117-90",22:49,7,2,3,2,2,0,2,2,1,12,15,13,14,3,aaron
2024-12-25,DEN,@,PHO,"L, 100-110",19:03,7,0,1,1,2,1,2,3,2,7,12,9,10,5,aaron
2025-01-12,DEN,@,DAL,"W, 112-101",18:22,7,1,2,0,0,1,5,6,2,13,21,15,19,8,aaron
2025-01-14,DEN,@,DAL,"W, 118-99",17:34,9,0,3,4,4,2,0,2,0,8,10,8,10,2,aaron
2025-01-17,DEN,@,MIA,"W, 133-113",22:03,8,1,3,5,5,0,6,6,3,16,25,19,22,9,aaron
2025-01-19,DEN,@,ORL,"W, 113-100",21:49,4,0,1,3,4,0,4,4,0,9,13,9,13,4,aaron
2025-01-21,DEN,,PHI,"W, 144-109",22:20,7,3,3,4,4,0,0,0,3,19,22,22,19,3,aaron
2025-01-23,DEN,,SAC,"W, 132-123",16:53,8,1,3,0,0,1,1,2,1,3,6,4,5,3,aaron
2025-01-25,DEN,@,MIN,"L, 104-133",24:38,10,2,5,1,2,2,1,3,2,13,18,15,16,5,aaron
2025-01-27,DEN,@,CHI,"L, 121-129",22:01,9,0,2,0,0,1,1,2,4,6,12,10,8,6,aaron
2025-01-29,DEN,@,NYK,"L, 112-122",30:29,7,1,1,2,2,2,4,6,1,15,22,16,21,7,aaron
2025-01-31,DEN,@,PHI,"W, 137-134",31:43,6,1,1,2,2,1,2,3,3,11,17,14,14,6,aaron
2025-02-01,DEN,@,CHO,"W, 107-104",30:09,10,0,4,0,0,2,1,3,2,6,11,8,9,5,aaron
2025-02-05,DEN,,NOP,"W, 144-119",30:40,9,1,4,2,2,1,3,4,12,7,23,19,11,16,aaron
