Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-24,DEN,,OKC,"L, 87-102",29:06,15,0,3,0,0,2,5,7,1,16,24,17,23,8,christian
2024-10-26,DEN,,LAC,"L, 104-109",34:16,6,1,1,2,2,1,6,7,1,11,19,12,18,8,christian
2024-10-28,DEN,@,TOR,"W, 127-125 (OT)",39:39,11,1,4,4,4,2,2,4,2,17,23,19,21,6,christian
2024-10-29,DEN,@,BRK,"W, 144-139 (OT)",38:42,7,2,3,4,6,0,3,3,3,12,18,15,15,6,christian
2024-11-01,DEN,@,MIN,"L, 116-119",35:45,11,1,3,3,3,2,5,7,2,14,23,16,21,9,christian
2024-11-02,DEN,,UTA,"W, 129-103",32:49,11,3,5,2,2,0,2,2,3,17,22,20,19,5,christian
2024-11-04,DEN,,TOR,"W, 121-119",36:03,11,1,1,2,4,1,3,4,0,17,21,17,21,4,christian
2024-11-06,DEN,,OKC,"W, 124-122",36:32,14,4,8,6,6,1,7,8,0,24,32,24,32,8,christian
2024-11-08,DEN,,MIA,"W, 135-122",35:14,9,3,4,4,6,1,5,6,2,21,29,23,27,8,christian
2024-11-10,DEN,,DAL,"W, 122-120",35:03,10,1,2,3,4,2,4,6,2,14,22,16,20,8,christian
2024-11-15,DEN,@,NOP,"L, 94-101",37:12,12,0,2,1,1,1,3,4,3,15,22,18,19,7,christian
2024-11-17,DEN,@,MEM,"L, 90-105",34:23,11,0,2,3,4,1,3,4,4,13,21,17,17,8,christian
2024-11-19,DEN,@,MEM,"W, 122-110",34:02,12,0,2,5,6,2,5,7,2,19,28,21,26,9,christian
2024-11-22,DEN,,DAL,"L, 120-123",29:20,9,2,3,3,6,4,1,5,0,17,22,17,22,5,christian
2024-11-23,DEN,@,LAL,"W, 127-102",31:27,7,2,2,0,0,0,2,2,3,16,21,19,18,5,christian
2024-11-25,DEN,,NYK,"L, 118-145",32:27,10,0,0,4,4,0,1,1,2,14,17,16,15,3,christian
2024-11-27,DEN,@,UTA,"W, 122-103",41:14,8,2,3,4,4,0,7,7,3,18,28,21,25,10,christian
2024-12-01,DEN,@,LAC,"L, 122-126",35:33,7,0,0,1,3,2,5,7,2,11,20,13,18,9,christian
2024-12-03,DEN,,GSW,"W, 119-115",35:51,7,0,2,5,7,0,6,6,2,11,19,13,17,8,christian
2024-12-05,DEN,@,CLE,"L, 114-126",39:11,10,0,3,2,2,0,4,4,0,10,14,10,14,4,christian
2024-12-07,DEN,@,WAS,"L, 113-122",37:40,14,0,3,0,0,2,0,2,0,14,16,14,16,2,christian
2024-12-08,DEN,@,ATL,"W, 141-111",32:12,11,2,2,1,2,2,6,8,4,17,29,21,25,12,christian
2024-12-13,DEN,,LAC,"W, 120-98",23:35,8,0,4,0,0,1,2,3,1,8,12,9,11,4,christian
2024-12-19,DEN,@,POR,"L, 124-126",24:30,10,1,2,2,2,0,4,4,1,13,18,14,17,5,christian
2024-12-22,DEN,@,NOP,"W, 132-129 (OT)",38:50,8,0,1,2,2,3,3,6,5,10,21,15,16,11,christian
2024-12-23,DEN,,PHO,"W, 117-90",25:53,9,0,3,0,0,1,6,7,4,4,15,8,11,11,christian
2024-12-25,DEN,@,PHO,"L, 100-110",28:07,7,0,2,1,2,3,2,5,3,5,13,8,10,8,christian
2024-12-27,DEN,,CLE,"L, 135-149",31:53,9,2,4,0,0,1,1,2,1,16,19,17,18,3,christian
2024-12-28,DEN,,DET,"W, 134-121",29:37,4,0,1,6,6,2,2,4,3,10,17,13,14,7,christian
2024-12-30,DEN,@,UTA,"W, 132-121",36:08,12,0,1,2,2,0,2,2,2,20,24,22,22,4,christian
2025-01-01,DEN,,ATL,"W, 139-120",31:48,9,0,1,1,1,0,3,3,4,15,22,19,18,7,christian
2025-01-03,DEN,,SAS,"L, 110-113",42:45,10,2,6,3,4,1,7,8,5,11,24,16,19,13,christian
2025-01-04,DEN,@,SAS,"W, 122-111 (OT)",27:04,8,0,1,0,0,0,2,2,3,8,13,11,10,5,christian
2025-01-07,DEN,,BOS,"L, 106-118",28:31,10,2,5,0,0,2,2,4,2,12,18,14,16,6,christian
2025-01-08,DEN,,LAC,"W, 126-103",28:26,8,2,2,1,1,0,2,2,1,15,18,16,17,3,christian
2025-01-10,DEN,,BRK,"W, 124-105",29:05,7,1,1,2,2,0,7,7,0,11,18,11,18,7,christian
2025-01-12,DEN,@,DAL,"W, 112-101",24:13,9,0,4,0,0,3,1,4,0,8,12,8,12,4,christian
2025-01-14,DEN,@,DAL,"W, 118-99",29:15,6,0,1,0,0,1,3,4,0,6,10,6,10,4,christian
2025-01-15,DEN,,HOU,"L, 108-128",34:49,11,2,3,0,0,2,2,4,1,22,27,23,26,5,christian
2025-01-17,DEN,@,MIA,"W, 133-113",26:46,10,0,0,0,0,0,2,2,0,12,14,12,14,2,christian
2025-01-19,DEN,@,ORL,"W, 113-100",35:35,10,1,3,7,7,5,6,11,2,20,33,22,31,13,christian
2025-01-21,DEN,,PHI,"W, 144-109",25:07,11,0,0,4,5,2,0,2,2,20,24,22,22,4,christian
2025-01-23,DEN,,SAC,"W, 132-123",25:28,14,2,5,3,4,2,0,2,1,21,24,22,23,3,christian
2025-01-25,DEN,@,MIN,"L, 104-133",26:10,8,1,2,1,1,1,4,5,3,10,18,13,15,8,christian
