Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-24,DEN,,OKC,"L, 87-102",38:27,13,2,5,2,2,2,4,6,4,12,22,16,18,10,jamal
2024-10-26,DEN,,LAC,"L, 104-109",36:51,14,3,6,5,5,0,2,2,5,22,29,27,24,7,jamal
2024-10-28,DEN,@,TOR,"W, 127-125 (OT)",39:43,20,0,2,5,5,1,8,9,7,17,33,24,26,16,jamal
2024-10-29,DEN,@,BRK,"W, 144-139 (OT)",36:44,19,2,7,6,8,0,3,3,3,24,30,27,27,6,jamal
2024-11-01,DEN,@,MIN,"L, 116-119",22:16,7,0,3,2,2,0,2,2,3,6,11,9,8,5,jamal
2024-11-08,DEN,,MIA,"W, 135-122",34:55,17,4,10,6,6,0,4,4,6,28,38,34,32,10,jamal
2024-11-10,DEN,,DAL,"W, 122-120",38:07,17,2,6,2,5,0,1,1,6,18,25,24,19,7,jamal
2024-11-15,DEN,@,NOP,"L, 94-101",42:35,16,2,8,2,2,0,6,6,8,16,30,24,22,14,jamal
2024-11-17,DEN,@,MEM,"L, 90-105",37:05,15,1,6,0,0,1,5,6,7,13,26,20,19,13,jamal
2024-11-19,DEN,@,MEM,"W, 122-110",36:00,20,5,10,2,3,1,3,4,6,27,37,33,31,10,jamal
2024-11-22,DEN,,DAL,"L, 120-123",39:14,16,4,11,2,2,0,5,5,11,14,30,25,19,16,jamal
2024-11-23,DEN,@,LAL,"W, 127-102",29:42,12,2,4,2,6,0,5,5,5,14,24,19,19,10,jamal
2024-11-25,DEN,,NYK,"L, 118-145",30:56,13,1,5,7,9,1,3,4,7,20,31,27,24,11,jamal
2024-11-27,DEN,@,UTA,"W, 122-103",36:26,18,1,6,1,1,2,2,4,8,22,34,30,26,12,jamal
2024-12-01,DEN,@,LAC,"L, 122-126",37:43,12,2,4,2,2,0,0,0,7,18,25,25,18,7,jamal
2024-12-03,DEN,,GSW,"W, 119-115",34:15,12,1,3,3,3,0,3,3,7,12,22,19,15,10,jamal
2024-12-05,DEN,@,CLE,"L, 114-126",41:37,16,1,3,4,5,1,3,4,6,19,29,25,23,10,jamal
2024-12-13,DEN,,LAC,"W, 120-98",31:35,16,2,5,2,2,0,5,5,3,20,28,23,25,8,jamal
2024-12-16,DEN,@,SAC,"W, 130-129",38:05,26,4,8,2,2,0,2,2,6,28,36,34,30,8,jamal
2024-12-19,DEN,@,POR,"L, 124-126",38:18,19,3,6,3,4,0,3,3,10,24,37,34,27,13,jamal
2024-12-22,DEN,@,NOP,"W, 132-129 (OT)",41:17,19,2,9,7,8,1,7,8,4,27,39,31,35,12,jamal
2024-12-25,DEN,@,PHO,"L, 100-110",39:06,10,1,2,4,4,0,6,6,6,13,25,19,19,12,jamal
2024-12-27,DEN,,CLE,"L, 135-149",40:23,20,3,6,4,4,0,3,3,11,27,41,38,30,14,jamal
2024-12-28,DEN,,DET,"W, 134-121",39:34,21,4,7,6,7,1,4,5,4,34,43,38,39,9,jamal
2024-12-30,DEN,@,UTA,"W, 132-121",37:14,17,2,6,4,4,1,3,4,10,20,34,30,24,14,jamal
2025-01-01,DEN,,ATL,"W, 139-120",35:31,14,2,5,7,7,1,2,3,2,21,26,23,24,5,jamal
2025-01-03,DEN,,SAS,"L, 110-113",36:33,17,2,5,0,0,1,3,4,7,14,25,21,18,11,jamal
2025-01-04,DEN,@,SAS,"W, 122-111 (OT)",37:46,17,1,3,0,0,0,6,6,6,13,25,19,19,12,jamal
2025-01-07,DEN,,BOS,"L, 106-118",39:12,17,1,5,2,2,2,2,4,4,19,27,23,23,8,jamal
2025-01-08,DEN,,LAC,"W, 126-103",33:43,13,4,6,3,3,0,3,3,9,21,33,30,24,12,jamal
2025-01-10,DEN,,BRK,"W, 124-105",16:09,5,1,2,2,2,0,0,0,3,7,10,10,7,3,jamal
2025-01-12,DEN,@,DAL,"W, 112-101",31:58,18,2,6,1,3,0,2,2,2,17,21,19,19,4,jamal
2025-01-14,DEN,@,DAL,"W, 118-99",36:59,26,5,9,4,4,0,2,2,6,45,53,51,47,8,jamal
2025-01-15,DEN,,HOU,"L, 108-128",29:38,14,4,5,2,2,0,4,4,5,22,31,27,26,9,jamal
2025-01-17,DEN,@,MIA,"W, 133-113",37:28,24,2,7,4,4,2,5,7,8,30,45,38,37,15,jamal
2025-01-19,DEN,@,ORL,"W, 113-100",37:42,16,1,6,2,2,1,1,2,4,19,25,23,21,6,jamal
2025-01-21,DEN,,PHI,"W, 144-109",32:40,7,0,3,5,5,1,5,6,7,9,22,16,15,13,jamal
2025-01-23,DEN,,SAC,"W, 132-123",39:46,18,1,6,1,2,1,5,6,5,18,29,23,24,11,jamal
2025-01-25,DEN,@,MIN,"L, 104-133",34:32,16,3,5,2,2,0,2,2,5,25,32,30,27,7,jamal
2025-01-27,DEN,@,CHI,"L, 121-129",40:10,20,1,5,1,1,2,4,6,6,18,30,24,24,12,jamal
2025-01-29,DEN,@,NYK,"L, 112-122",37:07,25,3,7,4,5,0,5,5,6,33,44,39,38,11,jamal
2025-01-31,DEN,@,PHI,"W, 137-134",39:52,22,0,4,7,7,3,3,6,11,31,48,42,37,17,jamal
2025-02-01,DEN,@,CHO,"W, 107-104",33:09,16,1,6,3,3,0,1,1,5,20,26,25,21,6,jamal
2025-02-03,DEN,,NOP,"W, 125-113",35:22,17,1,4,5,5,1,4,5,8,20,33,28,25,13,jamal
