Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-24,DEN,,OKC,"L, 87-102",35:12,13,1,3,3,4,4,8,12,13,16,41,29,28,25,nikola
2024-10-26,DEN,,LAC,"L, 104-109",36:46,26,7,12,6,8,3,6,9,4,41,54,45,50,13,nikola
2024-10-28,DEN,@,TOR,"W, 127-125 (OT)",43:41,27,3,5,1,2,3,7,10,4,40,54,44,50,14,nikola
2024-10-29,DEN,@,BRK,"W, 144-139 (OT)",40:31,16,0,0,11,13,6,12,18,16,29,63,45,47,34,nikola
2024-11-01,DEN,@,MIN,"L, 116-119",39:42,16,2,3,8,10,2,7,9,13,26,48,39,35,22,nikola
2024-11-02,DEN,,UTA,"W, 129-103",29:42,18,3,4,4,4,5,11,16,9,27,52,36,43,25,nikola
2024-11-04,DEN,,TOR,"W, 121-119",38:12,22,1,5,7,8,5,9,14,13,28,55,41,42,27,nikola
2024-11-06,DEN,,OKC,"W, 124-122",39:29,20,1,3,4,6,7,13,20,16,23,59,39,43,36,nikola
2024-11-08,DEN,,MIA,"W, 135-122",40:00,13,1,1,7,7,2,9,11,14,30,55,44,41,25,nikola
2024-11-10,DEN,,DAL,"W, 122-120",38:01,21,3,3,8,8,8,10,18,15,37,70,52,55,33,nikola
2024-11-22,DEN,,DAL,"L, 120-123",39:28,22,2,2,5,7,6,11,17,10,33,60,43,50,27,nikola
2024-11-23,DEN,@,LAL,"W, 127-102",36:37,20,3,7,7,8,2,11,13,8,34,55,42,47,21,nikola
2024-11-25,DEN,,NYK,"L, 118-145",31:50,20,2,7,2,2,3,4,7,7,22,36,29,29,14,nikola
2024-11-27,DEN,@,UTA,"W, 122-103",33:37,19,2,3,2,3,3,7,10,7,30,47,37,40,17,nikola
2024-12-01,DEN,@,LAC,"L, 122-126",39:04,24,2,7,2,4,3,11,14,11,28,53,39,42,25,nikola
2024-12-03,DEN,,GSW,"W, 119-115",40:02,24,3,4,7,9,2,8,10,6,38,54,44,48,16,nikola
