Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-24,DEN,,OKC,"L, 87-102",14:47,7,0,4,0,0,2,4,6,1,2,9,3,8,7,peyton
2024-10-26,DEN,,LAC,"L, 104-109",11:46,3,0,1,1,2,0,0,0,0,1,1,1,1,0,peyton
2024-10-28,DEN,@,TOR,"W, 127-125 (OT)",15:27,5,0,0,4,4,1,1,2,2,6,10,8,8,4,peyton
2024-10-29,DEN,@,BRK,"W, 144-139 (OT)",19:45,5,1,2,0,0,0,2,2,0,7,9,7,9,2,peyton
2024-11-01,DEN,@,MIN,"L, 116-119",13:32,6,0,2,0,0,1,0,1,0,2,3,2,3,1,peyton
2024-11-02,DEN,,UTA,"W, 129-103",19:34,9,0,1,4,4,3,1,4,1,8,13,9,12,5,peyton
2024-11-04,DEN,,TOR,"W, 121-119",30:34,7,1,2,7,9,1,2,3,1,16,20,17,19,4,peyton
2024-11-06,DEN,,OKC,"W, 124-122",33:15,9,1,4,1,4,0,3,3,3,10,16,13,13,6,peyton
2024-11-08,DEN,,MIA,"W, 135-122",32:52,11,2,3,0,0,2,3,5,1,16,22,17,21,6,peyton
2024-11-10,DEN,,DAL,"W, 122-120",39:43,9,4,4,0,0,1,4,5,1,16,22,17,21,6,peyton
2024-11-15,DEN,@,NOP,"L, 94-101",29:13,12,1,5,5,6,0,5,5,0,18,23,18,23,5,peyton
2024-11-17,DEN,@,MEM,"L, 90-105",28:07,7,1,2,0,0,1,4,5,2,7,14,9,12,7,peyton
2024-11-19,DEN,@,MEM,"W, 122-110",24:43,10,2,5,1,1,1,4,5,2,15,22,17,20,7,peyton
2024-11-22,DEN,,DAL,"L, 120-123",39:49,11,1,3,0,0,1,4,5,3,15,23,18,20,8,peyton
2024-11-23,DEN,@,LAL,"W, 127-102",35:25,8,1,1,0,0,2,3,5,2,11,18,13,16,7,peyton
2024-11-25,DEN,,NYK,"L, 118-145",22:19,4,0,1,2,2,0,0,0,0,6,6,6,6,0,peyton
2024-11-27,DEN,@,UTA,"W, 122-103",28:02,6,0,3,3,4,1,2,3,2,9,14,11,12,5,peyton
2024-12-01,DEN,@,LAC,"L, 122-126",28:36,9,1,2,0,0,2,3,5,2,13,20,15,18,7,peyton
2024-12-03,DEN,,GSW,"W, 119-115",17:42,1,1,1,4,4,1,0,1,2,7,10,9,8,3,peyton
2024-12-05,DEN,@,CLE,"L, 114-126",18:13,3,1,2,1,2,0,4,4,1,4,9,5,8,5,peyton
2024-12-07,DEN,@,WAS,"L, 113-122",25:45,5,0,1,0,0,0,2,2,2,4,8,6,6,4,peyton
2024-12-08,DEN,@,ATL,"W, 141-111",18:02,2,0,1,0,1,0,1,1,0,2,3,2,3,1,peyton
2024-12-13,DEN,,LAC,"W, 120-98",26:04,6,1,2,3,4,2,3,5,0,14,19,14,19,5,peyton
2024-12-16,DEN,@,SAC,"W, 130-129",17:06,8,1,1,2,3,3,1,4,1,9,14,10,13,5,peyton
2024-12-19,DEN,@,POR,"L, 124-126",17:01,3,0,1,4,5,1,1,2,1,8,11,9,10,3,peyton
2024-12-22,DEN,@,NOP,"W, 132-129 (OT)",17:32,5,0,1,1,1,0,5,5,5,5,15,10,10,10,peyton
2024-12-23,DEN,,PHO,"W, 117-90",21:13,5,0,1,0,0,3,3,6,1,4,11,5,10,7,peyton
2024-12-25,DEN,@,PHO,"L, 100-110",24:17,3,0,3,2,2,1,2,3,2,2,7,4,5,5,peyton
2024-12-27,DEN,,CLE,"L, 135-149",25:39,8,2,2,4,5,0,1,1,2,18,21,20,19,3,peyton
2024-12-28,DEN,,DET,"W, 134-121",22:49,6,0,1,1,1,0,1,1,3,5,9,8,6,4,peyton
2024-12-30,DEN,@,UTA,"W, 132-121",26:22,9,1,3,0,0,0,4,4,1,13,18,14,17,5,peyton
2025-01-01,DEN,,ATL,"W, 139-120",24:01,10,1,4,2,2,0,0,0,1,11,12,12,11,1,peyton
2025-01-03,DEN,,SAS,"L, 110-113",18:37,4,0,1,0,1,1,1,2,2,2,6,4,4,4,peyton
2025-01-04,DEN,@,SAS,"W, 122-111 (OT)",33:51,6,0,3,4,6,1,7,8,3,8,19,11,16,11,peyton
2025-01-07,DEN,,BOS,"L, 106-118",33:41,9,2,3,2,2,2,2,4,0,14,18,14,18,4,peyton
2025-01-08,DEN,,LAC,"W, 126-103",24:02,10,0,2,1,3,0,4,4,1,9,14,10,13,5,peyton
2025-01-10,DEN,,BRK,"W, 124-105",34:40,5,0,0,4,5,0,7,7,5,10,22,15,17,12,peyton
2025-01-12,DEN,@,DAL,"W, 112-101",32:57,5,2,3,2,2,0,6,6,1,10,17,11,16,7,peyton
2025-01-14,DEN,@,DAL,"W, 118-99",26:59,6,1,3,4,4,0,5,5,1,9,15,10,14,6,peyton
2025-01-15,DEN,,HOU,"L, 108-128",22:45,8,1,3,1,2,0,3,3,0,10,13,10,13,3,peyton
2025-01-17,DEN,@,MIA,"W, 133-113",17:52,4,0,1,1,2,0,1,1,2,3,6,5,4,3,peyton
2025-01-19,DEN,@,ORL,"W, 113-100",11:35,2,0,0,2,2,0,2,2,1,4,7,5,6,3,peyton
2025-01-21,DEN,,PHI,"W, 144-109",18:18,4,1,2,0,0,0,1,1,1,3,5,4,4,2,peyton
2025-01-23,DEN,,SAC,"W, 132-123",25:07,6,1,2,1,4,2,4,6,1,6,13,7,12,7,peyton
2025-01-25,DEN,@,MIN,"L, 104-133",18:27,4,0,0,0,0,1,2,3,3,2,8,5,5,6,peyton
2025-01-27,DEN,@,CHI,"L, 121-129",23:40,6,0,1,0,0,1,4,5,3,4,12,7,9,8,peyton
2025-01-29,DEN,@,NYK,"L, 112-122",19:29,2,0,0,2,2,0,1,1,0,4,5,4,5,1,peyton
2025-01-31,DEN,@,PHI,"W, 137-134",26:49,4,0,1,0,0,1,3,4,3,6,13,9,10,7,peyton
2025-03-05,DEN,,SAC,"W, 116-110",16:54,4,0,1,0,2,0,3,3,1,2,6,3,5,4,peyton
2025-03-07,DEN,,PHO,"W, 149-141 (OT)",23:49,7,3,5,0,0,0,2,2,2,11,15,13,13,4,peyton
2025-03-09,DEN,@,OKC,"L, 103-127",05:52,1,0,1,0,0,0,0,0,0,0,0,0,0,0,peyton
2025-03-10,DEN,@,OKC,"W, 140-127",24:27,7,4,4,0,0,0,1,1,0,16,17,16,17,1,peyton
2025-03-12,DEN,,MIN,"L, 95-115",15:53,4,0,2,0,0,0,3,3,1,0,4,1,3,4,peyton
2025-03-14,DEN,,LAL,"W, 131-126",16:28,5,0,1,2,4,0,1,1,1,4,6,5,5,2,peyton
2025-03-15,DEN,,WAS,"L, 123-126",22:48,3,0,0,0,0,1,2,3,3,2,8,5,5,6,peyton
2025-03-17,DEN,@,GSW,"W, 114-105",35:26,8,1,2,2,6,0,5,5,1,13,19,14,18,6,peyton
2025-03-19,DEN,@,LAL,"L, 108-120",25:07,8,1,2,1,4,1,1,2,2,12,16,14,14,4,peyton
2025-03-21,DEN,@,POR,"L, 109-128",27:25,11,2,4,0,0,1,4,5,0,12,17,12,17,5,peyton
2025-03-23,DEN,@,HOU,"W, 116-111",20:33,8,1,2,2,3,1,4,5,3,9,17,12,14,8,peyton
2025-03-24,DEN,,CHI,"L, 119-129",39:22,12,2,4,6,8,1,5,6,0,24,30,24,30,6,peyton
2025-03-26,DEN,,MIL,"W, 127-117",34:00,8,0,0,0,0,1,6,7,2,12,21,14,19,9,peyton
2025-03-28,DEN,,UTA,"W, 129-93",27:13,9,0,2,0,0,1,4,5,4,8,17,12,13,9,peyton
2025-04-01,DEN,,MIN,"L, 139-140 (2OT)",45:19,9,0,3,1,2,0,3,3,0,7,10,7,10,3,peyton
2025-04-04,DEN,@,GSW,"L, 104-118",32:38,6,0,2,0,0,0,3,3,0,4,7,4,7,3,peyton
2025-04-06,DEN,,IND,"L, 120-125",22:08,2,0,0,1,2,0,1,1,0,3,4,3,4,1,peyton
2025-04-09,DEN,@,SAC,"W, 124-116",25:22,5,0,2,1,1,0,4,4,1,7,12,8,11,5,peyton
2025-04-11,DEN,,MEM,"W, 117-109",19:42,8,0,2,2,2,0,5,5,1,8,14,9,13,6,peyton
2025-04-13,DEN,@,HOU,"W, 126-111",17:08,6,2,3,1,2,1,3,4,0,9,13,9,13,4,peyton
