Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-11-25,DET,,TOR,"W, 102-100",16:12,8,1,3,0,0,0,3,3,4,5,12,9,8,7,ausar
2024-11-27,DET,@,MEM,"L, 111-131",20:22,5,0,1,1,4,2,2,4,4,3,11,7,7,8,ausar
2024-11-29,DET,@,IND,"W, 130-106",11:45,5,1,3,2,2,0,1,1,4,5,10,9,6,5,ausar
2024-11-30,DET,,PHI,"L, 96-111",13:43,5,1,2,0,1,2,0,2,1,9,12,10,11,3,ausar
2024-12-03,DET,,MIL,"L, 107-128",14:20,6,0,0,0,0,2,3,5,1,8,14,9,13,6,ausar
2024-12-12,DET,@,BOS,"L, 99-123",13:19,6,0,1,0,0,1,2,3,0,4,7,4,7,3,ausar
2024-12-16,DET,,MIA,"W, 125-124 (OT)",26:54,14,1,3,2,4,0,9,9,1,19,29,20,28,10,ausar
2024-12-19,DET,,UTA,"L, 119-126",19:48,9,0,3,3,4,2,0,2,4,9,15,13,11,6,ausar
2024-12-21,DET,@,PHO,"W, 133-125",14:10,4,0,0,0,0,0,2,2,1,4,7,5,6,3,ausar
2024-12-23,DET,@,LAL,"W, 117-114",16:14,5,0,0,0,0,3,2,5,0,8,13,8,13,5,ausar
2024-12-26,DET,@,SAC,"W, 114-113",18:18,5,0,0,1,2,2,6,8,0,7,15,7,15,8,ausar
2024-12-28,DET,@,DEN,"L, 121-134",24:03,8,0,0,0,1,3,3,6,2,10,18,12,16,8,ausar
2025-01-01,DET,,ORL,"W, 105-96",24:46,9,0,2,0,2,1,4,5,1,6,12,7,11,6,ausar
2025-01-03,DET,,CHO,"W, 98-94",14:19,3,0,0,0,2,2,3,5,0,4,9,4,9,5,ausar
2025-01-04,DET,,MIN,"W, 119-105",25:39,5,0,0,0,0,3,7,10,2,10,22,12,20,12,ausar
2025-01-09,DET,,GSW,"L, 104-107",16:34,4,1,1,2,2,0,2,2,3,9,14,12,11,5,ausar
2025-01-11,DET,,TOR,"W, 123-114",19:55,5,1,2,1,2,0,4,4,3,6,13,9,10,7,ausar
