Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,DET,,IND,"L, 109-115",36:32,23,2,6,6,6,0,5,5,8,28,41,36,33,13,cade
2024-10-25,DET,@,CLE,"L, 101-113",34:55,24,2,6,3,3,2,2,4,6,33,43,39,37,10,cade
2024-10-26,DET,,BOS,"L, 118-124",40:31,22,2,8,1,3,0,6,6,10,21,37,31,27,16,cade
2024-10-28,DET,@,MIA,"L, 98-106",34:52,18,4,7,2,3,1,7,8,6,24,38,30,32,14,cade
2024-10-30,DET,@,PHI,"W, 105-95",36:36,15,4,8,6,6,1,4,5,7,22,34,29,27,12,cade
2024-11-01,DET,,NYK,"L, 98-128",32:05,19,2,4,0,0,0,6,6,6,22,34,28,28,12,cade
2024-11-03,DET,@,BRK,"W, 106-92",35:26,13,1,4,2,3,1,5,6,5,19,30,24,25,11,cade
2024-11-04,DET,,LAL,"W, 115-103",35:48,17,1,5,2,5,2,9,11,11,17,39,28,28,22,cade
2024-11-06,DET,@,CHO,"L, 107-108",37:42,23,0,4,2,2,1,9,10,10,20,40,30,30,20,cade
2024-11-08,DET,,ATL,"W, 122-121",36:16,17,1,4,5,5,1,10,11,13,22,46,35,33,24,cade
2024-11-10,DET,,HOU,"L, 99-101",36:02,21,2,4,4,6,0,8,8,9,26,43,35,34,17,cade
2024-11-12,DET,,MIA,"W, 123-121 (OT)",37:37,15,2,7,7,7,0,7,7,9,21,37,30,28,16,cade
2024-11-13,DET,@,MIL,"L, 120-127 (OT)",43:29,34,5,10,4,4,2,5,7,11,35,53,46,42,18,cade
2024-11-15,DET,@,TOR,"W, 99-95",36:28,21,2,9,1,2,2,4,6,10,15,31,25,21,16,cade
2024-11-17,DET,@,WAS,"W, 124-104",30:34,15,2,4,5,5,2,8,10,10,21,41,31,31,20,cade
2024-11-18,DET,,CHI,"L, 112-122",36:17,17,4,7,6,9,0,6,6,10,26,42,36,32,16,cade
2024-11-21,DET,@,CHO,"L, 121-123 (OT)",36:46,26,2,9,7,9,4,3,7,10,27,44,37,34,17,cade
2024-11-29,DET,@,IND,"W, 130-106",32:58,19,4,6,0,0,0,6,6,11,24,41,35,30,17,cade
2024-12-03,DET,,MIL,"L, 107-128",33:27,16,3,6,2,6,1,4,5,6,23,34,29,28,11,cade
2024-12-04,DET,@,BOS,"L, 120-130",33:42,21,3,9,2,2,2,7,9,14,27,50,41,36,23,cade
2024-12-07,DET,@,NYK,"W, 120-111",35:29,17,5,8,6,7,2,8,10,15,29,54,44,39,25,cade
2024-12-12,DET,@,BOS,"L, 99-123",35:21,22,0,4,0,0,1,7,8,8,18,34,26,26,16,cade
2024-12-16,DET,,MIA,"W, 125-124 (OT)",42:19,17,3,6,3,5,1,10,11,18,20,49,38,31,29,cade
2024-12-19,DET,,UTA,"L, 119-126",38:40,23,3,8,4,4,0,4,4,7,33,44,40,37,11,cade
2024-12-21,DET,@,PHO,"W, 133-125",36:01,19,3,8,7,9,0,1,1,13,28,42,41,29,14,cade
2024-12-23,DET,@,LAL,"W, 117-114",35:16,25,0,5,2,2,2,3,5,10,20,35,30,25,15,cade
2024-12-26,DET,@,SAC,"W, 114-113",38:11,24,4,11,11,12,0,4,4,10,33,47,43,37,14,cade
2024-12-28,DET,@,DEN,"L, 121-134",26:35,18,1,8,2,2,1,1,2,8,17,27,25,19,10,cade
2025-01-01,DET,,ORL,"W, 105-96",34:20,14,4,6,1,2,1,7,8,9,19,36,28,27,17,cade
2025-01-03,DET,,CHO,"W, 98-94",28:46,20,1,3,1,2,0,5,5,5,18,28,23,23,10,cade
2025-01-04,DET,,MIN,"W, 119-105",38:09,29,4,8,6,7,0,6,6,9,40,55,49,46,15,cade
2025-01-06,DET,,POR,"W, 118-115",38:44,23,4,10,6,6,0,6,6,9,32,47,41,38,15,cade
2025-01-08,DET,@,BRK,"W, 113-98",23:25,10,0,3,1,2,1,4,5,5,13,23,18,18,10,cade
2025-01-09,DET,,GSW,"L, 104-107",40:12,21,3,6,5,8,1,5,6,8,32,46,40,38,14,cade
2025-01-11,DET,,TOR,"W, 123-114",37:08,17,2,4,4,5,1,9,10,17,22,49,39,32,27,cade
2025-01-13,DET,@,NYK,"W, 124-119",32:03,27,4,8,4,4,0,2,2,4,36,42,40,38,6,cade
2025-01-16,DET,,IND,"L, 100-111",39:10,21,1,7,5,5,0,4,4,9,20,33,29,24,13,cade
2025-01-18,DET,,PHO,"L, 121-125",35:23,26,1,7,5,6,2,4,6,11,20,37,31,26,17,cade
2025-01-20,DET,@,HOU,"W, 107-96",35:47,22,3,5,5,5,0,9,9,7,32,48,39,41,16,cade
2025-01-22,DET,@,ATL,"W, 114-104",33:57,19,1,4,4,4,1,5,6,11,29,46,40,35,17,cade
2025-01-25,DET,@,ORL,"L, 113-121",37:52,31,2,7,7,7,2,3,5,11,35,51,46,40,16,cade
2025-01-27,DET,@,CLE,"L, 91-110",32:47,26,0,4,4,4,0,3,3,7,22,32,29,25,10,cade
2025-01-29,DET,@,IND,"L, 119-133",37:27,22,1,5,7,8,0,5,5,9,32,46,41,37,14,cade
2025-01-31,DET,,DAL,"W, 117-102",35:58,30,3,8,3,3,2,4,6,4,40,50,44,46,10,cade
2025-02-02,DET,,CHI,"W, 127-119",33:52,23,2,6,0,1,1,2,3,15,22,40,37,25,18,cade
2025-02-03,DET,,ATL,"L, 130-132",38:05,23,1,6,13,13,1,5,6,14,30,50,44,36,20,cade
2025-02-05,DET,,CLE,"L, 115-118",37:53,29,3,10,13,13,0,7,7,9,38,54,47,45,16,cade
2025-02-09,DET,,CHO,"W, 112-102",37:28,17,1,5,4,4,1,9,10,12,19,41,31,29,22,cade
2025-02-11,DET,@,CHI,"W, 132-92",27:20,14,1,2,1,1,0,6,6,7,20,33,27,26,13,cade
2025-02-12,DET,@,CHI,"W, 128-110",34:54,19,2,7,9,10,0,5,5,7,29,41,36,34,12,cade
2025-02-21,DET,@,SAS,"W, 125-110",30:26,15,2,5,3,4,1,0,1,12,25,38,37,26,13,cade
2025-02-23,DET,@,ATL,"W, 148-143",37:57,24,7,10,3,3,0,7,7,12,38,57,50,45,19,cade
2025-02-24,DET,,LAC,"W, 106-97",36:33,22,4,9,10,12,0,9,9,7,32,48,39,41,16,cade
2025-02-26,DET,,BOS,"W, 117-97",34:07,21,1,4,2,2,0,4,4,11,21,36,32,25,15,cade
2025-02-28,DET,,DEN,"L, 119-134",28:00,12,0,2,5,5,0,3,3,5,11,19,16,14,8,cade
2025-03-01,DET,,BRK,"W, 115-94",31:33,9,2,3,5,6,2,5,7,9,15,31,24,22,16,cade
2025-03-03,DET,@,UTA,"W, 134-106",30:24,24,1,8,4,4,0,1,1,9,29,39,38,30,10,cade
2025-03-05,DET,@,LAC,"L, 115-123",38:54,25,2,7,5,6,0,7,7,10,37,54,47,44,17,cade
2025-03-08,DET,@,GSW,"L, 110-115",37:34,17,2,3,9,10,0,4,4,5,31,40,36,35,9,cade
2025-03-09,DET,@,POR,"W, 119-112",36:12,17,2,4,8,9,1,3,4,5,28,37,33,32,9,cade
2025-03-11,DET,,WAS,"W, 123-103",31:32,23,1,5,4,5,1,7,8,10,27,45,37,35,18,cade
2025-03-13,DET,,WAS,"L, 125-129",38:29,25,0,7,20,21,0,3,3,10,38,51,48,41,13,cade
2025-03-15,DET,,OKC,"L, 107-113",29:01,18,0,4,1,1,0,7,7,9,11,27,20,18,16,cade
