Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,DET,,IND,"L, 109-115",16:59,2,0,1,0,0,1,3,4,2,2,8,4,6,6,isaiah
2024-10-25,DET,@,CLE,"L, 101-113",11:28,0,0,0,0,0,1,2,3,1,0,4,1,3,4,isaiah
2024-10-26,DET,,BOS,"L, 118-124",18:52,3,0,0,0,0,2,3,5,3,6,14,9,11,8,isaiah
2024-10-28,DET,@,MIA,"L, 98-106",19:13,3,0,0,2,2,7,8,15,2,2,19,4,17,17,isaiah
2024-10-30,DET,@,PHI,"W, 105-95",34:29,3,0,0,5,5,5,6,11,3,7,21,10,18,14,isaiah
2024-11-01,DET,,NYK,"L, 98-128",16:28,3,0,2,0,0,1,1,2,2,2,6,4,4,4,isaiah
2024-11-03,DET,@,BRK,"W, 106-92",13:42,0,0,0,2,2,0,5,5,0,2,7,2,7,5,isaiah
2024-11-04,DET,,LAL,"W, 115-103",24:42,7,0,0,2,2,4,5,9,2,8,19,10,17,11,isaiah
2024-11-06,DET,@,CHO,"L, 107-108",25:59,6,0,1,0,2,1,6,7,6,6,19,12,13,13,isaiah
2024-11-08,DET,,ATL,"W, 122-121",32:38,8,0,0,0,0,4,7,11,3,10,24,13,21,14,isaiah
2024-11-10,DET,,HOU,"L, 99-101",33:02,9,0,0,2,2,5,3,8,1,16,25,17,24,9,isaiah
2024-11-12,DET,,MIA,"W, 123-121 (OT)",22:43,6,0,0,5,6,5,5,10,1,13,24,14,23,11,isaiah
2024-11-13,DET,@,MIL,"L, 120-127 (OT)",14:20,6,1,1,0,0,1,2,3,0,9,12,9,12,3,isaiah
2024-11-15,DET,@,TOR,"W, 99-95",23:39,2,0,1,1,1,1,6,7,1,3,11,4,10,8,isaiah
2024-11-17,DET,@,WAS,"W, 124-104",25:27,8,1,2,0,0,2,4,6,1,9,16,10,15,7,isaiah
2024-11-18,DET,,CHI,"L, 112-122",19:13,4,1,2,0,0,0,4,4,3,7,14,10,11,7,isaiah
2024-11-21,DET,@,CHO,"L, 121-123 (OT)",28:46,5,0,0,3,4,5,4,9,3,13,25,16,22,12,isaiah
2024-11-23,DET,@,ORL,"L, 100-111",19:42,4,1,2,0,0,1,4,5,4,7,16,11,12,9,isaiah
2024-11-25,DET,,TOR,"W, 102-100",23:03,6,0,1,3,3,3,4,7,2,9,18,11,16,9,isaiah
2024-11-27,DET,@,MEM,"L, 111-131",18:00,6,0,4,0,0,0,2,2,0,0,2,0,2,2,isaiah
2024-11-29,DET,@,IND,"W, 130-106",21:40,2,0,0,0,0,2,1,3,2,2,7,4,5,5,isaiah
2024-11-30,DET,,PHI,"L, 96-111",15:14,5,0,2,2,2,3,1,4,0,6,10,6,10,4,isaiah
2024-12-03,DET,,MIL,"L, 107-128",20:00,5,1,1,2,2,3,3,6,2,9,17,11,15,8,isaiah
2024-12-04,DET,@,BOS,"L, 120-130",22:20,2,0,0,0,0,0,2,2,1,2,5,3,4,3,isaiah
2024-12-07,DET,@,NYK,"W, 120-111",22:48,5,0,0,0,0,1,4,5,2,6,13,8,11,7,isaiah
2024-12-12,DET,@,BOS,"L, 99-123",27:30,2,0,0,0,0,2,3,5,0,2,7,2,7,5,isaiah
2024-12-16,DET,,MIA,"W, 125-124 (OT)",07:20,4,0,1,0,0,0,3,3,0,4,7,4,7,3,isaiah
2024-12-28,DET,@,DEN,"L, 121-134",16:06,3,1,2,0,0,0,4,4,3,3,10,6,7,7,isaiah
2025-01-01,DET,,ORL,"W, 105-96",21:16,5,1,2,2,2,0,8,8,3,7,18,10,15,11,isaiah
2025-01-03,DET,,CHO,"W, 98-94",18:14,3,1,2,0,0,2,5,7,0,5,12,5,12,7,isaiah
2025-01-04,DET,,MIN,"W, 119-105",25:07,8,0,1,0,0,1,5,6,3,8,17,11,14,9,isaiah
2025-01-06,DET,,POR,"W, 118-115",14:28,7,0,3,0,0,5,1,6,0,2,8,2,8,6,isaiah
2025-01-08,DET,@,BRK,"W, 113-98",20:09,5,0,0,0,0,2,2,4,2,6,12,8,10,6,isaiah
2025-01-09,DET,,GSW,"L, 104-107",17:04,5,0,1,0,0,2,3,5,1,4,10,5,9,6,isaiah
2025-01-11,DET,,TOR,"W, 123-114",19:41,6,0,0,0,0,2,1,3,5,6,14,11,9,8,isaiah
2025-01-13,DET,@,NYK,"W, 124-119",28:28,5,0,1,1,1,3,1,4,0,7,11,7,11,4,isaiah
2025-01-16,DET,,IND,"L, 100-111",20:47,4,0,0,0,0,4,9,13,4,2,19,6,15,17,isaiah
2025-01-18,DET,,PHO,"L, 121-125",15:34,2,0,0,1,2,0,3,3,0,3,6,3,6,3,isaiah
2025-01-20,DET,@,HOU,"W, 107-96",17:30,6,0,0,0,0,2,6,8,1,6,15,7,14,9,isaiah
2025-01-22,DET,@,ATL,"W, 114-104",19:34,3,0,0,0,0,2,10,12,3,2,17,5,14,15,isaiah
2025-01-25,DET,@,ORL,"L, 113-121",16:04,3,0,0,0,0,1,1,2,0,4,6,4,6,2,isaiah
2025-01-27,DET,@,CLE,"L, 91-110",16:08,3,0,0,0,1,0,4,4,1,6,11,7,10,5,isaiah
2025-01-29,DET,@,IND,"L, 119-133",07:46,0,0,0,1,2,0,0,0,1,1,2,2,1,1,isaiah
2025-02-02,DET,,CHI,"W, 127-119",18:05,3,0,0,0,0,0,4,4,2,4,10,6,8,6,isaiah
2025-02-03,DET,,ATL,"L, 130-132",19:21,6,0,0,2,3,3,2,5,1,10,16,11,15,6,isaiah
2025-02-05,DET,,CLE,"L, 115-118",18:07,4,0,0,2,2,1,5,6,1,8,15,9,14,7,isaiah
2025-02-07,DET,,PHI,"W, 125-112",21:32,7,1,1,3,4,5,3,8,2,10,20,12,18,10,isaiah
2025-02-09,DET,,CHO,"W, 112-102",16:32,3,0,2,0,0,1,2,3,1,2,6,3,5,4,isaiah
2025-02-11,DET,@,CHI,"W, 132-92",15:21,8,2,2,0,0,3,3,6,3,14,23,17,20,9,isaiah
2025-02-12,DET,@,CHI,"W, 128-110",18:04,8,0,0,2,2,2,1,3,1,12,16,13,15,4,isaiah
2025-02-21,DET,@,SAS,"W, 125-110",18:37,3,0,0,1,2,3,5,8,1,5,14,6,13,9,isaiah
2025-02-23,DET,@,ATL,"W, 148-143",21:25,5,0,0,0,0,2,3,5,2,6,13,8,11,7,isaiah
2025-02-24,DET,,LAC,"W, 106-97",16:43,2,0,1,1,2,0,4,4,1,3,8,4,7,5,isaiah
2025-02-26,DET,,BOS,"W, 117-97",19:39,2,0,0,2,4,1,4,5,1,4,10,5,9,6,isaiah
2025-02-28,DET,,DEN,"L, 119-134",19:30,2,1,1,2,4,1,4,5,0,7,12,7,12,5,isaiah
2025-03-01,DET,,BRK,"W, 115-94",13:58,4,0,0,1,2,1,3,4,1,3,8,4,7,5,isaiah
2025-03-05,DET,@,LAC,"L, 115-123",22:23,6,0,1,2,2,0,6,6,3,10,19,13,16,9,isaiah
2025-03-08,DET,@,GSW,"L, 110-115",17:08,3,0,0,3,3,0,3,3,1,7,11,8,10,4,isaiah
2025-03-09,DET,@,POR,"W, 119-112",19:25,6,0,1,1,4,3,3,6,2,5,13,7,11,8,isaiah
2025-03-11,DET,,WAS,"W, 123-103",20:49,6,0,1,1,1,4,3,7,4,7,18,11,14,11,isaiah
2025-03-13,DET,,WAS,"L, 125-129",18:29,1,0,0,2,2,0,1,1,2,4,7,6,5,3,isaiah
2025-03-15,DET,,OKC,"L, 107-113",18:17,4,1,1,0,0,2,5,7,0,9,16,9,16,7,isaiah
2025-03-17,DET,@,NOP,"W, 127-81",15:39,3,0,0,0,0,2,3,5,1,6,12,7,11,6,isaiah
2025-03-19,DET,@,MIA,"W, 116-113",20:04,4,0,0,0,0,1,5,6,2,6,14,8,12,8,isaiah
2025-03-21,DET,@,DAL,"L, 117-123",20:22,6,0,0,0,0,1,5,6,2,8,16,10,14,8,isaiah
2025-03-23,DET,,NOP,"W, 136-130",18:58,6,1,1,0,0,0,3,3,2,9,14,11,12,5,isaiah
2025-03-25,DET,,SAS,"W, 122-96",19:43,3,0,0,0,0,1,5,6,2,4,12,6,10,8,isaiah
2025-03-28,DET,,CLE,"W, 133-122",20:32,6,0,0,4,5,1,3,4,1,14,19,15,18,5,isaiah
2025-03-30,DET,@,MIN,"L, 104-123",07:22,2,0,0,0,0,2,2,4,1,0,5,1,4,5,isaiah
2025-04-05,DET,,MEM,"L, 103-109",34:27,11,2,4,0,0,1,7,8,4,16,28,20,24,12,isaiah
2025-04-07,DET,,SAC,"L, 117-127",28:04,6,1,3,3,4,3,7,10,4,8,22,12,18,14,isaiah
2025-04-10,DET,,NYK,"W, 115-106",22:01,1,0,1,0,0,0,1,1,1,0,2,1,1,2,isaiah
