Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,DET,,IND,"L, 109-115",15:18,6,0,3,2,2,1,2,3,0,6,9,6,9,3,ron
2024-10-25,DET,@,CLE,"L, 101-113",17:11,6,0,2,0,0,0,7,7,1,4,12,5,11,8,ron
2024-10-26,DET,,BOS,"L, 118-124",06:13,4,1,3,0,0,0,1,1,1,5,7,6,6,2,ron
2024-10-28,DET,@,MIA,"L, 98-106",14:12,6,0,1,0,0,0,2,2,0,6,8,6,8,2,ron
2024-10-30,DET,@,PHI,"W, 105-95",12:55,4,0,0,0,0,0,3,3,0,6,9,6,9,3,ron
2024-11-01,DET,,NYK,"L, 98-128",22:27,6,0,2,1,1,0,2,2,1,9,12,10,11,3,ron
2024-11-03,DET,@,BRK,"W, 106-92",10:20,1,0,0,0,0,0,0,0,1,0,1,1,0,1,ron
2024-11-04,DET,,LAL,"W, 115-103",16:39,9,0,5,4,4,1,3,4,0,12,16,12,16,4,ron
2024-11-06,DET,@,CHO,"L, 107-108",15:32,5,2,3,0,0,1,3,4,0,8,12,8,12,4,ron
2024-11-08,DET,,ATL,"W, 122-121",13:37,5,0,1,1,1,1,0,1,0,5,6,5,6,1,ron
2024-11-10,DET,,HOU,"L, 99-101",13:18,6,1,6,1,2,0,1,1,0,4,5,4,5,1,ron
2024-11-12,DET,,MIA,"W, 123-121 (OT)",16:03,2,0,0,2,2,2,2,4,1,2,7,3,6,5,ron
2024-11-13,DET,@,MIL,"L, 120-127 (OT)",28:35,10,0,2,1,3,0,4,4,2,11,17,13,15,6,ron
2024-11-15,DET,@,TOR,"W, 99-95",21:23,11,0,6,4,4,4,4,8,0,10,18,10,18,8,ron
2024-11-17,DET,@,WAS,"W, 124-104",14:53,3,0,1,0,0,0,2,2,0,0,2,0,2,2,ron
2024-11-18,DET,,CHI,"L, 112-122",09:02,2,0,0,0,0,1,3,4,1,2,7,3,6,5,ron
2024-11-21,DET,@,CHO,"L, 121-123 (OT)",13:46,5,1,3,1,1,0,2,2,1,6,9,7,8,3,ron
2024-11-23,DET,@,ORL,"L, 100-111",15:58,6,0,2,2,2,0,4,4,0,4,8,4,8,4,ron
2024-11-25,DET,,TOR,"W, 102-100",11:25,5,0,2,0,0,0,1,1,0,4,5,4,5,1,ron
2024-11-27,DET,@,MEM,"L, 111-131",25:53,8,2,2,2,4,0,3,3,0,14,17,14,17,3,ron
2024-11-29,DET,@,IND,"W, 130-106",12:06,4,0,0,0,0,2,5,7,2,6,15,8,13,9,ron
2024-11-30,DET,,PHI,"L, 96-111",22:41,3,0,2,0,0,1,2,3,1,2,6,3,5,4,ron
2024-12-03,DET,,MIL,"L, 107-128",12:22,4,0,1,0,0,0,1,1,2,2,5,4,3,3,ron
2024-12-04,DET,@,BOS,"L, 120-130",16:17,4,2,3,1,2,0,2,2,3,7,12,10,9,5,ron
2024-12-07,DET,@,NYK,"W, 120-111",18:28,2,0,0,0,0,0,3,3,2,4,9,6,7,5,ron
2024-12-12,DET,@,BOS,"L, 99-123",20:58,14,2,5,2,2,1,2,3,0,26,29,26,29,3,ron
2024-12-16,DET,,MIA,"W, 125-124 (OT)",23:13,5,1,1,1,2,0,4,4,0,8,12,8,12,4,ron
2024-12-19,DET,,UTA,"L, 119-126",12:32,2,0,1,2,2,1,2,3,0,4,7,4,7,3,ron
2024-12-21,DET,@,PHO,"W, 133-125",13:33,4,0,1,0,0,0,3,3,1,4,8,5,7,4,ron
