Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,DET,,IND,"L, 109-115",35:47,13,1,6,0,0,1,1,2,1,13,16,14,15,3,tobias
2024-10-25,DET,@,CLE,"L, 101-113",34:40,9,2,3,2,2,0,5,5,4,10,19,14,15,9,tobias
2024-10-26,DET,,BOS,"L, 118-124",31:29,11,0,5,4,4,2,9,11,3,8,22,11,19,14,tobias
2024-10-28,DET,@,MIA,"L, 98-106",36:44,11,0,3,1,1,2,8,10,1,9,20,10,19,11,tobias
2024-10-30,DET,@,PHI,"W, 105-95",35:05,18,0,3,2,2,0,14,14,1,18,33,19,32,15,tobias
2024-11-01,DET,,NYK,"L, 98-128",25:33,8,1,2,2,2,0,8,8,3,13,24,16,21,11,tobias
2024-11-03,DET,@,BRK,"W, 106-92",34:38,13,1,4,1,1,3,2,5,6,18,29,24,23,11,tobias
2024-11-04,DET,,LAL,"W, 115-103",30:03,15,1,7,0,0,0,7,7,1,15,23,16,22,8,tobias
2024-11-06,DET,@,CHO,"L, 107-108",31:57,12,0,3,0,1,0,7,7,3,14,24,17,21,10,tobias
2024-11-08,DET,,ATL,"W, 122-121",30:34,13,5,8,3,4,0,6,6,2,22,30,24,28,8,tobias
2024-11-10,DET,,HOU,"L, 99-101",34:42,5,1,2,2,5,2,6,8,1,9,18,10,17,9,tobias
2024-11-12,DET,,MIA,"W, 123-121 (OT)",40:07,15,2,4,2,2,2,5,7,4,18,29,22,25,11,tobias
2024-11-13,DET,@,MIL,"L, 120-127 (OT)",44:12,15,2,5,0,0,0,8,8,5,10,23,15,18,13,tobias
2024-11-15,DET,@,TOR,"W, 99-95",27:48,13,1,4,0,0,2,9,11,3,11,25,14,22,14,tobias
2024-11-17,DET,@,WAS,"W, 124-104",28:23,11,1,3,3,4,2,7,9,3,12,24,15,21,12,tobias
2024-11-18,DET,,CHI,"L, 112-122",32:00,15,1,4,1,1,0,2,2,0,16,18,16,18,2,tobias
2024-11-21,DET,@,CHO,"L, 121-123 (OT)",30:52,16,6,9,0,0,3,5,8,2,26,36,28,34,10,tobias
2024-11-23,DET,@,ORL,"L, 100-111",28:59,9,0,3,2,3,1,4,5,1,8,14,9,13,6,tobias
2024-11-25,DET,,TOR,"W, 102-100",37:29,10,1,4,5,6,0,3,3,2,12,17,14,15,5,tobias
2024-11-29,DET,@,IND,"W, 130-106",29:47,8,2,5,4,4,0,5,5,3,16,24,19,21,8,tobias
2024-11-30,DET,,PHI,"L, 96-111",22:37,8,0,3,2,3,1,6,7,2,4,13,6,11,9,tobias
2024-12-03,DET,,MIL,"L, 107-128",32:48,10,2,5,4,4,2,3,5,3,16,24,19,21,8,tobias
2024-12-04,DET,@,BOS,"L, 120-130",31:14,17,6,9,3,3,1,2,3,2,27,32,29,30,5,tobias
2024-12-07,DET,@,NYK,"W, 120-111",33:32,8,1,4,4,4,1,8,9,1,13,23,14,22,10,tobias
2024-12-12,DET,@,BOS,"L, 99-123",25:38,9,1,3,0,0,1,7,8,3,9,20,12,17,11,tobias
2024-12-19,DET,,UTA,"L, 119-126",30:17,13,0,3,2,2,2,5,7,2,8,17,10,15,9,tobias
2024-12-21,DET,@,PHO,"W, 133-125",29:10,5,1,2,3,4,0,3,3,2,10,15,12,13,5,tobias
2024-12-23,DET,@,LAL,"W, 117-114",29:14,10,0,3,0,0,0,1,1,4,6,11,10,7,5,tobias
2024-12-26,DET,@,SAC,"W, 114-113",27:03,7,0,2,2,2,0,3,3,2,4,9,6,7,5,tobias
2024-12-28,DET,@,DEN,"L, 121-134",23:30,6,1,4,2,2,1,1,2,1,7,10,8,9,3,tobias
