Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,GSW,@,POR,"W, 140-104",24:56,5,0,4,0,0,4,3,7,4,0,11,4,7,11,brandin
2024-10-25,GSW,@,UTA,"W, 127-86",24:38,14,1,5,0,0,1,4,5,1,15,21,16,20,6,brandin
2024-10-27,GSW,,LAC,"L, 104-112",24:42,8,0,5,0,0,1,4,5,4,4,13,8,9,9,brandin
2024-10-29,GSW,,NOP,"W, 124-106",33:32,18,3,8,0,0,1,2,3,5,19,27,24,22,8,brandin
2024-10-30,GSW,,NOP,"W, 104-89",38:06,15,2,7,1,2,2,6,8,7,13,28,20,21,15,brandin
2024-11-02,GSW,@,HOU,"W, 127-121 (OT)",37:44,11,0,3,2,4,0,5,5,6,12,23,18,17,11,brandin
2024-11-04,GSW,@,WAS,"W, 125-112",13:06,3,0,1,0,0,0,4,4,1,2,7,3,6,5,brandin
2024-11-08,GSW,@,CLE,"L, 117-136",26:30,12,1,6,1,2,2,5,7,4,14,25,18,21,11,brandin
2024-11-10,GSW,@,OKC,"W, 127-116",15:05,2,0,1,0,0,0,1,1,1,0,2,1,1,2,brandin
2024-11-12,GSW,,DAL,"W, 120-117",16:41,2,1,1,0,0,0,1,1,1,3,5,4,4,2,brandin
2024-11-15,GSW,,MEM,"W, 123-118",27:45,6,1,4,4,4,0,7,7,5,11,23,16,18,12,brandin
2024-11-18,GSW,@,LAC,"L, 99-102",15:37,4,0,2,1,3,2,3,5,2,1,8,3,6,7,brandin
2024-11-20,GSW,,ATL,"W, 120-97",15:17,6,1,1,0,0,1,1,2,2,3,7,5,5,4,brandin
2024-11-22,GSW,@,NOP,"W, 112-108",20:52,11,0,5,1,1,2,3,5,3,11,19,14,16,8,brandin
2024-11-23,GSW,@,SAS,"L, 94-104",15:34,3,0,1,0,0,0,3,3,2,0,5,2,3,5,brandin
2024-11-25,GSW,,BRK,"L, 120-128",22:38,5,1,3,2,2,1,0,1,6,7,14,13,8,7,brandin
2024-11-27,GSW,,OKC,"L, 101-105",29:36,10,1,4,3,3,2,6,8,5,12,25,17,20,13,brandin
2024-11-30,GSW,@,PHO,"L, 105-113",33:01,8,2,4,2,2,0,7,7,4,12,23,16,19,11,brandin
2024-12-03,GSW,@,DEN,"L, 115-119",24:32,11,0,3,1,1,1,3,4,4,13,21,17,17,8,brandin
2024-12-05,GSW,,HOU,"W, 99-93",36:43,9,1,3,3,4,1,10,11,3,8,22,11,19,14,brandin
2024-12-06,GSW,,MIN,"L, 90-107",24:49,7,2,5,0,0,0,6,6,2,8,16,10,14,8,brandin
2024-12-08,GSW,,MIN,"W, 114-106",20:08,5,2,4,0,0,2,1,3,3,6,12,9,9,6,brandin
2024-12-11,GSW,@,HOU,"L, 90-91",30:30,9,2,5,0,0,1,1,2,4,8,14,12,10,6,brandin
