Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,GSW,@,POR,"W, 140-104",14:44,12,5,7,1,1,1,4,5,1,22,28,23,27,6,buddy
2024-10-25,GSW,@,UTA,"W, 127-86",19:55,14,7,9,0,0,0,4,4,6,27,37,33,31,10,buddy
2024-10-27,GSW,,LAC,"L, 104-112",27:53,14,1,9,1,1,1,5,6,2,8,16,10,14,8,buddy
2024-10-29,GSW,,NOP,"W, 124-106",28:48,18,7,11,3,3,0,1,1,1,28,30,29,29,2,buddy
2024-10-30,GSW,,NOP,"W, 104-89",29:00,19,4,12,1,1,2,0,2,3,21,26,24,23,5,buddy
2024-11-02,GSW,@,HOU,"W, 127-121 (OT)",32:02,14,6,10,3,4,1,6,7,2,27,36,29,34,9,buddy
2024-11-04,GSW,@,WAS,"W, 125-112",27:39,14,3,8,3,4,0,5,5,2,20,27,22,25,7,buddy
2024-11-06,GSW,@,BOS,"W, 118-112",28:32,11,4,7,0,0,1,5,6,1,16,23,17,22,7,buddy
2024-11-08,GSW,@,CLE,"L, 117-136",19:21,4,1,4,0,0,0,2,2,1,3,6,4,5,3,buddy
2024-11-10,GSW,@,OKC,"W, 127-116",21:10,8,2,5,0,0,1,4,5,2,8,15,10,13,7,buddy
2024-11-12,GSW,,DAL,"W, 120-117",20:39,13,2,8,0,0,0,1,1,0,14,15,14,15,1,buddy
2024-11-15,GSW,,MEM,"W, 123-118",30:19,15,4,8,0,0,4,0,4,2,18,24,20,22,6,buddy
2024-11-18,GSW,@,LAC,"L, 99-102",23:22,7,2,6,0,0,0,2,2,1,8,11,9,10,3,buddy
2024-11-20,GSW,,ATL,"W, 120-97",20:00,11,3,9,0,0,0,2,2,0,11,13,11,13,2,buddy
2024-11-22,GSW,@,NOP,"W, 112-108",19:18,10,2,7,4,4,1,5,6,0,12,18,12,18,6,buddy
2024-11-23,GSW,@,SAS,"L, 94-104",23:51,9,3,7,0,0,1,0,1,4,11,16,15,12,5,buddy
2024-11-25,GSW,,BRK,"L, 120-128",16:44,12,2,8,1,1,1,2,3,1,9,13,10,12,4,buddy
2024-11-27,GSW,,OKC,"L, 101-105",23:01,8,5,8,2,2,0,3,3,0,17,20,17,20,3,buddy
2024-11-30,GSW,@,PHO,"L, 105-113",16:25,7,2,4,3,3,0,1,1,1,11,13,12,12,2,buddy
2024-12-03,GSW,@,DEN,"L, 115-119",21:24,8,2,6,0,0,0,3,3,0,6,9,6,9,3,buddy
2024-12-05,GSW,,HOU,"W, 99-93",27:10,8,1,6,2,2,0,5,5,2,5,12,7,10,7,buddy
2024-12-06,GSW,,MIN,"L, 90-107",13:22,4,0,2,0,0,0,3,3,0,4,7,4,7,3,buddy
2024-12-08,GSW,,MIN,"W, 114-106",34:34,18,7,13,0,0,1,3,4,2,27,33,29,31,6,buddy
2024-12-11,GSW,@,HOU,"L, 90-91",35:02,12,3,9,0,0,0,4,4,0,15,19,15,19,4,buddy
2024-12-15,GSW,,DAL,"L, 133-143",26:42,11,3,8,0,0,0,0,0,1,9,10,10,9,1,buddy
2024-12-19,GSW,@,MEM,"L, 93-144",19:42,6,1,3,0,0,0,4,4,0,9,13,9,13,4,buddy
2024-12-21,GSW,@,MIN,"W, 113-103",20:38,9,3,8,0,0,1,2,3,2,11,16,13,14,5,buddy
2024-12-23,GSW,,IND,"L, 105-111",16:01,11,3,6,0,0,1,3,4,1,13,18,14,17,5,buddy
2024-12-25,GSW,,LAL,"L, 113-115",17:27,6,1,5,0,0,0,0,0,0,5,5,5,5,0,buddy
