Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,GSW,@,POR,"W, 140-104",25:04,10,3,7,6,6,0,9,9,10,17,36,27,26,19,curry
2024-10-25,GSW,@,UTA,"W, 127-86",27:25,20,4,13,2,2,0,3,3,4,20,27,24,23,7,curry
2024-10-27,GSW,,LAC,"L, 104-112",26:42,11,4,7,2,2,0,4,4,6,18,28,24,22,10,curry
2024-11-04,GSW,@,WAS,"W, 125-112",24:05,15,4,9,6,6,1,2,3,6,24,33,30,27,9,curry
2024-11-06,GSW,@,BOS,"W, 118-112",34:23,17,4,9,7,7,0,7,7,9,27,43,36,34,16,curry
2024-11-08,GSW,@,CLE,"L, 117-136",23:46,10,1,4,1,1,0,1,1,2,12,15,14,13,3,curry
2024-11-10,GSW,@,OKC,"W, 127-116",36:30,23,7,13,3,4,1,4,5,7,36,48,43,41,12,curry
2024-11-12,GSW,,DAL,"W, 120-117",34:52,27,5,12,4,5,0,6,6,9,37,52,46,43,15,curry
2024-11-15,GSW,,MEM,"W, 123-118",26:01,9,3,7,2,2,1,7,8,5,13,26,18,21,13,curry
2024-11-18,GSW,@,LAC,"L, 99-102",32:23,21,6,15,0,0,1,6,7,6,26,39,32,33,13,curry
2024-11-20,GSW,,ATL,"W, 120-97",30:12,10,4,6,5,5,0,4,4,8,23,35,31,27,12,curry
2024-11-22,GSW,@,NOP,"W, 112-108",33:08,13,4,7,3,3,0,7,7,7,19,33,26,26,14,curry
2024-11-23,GSW,@,SAS,"L, 94-104",32:00,16,3,10,1,1,2,5,7,5,14,26,19,21,12,curry
2024-11-25,GSW,,BRK,"L, 120-128",29:28,17,8,16,4,4,0,4,4,7,28,39,35,32,11,curry
2024-11-30,GSW,@,PHO,"L, 105-113",32:24,21,3,10,4,5,1,6,7,4,23,34,27,30,11,curry
2024-12-03,GSW,@,DEN,"L, 115-119",34:18,23,4,15,4,4,1,6,7,11,24,42,35,31,18,curry
2024-12-06,GSW,,MIN,"L, 90-107",32:08,17,3,9,8,8,1,1,2,4,23,29,27,25,6,curry
2024-12-08,GSW,,MIN,"W, 114-106",34:36,18,5,11,9,11,0,4,4,8,30,42,38,34,12,curry
