Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,GSW,@,POR,"W, 140-104",20:26,3,1,1,1,2,0,6,6,3,8,17,11,14,9,draymond
2024-10-25,GSW,@,UTA,"W, 127-86",19:51,4,1,2,0,0,0,2,2,4,3,9,7,5,6,draymond
2024-10-27,GSW,,LAC,"L, 104-112",26:49,2,0,1,2,2,0,5,5,2,2,9,4,7,7,draymond
2024-10-29,GSW,,NOP,"W, 124-106",28:30,4,1,3,0,0,1,2,3,7,3,13,10,6,10,draymond
2024-10-30,GSW,,NOP,"W, 104-89",30:07,11,3,5,1,1,1,3,4,6,14,24,20,18,10,draymond
2024-11-02,GSW,@,HOU,"W, 127-121 (OT)",35:29,8,1,3,5,9,4,7,11,3,14,28,17,25,14,draymond
2024-11-04,GSW,@,WAS,"W, 125-112",28:53,7,3,4,5,7,1,7,8,5,18,31,23,26,13,draymond
2024-11-06,GSW,@,BOS,"W, 118-112",30:19,8,0,4,5,6,2,4,6,4,9,19,13,15,10,draymond
2024-11-08,GSW,@,CLE,"L, 117-136",20:32,7,2,5,0,0,0,2,2,6,6,14,12,8,8,draymond
2024-11-10,GSW,@,OKC,"W, 127-116",30:51,5,2,3,0,0,0,4,4,11,8,23,19,12,15,draymond
2024-11-12,GSW,,DAL,"W, 120-117",31:42,6,2,4,3,4,0,7,7,6,11,24,17,18,13,draymond
2024-11-15,GSW,,MEM,"W, 123-118",30:15,11,3,7,0,0,0,8,8,7,13,28,20,21,15,draymond
2024-11-18,GSW,@,LAC,"L, 99-102",32:18,7,2,3,1,2,1,8,9,7,9,25,16,18,16,draymond
2024-11-20,GSW,,ATL,"W, 120-97",27:38,8,0,4,1,2,0,7,7,9,9,25,18,16,16,draymond
2024-11-22,GSW,@,NOP,"W, 112-108",29:48,6,3,4,2,6,3,5,8,5,11,24,16,19,13,draymond
2024-11-23,GSW,@,SAS,"L, 94-104",26:41,5,0,3,1,2,2,5,7,8,1,16,9,8,15,draymond
2024-11-25,GSW,,BRK,"L, 120-128",28:55,6,1,3,1,4,0,6,6,7,6,19,13,12,13,draymond
2024-11-27,GSW,,OKC,"L, 101-105",32:12,11,2,8,0,0,3,11,14,6,10,30,16,24,20,draymond
2024-11-30,GSW,@,PHO,"L, 105-113",30:35,8,2,5,1,1,0,2,2,7,13,22,20,15,9,draymond
2024-12-06,GSW,,MIN,"L, 90-107",26:29,8,1,4,1,1,1,8,9,6,10,25,16,19,15,draymond
2024-12-08,GSW,,MIN,"W, 114-106",30:33,5,0,1,0,0,0,6,6,7,6,19,13,12,13,draymond
2024-12-11,GSW,@,HOU,"L, 90-91",29:57,9,0,2,0,0,0,3,3,4,8,15,12,11,7,draymond
2024-12-15,GSW,,DAL,"L, 133-143",29:26,14,5,9,4,4,3,4,7,4,21,32,25,28,11,draymond
2024-12-19,GSW,@,MEM,"L, 93-144",19:04,4,0,1,0,0,0,0,0,0,0,0,0,0,0,draymond
2024-12-23,GSW,,IND,"L, 105-111",25:55,5,1,5,1,4,0,7,7,5,4,16,9,11,12,draymond
2024-12-25,GSW,,LAL,"L, 113-115",34:04,6,1,5,0,0,4,6,10,6,3,19,9,13,16,draymond
2024-12-28,GSW,,PHO,"W, 109-105",34:49,9,3,5,1,1,1,7,8,7,16,31,23,24,15,draymond
2024-12-30,GSW,,CLE,"L, 95-113",25:04,10,0,2,0,2,3,5,8,5,2,15,7,10,13,draymond
2025-01-02,GSW,,PHI,"W, 139-105",30:35,10,1,5,2,2,0,6,6,7,15,28,22,21,13,draymond
2025-01-04,GSW,,MEM,"W, 121-113",30:36,7,3,6,0,0,1,1,2,3,9,14,12,11,5,draymond
2025-01-05,GSW,,SAC,"L, 99-129",25:14,8,2,4,0,0,1,3,4,4,10,18,14,14,8,draymond
2025-01-07,GSW,,MIA,"L, 98-114",26:53,9,0,3,1,1,1,9,10,10,7,27,17,17,20,draymond
2025-01-09,GSW,@,DET,"W, 107-104",32:04,9,0,3,1,2,2,3,5,4,7,16,11,12,9,draymond
2025-01-18,GSW,,WAS,"W, 122-114",03:00,1,0,0,0,0,0,1,1,0,0,1,0,1,1,draymond
2025-02-03,GSW,,ORL,"W, 104-99",28:56,4,0,2,0,2,0,7,7,5,4,16,9,11,12,draymond
2025-02-05,GSW,@,UTA,"L, 128-131",34:15,7,0,4,3,4,0,4,4,9,7,20,16,11,13,draymond
