Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,IND,@,DET,"W, 115-109",18:45,4,1,2,2,2,1,1,2,0,7,9,7,9,2,aaron
2024-10-25,IND,@,NYK,"L, 98-123",17:43,5,0,1,0,0,1,1,2,0,4,6,4,6,2,aaron
2024-10-27,IND,,PHI,"L, 114-118 (OT)",28:25,4,1,1,5,5,1,6,7,1,10,18,11,17,8,aaron
2024-10-28,IND,@,ORL,"L, 115-119",30:54,9,0,1,4,6,0,4,4,1,10,15,11,14,5,aaron
2024-10-30,IND,,BOS,"W, 135-132 (OT)",30:22,9,2,4,0,0,1,7,8,3,12,23,15,20,11,aaron
2024-11-01,IND,@,NOP,"L, 118-125",10:04,5,2,2,0,0,0,1,1,1,12,14,13,13,2,aaron
2025-01-16,IND,@,DET,"W, 111-100",09:18,4,2,3,1,1,0,1,1,0,9,10,9,10,1,aaron
2025-01-18,IND,,PHI,"W, 115-102",10:47,5,2,3,2,2,0,2,2,0,12,14,12,14,2,aaron
2025-01-23,IND,,SAS,"L, 110-140",18:58,5,0,2,1,1,0,3,3,1,3,7,4,6,4,aaron
2025-01-25,IND,@,SAS,"W, 136-98",20:46,7,1,3,0,0,1,4,5,2,9,16,11,14,7,aaron
2025-01-29,IND,,DET,"W, 133-119",32:06,4,0,2,0,0,1,2,3,2,0,5,2,3,5,aaron
2025-02-01,IND,,ATL,"W, 132-127",23:18,8,2,5,3,3,0,2,2,1,13,16,14,15,3,aaron
2025-02-03,IND,@,UTA,"W, 112-111",25:43,6,1,3,4,5,1,6,7,2,13,22,15,20,9,aaron
2025-02-04,IND,@,POR,"L, 89-112",16:34,5,1,2,0,0,0,0,0,2,5,7,7,5,2,aaron
2025-02-06,IND,@,LAC,"W, 119-112",20:30,3,0,2,4,4,0,3,3,3,4,10,7,7,6,aaron
2025-02-08,IND,@,LAL,"L, 117-124",21:20,9,0,6,0,0,1,4,5,2,6,13,8,11,7,aaron
2025-02-11,IND,,NYK,"L, 115-128",13:26,3,0,2,0,0,0,0,0,3,0,3,3,0,3,aaron
2025-02-12,IND,@,WAS,"W, 134-130 (OT)",20:43,6,2,3,0,0,0,1,1,1,8,10,9,9,2,aaron
2025-02-20,IND,,MEM,"W, 127-113",24:19,8,3,5,2,2,3,4,7,1,13,21,14,20,8,aaron
2025-02-23,IND,,LAC,"W, 129-111",24:43,11,2,5,3,3,2,4,6,1,19,26,20,25,7,aaron
2025-02-24,IND,,DEN,"L, 116-125",33:00,10,2,6,5,5,0,4,4,0,17,21,17,21,4,aaron
2025-02-26,IND,,TOR,"W, 111-91",23:46,9,2,5,0,0,1,4,5,3,12,20,15,17,8,aaron
2025-02-28,IND,@,MIA,"L, 120-125",35:21,8,1,4,0,0,2,4,6,2,7,15,9,13,8,aaron
2025-03-02,IND,,CHI,"W, 127-112",29:18,16,6,11,3,4,2,3,5,1,27,33,28,32,6,aaron
2025-03-04,IND,,HOU,"W, 115-102",33:41,13,1,6,1,1,0,5,5,0,16,21,16,21,5,aaron
2025-03-06,IND,@,ATL,"L, 118-124",35:01,15,4,9,1,1,0,3,3,2,21,26,23,24,5,aaron
2025-03-08,IND,@,ATL,"L, 118-120",33:46,12,2,6,0,0,0,1,1,2,14,17,16,15,3,aaron
2025-03-10,IND,@,CHI,"L, 103-121",24:09,9,3,7,0,0,1,4,5,2,9,16,11,14,7,aaron
2025-03-11,IND,,MIL,"W, 115-114",31:27,11,1,4,0,0,0,4,4,1,9,14,10,13,5,aaron
2025-03-14,IND,@,PHI,"W, 112-100",27:57,11,3,6,1,2,1,2,3,2,16,21,18,19,5,aaron
2025-03-15,IND,@,MIL,"L, 119-126",36:06,16,6,7,2,2,2,2,4,2,30,36,32,34,6,aaron
2025-03-19,IND,,DAL,"W, 135-131",34:54,9,3,5,3,3,0,5,5,2,18,25,20,23,7,aaron
2025-03-20,IND,,BRK,"W, 105-99 (OT)",34:40,9,2,6,4,4,1,5,6,0,14,20,14,20,6,aaron
2025-03-22,IND,,BRK,"W, 108-103",21:32,6,2,4,0,0,1,2,3,1,6,10,7,9,4,aaron
2025-03-24,IND,,MIN,"W, 119-103",24:13,9,3,3,0,0,2,5,7,1,17,25,18,24,8,aaron
2025-03-26,IND,,LAL,"L, 119-120",20:34,9,3,6,0,0,0,1,1,2,13,16,15,14,3,aaron
2025-03-27,IND,@,WAS,"W, 162-109",18:35,7,3,5,0,0,1,3,4,0,11,15,11,15,4,aaron
2025-03-29,IND,@,OKC,"L, 111-132",22:05,8,1,3,0,0,2,2,4,0,7,11,7,11,4,aaron
2025-03-31,IND,,SAC,"W, 111-109",34:46,16,1,8,9,9,0,6,6,0,24,30,24,30,6,aaron
2025-04-02,IND,,CHO,"W, 119-105",26:20,12,3,9,1,1,2,1,3,1,16,20,17,19,4,aaron
2025-04-04,IND,,UTA,"W, 140-112",19:39,7,2,2,0,1,1,2,3,0,12,15,12,15,3,aaron
2025-04-06,IND,@,DEN,"W, 125-120",30:28,10,3,5,4,4,2,4,6,0,17,23,17,23,6,aaron
2025-04-08,IND,,WAS,"W, 104-98",28:31,6,1,3,2,2,0,6,6,1,7,14,8,13,7,aaron
2025-04-10,IND,,CLE,"W, 114-112",30:19,14,3,6,5,6,1,5,6,1,22,29,23,28,7,aaron
2025-04-13,IND,@,CLE,"W, 126-118 (2OT)",14:22,7,1,2,1,1,2,2,4,1,10,15,11,14,5,aaron
