Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-17,IND,,CHI,W (+35),27:12,12,1,1,2,3,4,9,13,0,19,aliyah
2025-05-20,IND,,ATL,L (-1),36:44,13,0,1,6,7,3,7,10,4,24,aliyah
2025-05-22,IND,@,ATL,W (+5),23:08,7,0,0,0,0,3,4,7,3,4,aliyah
2025-05-24,IND,,NYL,L (-2),36:24,19,0,0,3,4,6,7,13,2,27,aliyah
2025-05-28,IND,@,WAS,L (-6),28:34,5,0,0,2,4,2,5,7,4,10,aliyah
2025-05-30,IND,,CON,L (-2),26:28,10,0,0,1,2,2,3,5,8,17,aliyah
2025-06-03,IND,,WAS,W (+9),28:35,5,0,0,0,2,0,1,1,4,10,aliyah
2025-06-07,IND,@,CHI,W (+27),26:37,7,0,1,3,5,2,3,5,5,11,aliyah
2025-06-10,IND,@,ATL,L (-19),28:34,9,0,1,1,2,1,3,4,5,7,aliyah
2025-06-14,IND,,NYL,W (+14),29:35,10,0,0,2,3,3,8,11,6,10,aliyah
2025-06-17,IND,,CON,W (+17),27:05,9,1,1,0,0,1,8,9,5,9,aliyah
2025-06-19,IND,@,GSV,L (-11),29:49,11,1,1,2,2,3,9,12,1,17,aliyah
2025-06-22,IND,@,LVA,L (-8),32:35,19,0,2,2,2,2,8,10,3,26,aliyah
2025-06-24,IND,@,SEA,W (+8),33:16,18,0,1,5,6,4,4,8,3,31,aliyah
2025-06-26,IND,,LAS,L (-10),33:14,13,0,2,4,4,2,8,10,1,12,aliyah
2025-06-27,IND,@,DAL,W (+8),34:38,14,0,0,3,3,3,3,6,3,21,aliyah
2025-07-03,IND,,LVA,W (+27),23:46,13,0,1,2,2,1,6,7,2,20,aliyah
2025-07-05,IND,,LAS,L (-2),31:55,17,0,0,5,7,4,8,12,4,23,aliyah
2025-07-09,IND,,GSV,L (-19),26:42,8,0,1,2,2,1,5,6,2,6,aliyah
2025-07-11,IND,,ATL,W (+17),32:50,10,1,1,8,8,1,5,6,8,19,aliyah
2025-07-13,IND,,DAL,W (+19),26:04,11,0,1,3,3,1,2,3,3,17,aliyah
2025-07-15,IND,@,CON,W (+8),33:01,6,0,1,7,8,0,6,6,4,11,aliyah
2025-07-16,IND,@,NYL,L (-21),28:57,8,0,2,5,6,0,3,3,6,7,aliyah
2025-07-22,IND,@,NYL,L (-14),29:58,13,0,1,1,1,2,10,12,6,15,aliyah
2025-07-24,IND,,LVA,W (+10),35:17,18,1,1,0,0,4,6,10,3,13,aliyah
2025-07-27,IND,@,CHI,W (+15),34:34,9,0,1,4,4,2,9,11,6,14,aliyah
2025-07-30,IND,,PHO,W (+6),30:00,11,0,0,10,13,2,10,12,1,22,aliyah
2025-08-01,IND,@,DAL,W (+10),28:48,11,0,1,2,3,4,7,11,5,12,aliyah
2025-08-03,IND,@,SEA,W (+4),31:18,11,0,0,2,3,1,11,12,2,16,aliyah
2025-08-05,IND,@,LAS,L (-9),33:33,15,0,1,3,4,5,4,9,4,15,aliyah
2025-08-07,IND,@,PHO,L (-35),26:20,6,0,0,2,2,2,7,9,3,4,aliyah
2025-08-09,IND,,CHI,W (+22),23:59,11,0,1,1,2,1,3,4,3,15,aliyah
2025-08-12,IND,,DAL,L (-1),30:52,10,0,0,4,4,2,3,5,1,14,aliyah
2025-08-15,IND,,WAS,L (-4),26:51,13,0,0,4,6,4,5,9,1,20,aliyah
2025-08-17,IND,@,CON,W (+6),35:40,13,0,0,0,0,3,10,13,5,14,aliyah
2025-08-22,IND,,MIN,L (-5),31:30,9,0,0,1,2,2,4,6,2,15,aliyah
2025-08-24,IND,@,MIN,L (-13),33:50,12,0,1,0,2,3,4,7,5,14,aliyah
2025-08-26,IND,,SEA,W (+20),27:20,18,1,2,6,9,3,6,9,3,27,aliyah
2025-08-29,IND,@,LAS,W (+1),36:37,18,0,0,0,0,7,4,11,4,22,aliyah
2025-08-31,IND,@,GSV,L (-12),29:34,7,0,1,0,0,3,3,6,3,4,aliyah
2025-09-02,IND,@,PHO,L (-6),35:39,15,0,1,1,2,2,6,8,7,11,aliyah
2025-09-05,IND,,CHI,W (+20),18:58,8,0,0,1,3,1,3,4,5,11,aliyah
2025-09-07,IND,@,WAS,W (+29),31:54,12,0,0,0,0,4,7,11,5,12,aliyah
2025-09-09,IND,,MIN,W (+11),28:34,10,0,0,2,2,1,7,8,3,12,aliyah
