Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,IND,@,DET,"W, 115-109",34:49,8,0,2,2,2,0,2,2,7,8,17,15,10,9,andrew
2024-10-25,IND,@,NYK,"L, 98-123",21:25,3,0,2,0,0,0,2,2,2,2,6,4,4,4,andrew
2024-10-27,IND,,PHI,"L, 114-118 (OT)",31:25,11,1,4,3,4,0,2,2,8,10,20,18,12,10,andrew
2024-10-28,IND,@,ORL,"L, 115-119",33:43,12,0,1,1,2,0,3,3,7,13,23,20,16,10,andrew
2024-10-30,IND,,BOS,"W, 135-132 (OT)",05:03,1,0,0,0,0,0,0,0,1,2,3,3,2,1,andrew
2024-11-04,IND,@,DAL,"W, 134-127",28:48,9,1,2,2,2,1,2,3,3,11,17,14,14,6,andrew
2024-11-06,IND,,ORL,"W, 118-111",31:21,8,1,2,0,0,0,2,2,5,5,12,10,7,7,andrew
2024-12-01,IND,@,MEM,"L, 121-136",14:45,11,2,5,0,0,0,2,2,4,14,20,18,16,6,andrew
2024-12-03,IND,@,TOR,"L, 111-122",18:51,5,0,1,4,4,0,0,0,4,6,10,10,6,4,andrew
2024-12-06,IND,@,CHI,"W, 132-123",21:37,5,0,1,0,0,0,6,6,4,8,18,12,14,10,andrew
2024-12-08,IND,,CHO,"L, 109-113",30:40,5,2,3,2,2,1,3,4,3,10,17,13,14,7,andrew
2024-12-13,IND,@,PHI,"W, 121-107",33:16,6,0,2,1,2,0,4,4,7,5,16,12,9,11,andrew
2024-12-15,IND,,NOP,"W, 119-104",27:36,8,0,2,7,7,1,1,2,7,17,26,24,19,9,andrew
2024-12-19,IND,@,PHO,"W, 120-111",33:02,12,2,2,5,6,0,1,1,4,19,24,23,20,5,andrew
2024-12-22,IND,@,SAC,"W, 122-95",18:50,6,2,2,0,0,0,1,1,4,12,17,16,13,5,andrew
2024-12-23,IND,@,GSW,"W, 111-105",33:19,13,1,4,2,2,1,3,4,3,15,22,18,19,7,andrew
2024-12-26,IND,,OKC,"L, 114-120",28:36,17,1,5,4,4,2,7,9,7,23,39,30,32,16,andrew
2024-12-29,IND,@,BOS,"W, 123-114",33:17,12,1,1,4,5,1,7,8,8,17,33,25,25,16,andrew
2024-12-31,IND,,MIL,"L, 112-120",31:40,14,2,5,0,0,0,2,2,3,10,15,13,12,5,andrew
2025-01-02,IND,@,MIA,"W, 128-115",29:07,7,0,2,0,0,3,3,6,6,6,18,12,12,12,andrew
2025-01-04,IND,,PHO,"W, 126-108",30:07,3,2,2,1,2,1,2,3,7,9,19,16,12,10,andrew
2025-01-06,IND,@,BRK,"W, 113-99",31:16,8,1,4,1,2,0,5,5,3,8,16,11,13,8,andrew
2025-01-08,IND,,CHI,"W, 129-113",31:05,11,0,3,4,5,0,6,6,5,14,25,19,20,11,andrew
2025-01-10,IND,,GSW,"W, 108-96",29:11,6,0,0,0,2,2,2,4,5,4,13,9,8,9,andrew
2025-01-12,IND,@,CLE,"W, 108-93",28:10,11,2,4,3,4,0,2,2,4,19,25,23,21,6,andrew
2025-01-14,IND,,CLE,"L, 117-127",32:58,12,0,1,2,5,1,3,4,9,10,23,19,14,13,andrew
2025-01-16,IND,@,DET,"W, 111-100",41:00,11,0,3,4,6,0,4,4,6,12,22,18,16,10,andrew
2025-01-18,IND,,PHI,"W, 115-102",28:27,6,1,2,0,2,0,1,1,3,7,11,10,8,4,andrew
2025-01-23,IND,,SAS,"L, 110-140",26:30,8,0,3,2,2,2,2,4,8,8,20,16,12,12,andrew
2025-01-25,IND,@,SAS,"W, 136-98",31:32,9,2,2,1,2,1,7,8,9,15,32,24,23,17,andrew
2025-02-01,IND,,ATL,"W, 132-127",30:09,11,1,3,4,4,0,1,1,5,19,25,24,20,6,andrew
2025-02-03,IND,@,UTA,"W, 112-111",29:40,5,2,3,0,0,0,3,3,8,10,21,18,13,11,andrew
2025-02-04,IND,@,POR,"L, 89-112",27:13,10,0,1,5,6,0,6,6,2,17,25,19,23,8,andrew
2025-02-06,IND,@,LAC,"W, 119-112",31:05,9,0,3,0,0,2,1,3,2,4,9,6,7,5,andrew
2025-02-08,IND,@,LAL,"L, 117-124",21:45,1,0,1,2,2,0,0,0,3,2,5,5,2,3,andrew
2025-02-11,IND,,NYK,"L, 115-128",29:32,8,0,2,2,2,0,1,1,2,8,11,10,9,3,andrew
2025-02-12,IND,@,WAS,"W, 134-130 (OT)",28:06,6,1,2,4,4,1,2,3,4,9,16,13,12,7,andrew
2025-02-20,IND,,MEM,"W, 127-113",29:53,9,1,4,2,2,0,3,3,4,11,18,15,14,7,andrew
2025-02-23,IND,,LAC,"W, 129-111",29:47,11,0,2,2,2,1,4,5,1,12,18,13,17,6,andrew
2025-02-24,IND,,DEN,"L, 116-125",27:10,5,0,1,0,0,0,2,2,5,6,13,11,8,7,andrew
2025-02-26,IND,,TOR,"W, 111-91",27:35,7,0,4,1,2,0,0,0,3,7,10,10,7,3,andrew
2025-02-28,IND,@,MIA,"L, 120-125",37:24,7,1,2,0,0,1,2,3,11,9,23,20,12,14,andrew
2025-03-02,IND,,CHI,"W, 127-112",37:09,5,2,3,1,1,0,2,2,4,11,17,15,13,6,andrew
2025-03-04,IND,,HOU,"W, 115-102",34:36,6,1,3,0,0,1,5,6,6,5,17,11,11,12,andrew
2025-03-06,IND,@,ATL,"L, 118-124",30:21,13,2,5,3,3,0,1,1,10,15,26,25,16,11,andrew
2025-03-08,IND,@,ATL,"L, 118-120",31:16,11,1,5,0,0,1,4,5,12,11,28,23,16,17,andrew
2025-03-10,IND,@,CHI,"L, 103-121",21:43,7,0,2,2,2,1,2,3,3,8,14,11,11,6,andrew
2025-03-11,IND,,MIL,"W, 115-114",28:37,6,2,4,2,3,1,1,2,3,12,17,15,14,5,andrew
2025-03-14,IND,@,PHI,"W, 112-100",32:43,6,1,6,2,2,0,2,2,7,5,14,12,7,9,andrew
2025-03-15,IND,@,MIL,"L, 119-126",31:34,7,1,2,0,0,0,3,3,2,7,12,9,10,5,andrew
2025-03-17,IND,@,MIN,"W, 132-130 (OT)",19:21,8,1,2,1,2,0,2,2,3,12,17,15,14,5,andrew
2025-03-19,IND,,DAL,"W, 135-131",31:36,14,2,5,6,9,0,3,3,8,22,33,30,25,11,andrew
2025-03-20,IND,,BRK,"W, 105-99 (OT)",30:47,12,1,4,0,0,0,3,3,4,9,16,13,12,7,andrew
2025-03-22,IND,,BRK,"W, 108-103",34:36,5,1,2,0,0,0,4,4,7,5,16,12,9,11,andrew
2025-03-24,IND,,MIN,"W, 119-103",32:48,7,0,1,0,0,0,3,3,5,6,14,11,9,8,andrew
2025-03-26,IND,,LAL,"L, 119-120",39:18,9,1,2,3,3,3,4,7,3,16,26,19,23,10,andrew
2025-03-27,IND,@,WAS,"W, 162-109",20:11,3,1,2,2,2,1,3,4,8,7,19,15,11,12,andrew
2025-03-29,IND,@,OKC,"L, 111-132",30:04,13,1,4,3,4,0,5,5,7,16,28,23,21,12,andrew
2025-03-31,IND,,SAC,"W, 111-109",31:25,8,1,5,0,0,0,7,7,2,5,14,7,12,9,andrew
2025-04-02,IND,,CHO,"W, 119-105",28:41,8,1,3,0,0,1,1,2,2,9,13,11,11,4,andrew
2025-04-04,IND,,UTA,"W, 140-112",26:47,7,0,2,1,1,0,6,6,3,11,20,14,17,9,andrew
2025-04-06,IND,@,DEN,"W, 125-120",32:32,14,0,5,3,4,1,3,4,6,19,29,25,23,10,andrew
2025-04-08,IND,,WAS,"W, 104-98",31:05,7,0,2,2,2,2,5,7,4,4,15,8,11,11,andrew
2025-04-10,IND,,CLE,"W, 114-112",28:17,8,0,3,0,0,0,1,1,7,2,10,9,3,8,andrew
2025-04-13,IND,@,CLE,"W, 126-118 (2OT)",14:28,8,1,3,0,0,0,0,0,4,3,7,7,3,4,andrew
