Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,IND,@,DET,"W, 115-109",27:41,8,2,3,7,9,1,5,6,1,19,26,20,25,7,bennedict
2024-10-25,IND,@,NYK,"L, 98-123",23:36,13,2,5,2,4,0,2,2,1,20,23,21,22,3,bennedict
2024-10-27,IND,,PHI,"L, 114-118 (OT)",21:09,6,0,4,1,2,1,1,2,2,5,9,7,7,4,bennedict
2024-10-28,IND,@,ORL,"L, 115-119",13:42,1,1,1,2,2,0,2,2,0,5,7,5,7,2,bennedict
2024-10-30,IND,,BOS,"W, 135-132 (OT)",42:38,17,2,5,10,11,3,8,11,4,30,45,34,41,15,bennedict
2024-11-01,IND,@,NOP,"L, 118-125",32:16,15,1,2,4,5,2,4,6,3,19,28,22,25,9,bennedict
2024-11-04,IND,@,DAL,"W, 134-127",31:48,13,1,4,1,3,0,7,7,3,16,26,19,23,10,bennedict
2024-11-06,IND,,ORL,"W, 118-111",33:55,7,1,3,13,14,1,10,11,1,20,32,21,31,12,bennedict
2024-11-08,IND,@,CHO,"L, 83-103",36:03,16,2,2,4,5,1,5,6,2,22,30,24,28,8,bennedict
2024-11-10,IND,,NYK,"W, 132-121",41:25,18,7,9,5,6,2,6,8,2,38,48,40,46,10,bennedict
2024-11-13,IND,@,ORL,"L, 90-94",34:50,17,1,5,8,9,1,11,12,0,23,35,23,35,12,bennedict
2024-11-15,IND,,MIA,"L, 111-124",28:39,11,0,3,0,0,1,3,4,1,8,13,9,12,5,bennedict
2024-11-17,IND,,MIA,"W, 119-110",37:12,10,1,2,8,8,2,10,12,2,21,35,23,33,14,bennedict
2024-11-18,IND,@,TOR,"L, 119-130",32:08,16,4,6,4,6,3,2,5,2,28,35,30,33,7,bennedict
2024-11-20,IND,@,HOU,"L, 113-130",25:02,8,2,3,0,0,0,5,5,0,8,13,8,13,5,bennedict
2024-11-22,IND,@,MIL,"L, 117-129",33:09,18,1,5,7,7,3,6,9,1,20,30,21,29,10,bennedict
2024-11-24,IND,,WAS,"W, 115-103",39:15,12,1,6,7,8,1,5,6,4,16,26,20,22,10,bennedict
2024-11-25,IND,,NOP,"W, 114-110",37:36,12,0,4,4,4,0,9,9,3,12,24,15,21,12,bennedict
2024-11-27,IND,,POR,"W, 121-114",39:40,16,3,5,5,6,3,7,10,3,24,37,27,34,13,bennedict
2024-11-29,IND,,DET,"L, 106-130",35:33,11,3,5,1,2,0,0,0,1,16,17,17,16,1,bennedict
2024-12-01,IND,@,MEM,"L, 121-136",34:06,13,2,4,7,8,1,8,9,3,19,31,22,28,12,bennedict
2024-12-03,IND,@,TOR,"L, 111-122",36:40,16,0,3,3,3,1,2,3,1,17,21,18,20,4,bennedict
2024-12-04,IND,@,BRK,"L, 90-99",32:12,12,0,3,2,2,2,2,4,2,8,14,10,12,6,bennedict
2024-12-06,IND,@,CHI,"W, 132-123",34:05,15,1,1,4,5,1,5,6,1,19,26,20,25,7,bennedict
2024-12-08,IND,,CHO,"L, 109-113",33:53,11,1,7,2,2,1,2,3,0,11,14,11,14,3,bennedict
2024-12-13,IND,@,PHI,"W, 121-107",37:20,14,1,5,2,2,1,6,7,4,13,24,17,20,11,bennedict
2024-12-15,IND,,NOP,"W, 119-104",27:56,6,0,1,2,2,1,5,6,0,8,14,8,14,6,bennedict
2024-12-19,IND,@,PHO,"W, 120-111",37:06,14,2,7,2,2,1,1,2,2,16,20,18,18,4,bennedict
2024-12-22,IND,@,SAC,"W, 122-95",29:57,9,0,3,0,0,1,7,8,4,4,16,8,12,12,bennedict
2024-12-23,IND,@,GSW,"W, 111-105",35:46,14,1,5,1,2,1,4,5,2,12,19,14,17,7,bennedict
2024-12-26,IND,,OKC,"L, 114-120",39:03,13,2,5,6,8,2,4,6,3,18,27,21,24,9,bennedict
2024-12-27,IND,@,BOS,"L, 105-142",31:55,13,1,2,5,6,3,3,6,2,18,26,20,24,8,bennedict
2024-12-29,IND,@,BOS,"W, 123-114",29:27,8,1,1,1,1,1,4,5,1,14,20,15,19,6,bennedict
2024-12-31,IND,,MIL,"L, 112-120",36:58,18,3,5,2,5,2,7,9,2,25,36,27,34,11,bennedict
2025-01-02,IND,@,MIA,"W, 128-115",29:38,12,1,5,1,1,1,1,2,1,12,15,13,14,3,bennedict
2025-01-04,IND,,PHO,"W, 126-108",34:29,10,1,3,2,2,1,9,10,4,13,27,17,23,14,bennedict
2025-01-06,IND,@,BRK,"W, 113-99",31:22,14,3,6,1,2,0,3,3,2,20,25,22,23,5,bennedict
2025-01-08,IND,,CHI,"W, 129-113",24:50,12,0,4,2,2,2,1,3,4,8,15,12,11,7,bennedict
2025-01-10,IND,,GSW,"W, 108-96",34:07,18,3,8,0,0,1,9,10,2,21,33,23,31,12,bennedict
2025-01-12,IND,@,CLE,"W, 108-93",33:07,15,2,7,0,2,0,3,3,3,12,18,15,15,6,bennedict
2025-01-14,IND,,CLE,"L, 117-127",31:29,12,3,6,0,1,1,3,4,2,19,25,21,23,6,bennedict
2025-01-18,IND,,PHI,"W, 115-102",24:55,6,0,3,2,2,2,5,7,1,8,16,9,15,8,bennedict
2025-01-23,IND,,SAS,"L, 110-140",24:31,14,2,5,0,0,2,1,3,0,24,27,24,27,3,bennedict
2025-01-25,IND,@,SAS,"W, 136-98",21:20,10,3,6,2,2,1,2,3,1,13,17,14,16,4,bennedict
2025-02-01,IND,,ATL,"W, 132-127",24:42,10,0,3,5,5,0,2,2,0,17,19,17,19,2,bennedict
2025-02-03,IND,@,UTA,"W, 112-111",22:17,11,1,5,0,0,1,0,1,0,9,10,9,10,1,bennedict
2025-02-04,IND,@,POR,"L, 89-112",29:05,9,1,1,3,5,2,5,7,2,12,21,14,19,9,bennedict
2025-02-06,IND,@,LAC,"W, 119-112",28:08,13,1,5,8,12,3,3,6,4,25,35,29,31,10,bennedict
2025-02-08,IND,@,LAL,"L, 117-124",24:54,12,1,3,5,5,1,4,5,0,16,21,16,21,5,bennedict
2025-02-11,IND,,NYK,"L, 115-128",31:12,10,1,5,9,11,0,3,3,4,18,25,22,21,7,bennedict
2025-02-12,IND,@,WAS,"W, 134-130 (OT)",32:47,19,3,5,3,3,2,3,5,4,28,37,32,33,9,bennedict
2025-02-20,IND,,MEM,"W, 127-113",24:25,9,1,2,3,3,1,3,4,1,16,21,17,20,5,bennedict
2025-02-23,IND,,LAC,"W, 129-111",21:20,6,0,2,2,2,0,1,1,1,8,10,9,9,2,bennedict
2025-02-24,IND,,DEN,"L, 116-125",19:21,7,0,2,2,2,1,2,3,2,8,13,10,11,5,bennedict
2025-02-26,IND,,TOR,"W, 111-91",23:37,9,0,3,4,4,0,4,4,2,10,16,12,14,6,bennedict
2025-03-08,IND,@,ATL,"L, 118-120",39:53,20,4,6,8,10,3,5,8,5,30,43,35,38,13,bennedict
2025-03-10,IND,@,CHI,"L, 103-121",22:53,9,0,1,1,1,1,1,2,3,5,10,8,7,5,bennedict
