Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-17,IND,,CHI,W (+35),29:40,12,2,4,1,2,0,1,1,2,15,kelsey
2025-05-20,IND,,ATL,L (-1),33:07,15,2,3,4,4,0,0,0,2,24,kelsey
2025-05-22,IND,@,ATL,W (+5),27:58,19,1,6,2,4,1,2,3,1,17,kelsey
2025-05-24,IND,,NYL,L (-2),34:27,16,2,7,1,2,0,0,0,4,15,kelsey
2025-05-28,IND,@,WAS,L (-6),32:13,16,2,7,4,5,0,1,1,4,14,kelsey
2025-05-30,IND,,CON,L (-2),34:58,15,0,4,5,6,0,2,2,5,13,kelsey
2025-06-03,IND,,WAS,W (+9),32:02,14,4,7,6,10,0,2,2,3,24,kelsey
2025-06-07,IND,@,CHI,W (+27),24:57,11,1,6,6,7,1,4,5,2,17,kelsey
2025-06-10,IND,@,ATL,L (-19),30:59,16,0,5,1,2,0,1,1,1,11,kelsey
2025-06-14,IND,,NYL,W (+14),34:05,21,3,10,1,2,0,2,2,1,22,kelsey
2025-06-17,IND,,CON,W (+17),28:54,18,1,7,0,0,1,1,2,2,17,kelsey
2025-06-19,IND,@,GSV,L (-11),33:01,11,1,5,3,4,0,1,1,2,16,kelsey
2025-06-22,IND,@,LVA,L (-8),34:33,13,3,6,1,3,1,1,2,2,20,kelsey
2025-06-24,IND,@,SEA,W (+8),33:42,14,5,7,5,5,2,2,4,4,26,kelsey
2025-06-26,IND,,LAS,L (-10),32:05,16,4,9,2,2,0,1,1,4,20,kelsey
2025-06-27,IND,@,DAL,W (+8),33:35,17,4,6,6,8,0,3,3,7,32,kelsey
2025-07-03,IND,,LVA,W (+27),28:48,18,4,6,3,4,0,0,0,6,25,kelsey
2025-07-05,IND,,LAS,L (-2),30:48,17,3,6,0,1,0,0,0,0,19,kelsey
2025-07-09,IND,,GSV,L (-19),29:58,13,1,5,5,6,0,3,3,0,12,kelsey
2025-07-11,IND,,ATL,W (+17),25:29,16,3,7,4,4,0,0,0,3,25,kelsey
2025-07-13,IND,,DAL,W (+19),26:01,12,1,3,3,4,0,4,4,3,20,kelsey
2025-07-15,IND,@,CON,W (+8),32:50,13,0,3,4,5,0,2,2,3,20,kelsey
2025-07-16,IND,@,NYL,L (-21),26:35,11,2,5,4,5,1,1,2,0,16,kelsey
2025-07-22,IND,@,NYL,L (-14),34:59,21,3,9,4,4,1,1,2,2,29,kelsey
2025-07-24,IND,,LVA,W (+10),33:28,24,3,9,2,3,0,1,1,4,21,kelsey
2025-07-27,IND,@,CHI,W (+15),29:51,19,7,10,4,4,0,2,2,6,35,kelsey
2025-07-30,IND,,PHO,W (+6),21:45,10,1,3,1,2,0,3,3,3,8,kelsey
2025-08-01,IND,@,DAL,W (+10),32:30,19,3,8,2,2,1,2,3,3,23,kelsey
2025-08-03,IND,@,SEA,W (+4),30:03,16,0,8,3,4,1,1,2,5,9,kelsey
2025-08-05,IND,@,LAS,L (-9),31:07,19,7,12,5,5,1,1,2,6,34,kelsey
2025-08-07,IND,@,PHO,L (-35),34:53,17,1,6,3,6,0,1,1,4,12,kelsey
2025-08-09,IND,,CHI,W (+22),32:39,18,4,8,4,6,2,1,3,8,26,kelsey
2025-08-12,IND,,DAL,L (-1),35:30,15,4,7,6,7,2,4,6,2,24,kelsey
2025-08-15,IND,,WAS,L (-4),32:44,19,1,6,1,2,0,0,0,9,14,kelsey
2025-08-17,IND,@,CON,W (+6),39:40,22,5,8,11,12,1,0,1,6,38,kelsey
2025-08-22,IND,,MIN,L (-5),35:02,20,5,7,4,6,0,0,0,5,27,kelsey
2025-08-24,IND,@,MIN,L (-13),32:58,12,2,3,10,11,0,1,1,2,26,kelsey
2025-08-26,IND,,SEA,W (+20),30:06,15,2,4,3,3,0,0,0,2,21,kelsey
2025-08-29,IND,@,LAS,W (+1),34:48,14,1,6,1,4,1,1,2,3,12,kelsey
2025-08-31,IND,@,GSV,L (-12),32:40,14,2,10,4,4,0,2,2,3,14,kelsey
2025-09-02,IND,@,PHO,L (-6),34:14,20,5,9,2,2,1,3,4,4,29,kelsey
2025-09-05,IND,,CHI,W (+20),30:37,13,2,6,6,6,0,0,0,8,20,kelsey
2025-09-07,IND,@,WAS,W (+29),24:40,10,0,4,2,2,0,0,0,1,10,kelsey
2025-09-09,IND,,MIN,W (+11),25:54,10,4,5,0,0,0,1,1,3,18,kelsey
