Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-17,IND,,CHI,W (+35),22:32,10,0,4,1,2,3,6,9,0,9,lexie
2025-05-20,IND,,ATL,L (-1),29:16,4,1,1,1,3,2,1,3,0,6,lexie
2025-05-22,IND,@,ATL,W (+5),26:30,7,2,2,0,0,0,0,0,4,10,lexie
2025-05-24,IND,,NYL,L (-2),26:19,9,2,2,1,2,0,2,2,0,15,lexie
2025-05-28,IND,@,WAS,L (-6),31:13,8,1,3,2,3,0,4,4,2,9,lexie
2025-05-30,IND,,CON,L (-2),34:34,8,2,2,0,0,1,3,4,1,12,lexie
2025-06-03,IND,,WAS,W (+9),36:14,9,2,4,0,0,0,6,6,4,14,lexie
2025-06-07,IND,@,CHI,W (+27),28:55,7,2,2,1,1,2,4,6,2,9,lexie
2025-06-10,IND,@,ATL,L (-19),32:03,5,0,3,0,0,0,5,5,1,0,lexie
2025-06-14,IND,,NYL,W (+14),34:01,10,3,4,1,2,2,2,4,2,14,lexie
2025-06-17,IND,,CON,W (+17),31:27,5,2,3,2,2,0,3,3,2,8,lexie
2025-06-19,IND,@,GSV,L (-11),32:46,5,1,2,0,0,0,3,3,3,3,lexie
2025-06-22,IND,@,LVA,L (-8),35:55,6,1,2,0,0,3,3,6,3,7,lexie
2025-06-24,IND,@,SEA,W (+8),31:09,10,2,4,1,2,3,8,11,0,15,lexie
2025-06-26,IND,,LAS,L (-10),33:29,7,0,3,2,2,4,5,9,3,6,lexie
2025-06-27,IND,@,DAL,W (+8),21:27,4,1,3,0,0,0,2,2,0,3,lexie
2025-07-03,IND,,LVA,W (+27),28:20,5,1,3,2,4,2,4,6,2,7,lexie
2025-07-05,IND,,LAS,L (-2),22:08,4,1,2,0,0,1,1,2,1,5,lexie
2025-07-09,IND,,GSV,L (-19),24:00,7,1,4,0,0,4,5,9,1,5,lexie
2025-07-11,IND,,ATL,W (+17),15:01,4,1,3,0,0,3,2,5,3,5,lexie
2025-07-13,IND,,DAL,W (+19),18:11,1,1,1,0,0,0,2,2,1,3,lexie
2025-07-15,IND,@,CON,W (+8),14:10,5,1,3,0,0,0,0,0,2,5,lexie
2025-07-16,IND,@,NYL,L (-21),19:10,5,1,2,0,0,3,4,7,2,5,lexie
2025-07-22,IND,@,NYL,L (-14),21:27,10,2,6,1,2,1,0,1,2,7,lexie
2025-07-24,IND,,LVA,W (+10),18:50,5,0,3,0,0,0,2,2,1,0,lexie
2025-07-27,IND,@,CHI,W (+15),19:19,7,1,4,0,0,2,2,4,3,7,lexie
2025-07-30,IND,,PHO,W (+6),22:34,2,0,2,2,2,2,3,5,1,2,lexie
2025-08-01,IND,@,DAL,W (+10),18:20,7,1,4,0,0,0,0,0,1,7,lexie
2025-08-03,IND,@,SEA,W (+4),16:39,3,0,2,0,0,1,1,2,2,0,lexie
2025-08-05,IND,@,LAS,L (-9),21:20,3,0,2,0,0,2,0,2,1,0,lexie
2025-08-07,IND,@,PHO,L (-35),26:47,11,0,8,0,0,3,3,6,0,2,lexie
2025-08-09,IND,,CHI,W (+22),32:05,9,4,6,3,3,1,2,3,3,17,lexie
2025-08-12,IND,,DAL,L (-1),24:52,3,0,1,0,0,1,6,7,3,0,lexie
2025-08-15,IND,,WAS,L (-4),35:19,8,1,4,0,0,1,4,5,0,7,lexie
2025-08-17,IND,@,CON,W (+6),37:02,8,2,6,0,0,3,4,7,3,8,lexie
2025-08-22,IND,,MIN,L (-5),37:33,16,4,7,1,1,0,4,4,2,23,lexie
2025-08-24,IND,@,MIN,L (-13),32:31,10,2,6,0,0,1,0,1,4,6,lexie
2025-08-26,IND,,SEA,W (+20),23:19,3,1,1,0,0,3,6,9,1,5,lexie
2025-08-29,IND,@,LAS,W (+1),27:18,7,1,1,0,0,1,4,5,4,5,lexie
2025-08-31,IND,@,GSV,L (-12),33:20,5,2,5,2,2,2,4,6,1,8,lexie
2025-09-02,IND,@,PHO,L (-6),34:40,13,3,7,3,3,2,3,5,1,18,lexie
2025-09-05,IND,,CHI,W (+20),30:44,9,1,5,0,0,2,1,3,1,9,lexie
2025-09-07,IND,@,WAS,W (+29),20:13,7,1,4,0,0,0,0,0,2,7,lexie
2025-09-09,IND,,MIN,W (+11),26:00,8,0,4,0,0,1,4,5,4,4,lexie
