Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-17,IND,,CHI,W (+35),29:09,12,0,1,3,8,0,5,5,2,15,natasha
2025-05-20,IND,,ATL,L (-1),29:23,9,0,0,0,4,3,6,9,0,6,natasha
2025-05-22,IND,@,ATL,W (+5),29:06,17,1,2,1,2,2,5,7,2,26,natasha
2025-05-24,IND,,NYL,L (-2),18:49,8,0,0,0,0,3,5,8,1,6,natasha
2025-05-28,IND,@,WAS,L (-6),17:00,10,0,0,1,2,2,4,6,0,11,natasha
2025-05-30,IND,,CON,L (-2),27:16,9,0,1,1,2,2,4,6,1,9,natasha
2025-06-03,IND,,WAS,W (+9),19:17,5,0,1,2,2,0,2,2,1,6,natasha
2025-06-07,IND,@,CHI,W (+27),26:16,10,1,2,0,0,2,3,5,1,13,natasha
2025-06-10,IND,@,ATL,L (-19),26:52,9,0,1,3,6,2,8,10,0,15,natasha
2025-06-14,IND,,NYL,W (+14),14:26,4,0,0,2,2,1,3,4,0,4,natasha
2025-06-17,IND,,CON,W (+17),25:38,8,0,0,6,6,7,5,12,0,16,natasha
2025-06-19,IND,@,GSV,L (-11),23:53,11,0,2,1,1,1,4,5,2,13,natasha
2025-06-22,IND,@,LVA,L (-8),24:14,4,1,1,0,0,1,3,4,1,7,natasha
2025-06-24,IND,@,SEA,W (+8),12:40,4,0,0,0,0,2,3,5,0,4,natasha
2025-06-26,IND,,LAS,L (-10),25:32,9,0,1,5,6,1,2,3,0,13,natasha
2025-06-27,IND,@,DAL,W (+8),31:31,9,0,1,3,3,1,12,13,4,15,natasha
2025-07-03,IND,,LVA,W (+27),25:12,8,0,0,3,3,5,5,10,3,11,natasha
2025-07-05,IND,,LAS,L (-2),35:38,11,1,2,4,6,3,6,9,3,21,natasha
2025-07-09,IND,,GSV,L (-19),16:17,4,0,0,2,2,0,2,2,2,4,natasha
2025-07-11,IND,,ATL,W (+17),23:50,10,0,2,1,1,2,5,7,0,9,natasha
2025-07-13,IND,,DAL,W (+19),24:06,9,0,0,2,4,0,2,2,0,18,natasha
2025-07-15,IND,@,CON,W (+8),31:08,11,0,0,2,4,4,9,13,0,18,natasha
2025-07-16,IND,@,NYL,L (-21),16:25,8,0,1,2,2,3,2,5,1,8,natasha
2025-07-22,IND,@,NYL,L (-14),26:46,8,0,1,5,6,0,6,6,0,13,natasha
2025-07-24,IND,,LVA,W (+10),30:20,9,1,1,5,7,5,8,13,1,18,natasha
2025-07-27,IND,@,CHI,W (+15),12:19,5,0,0,0,0,0,0,0,3,0,natasha
2025-07-30,IND,,PHO,W (+6),23:00,6,0,0,0,0,1,5,6,3,6,natasha
2025-08-01,IND,@,DAL,W (+10),31:05,9,0,1,3,4,6,10,16,5,11,natasha
2025-08-03,IND,@,SEA,W (+4),32:16,12,0,1,1,1,2,3,5,5,21,natasha
2025-08-05,IND,@,LAS,L (-9),32:03,12,0,3,3,4,0,7,7,2,17,natasha
2025-08-07,IND,@,PHO,L (-35),18:13,6,1,1,0,0,0,2,2,0,7,natasha
2025-08-09,IND,,CHI,W (+22),18:39,6,0,1,1,2,2,8,10,0,7,natasha
2025-08-12,IND,,DAL,L (-1),27:30,9,0,1,2,4,1,11,12,1,12,natasha
2025-08-15,IND,,WAS,L (-4),25:38,8,0,0,3,4,1,0,1,1,11,natasha
2025-08-17,IND,@,CON,W (+6),25:04,13,0,0,2,4,4,5,9,1,18,natasha
2025-08-22,IND,,MIN,L (-5),19:51,6,0,0,2,2,0,4,4,1,8,natasha
2025-08-24,IND,@,MIN,L (-13),23:45,6,0,0,2,2,3,5,8,3,10,natasha
2025-08-26,IND,,SEA,W (+20),21:34,4,0,0,2,2,2,3,5,6,6,natasha
2025-08-29,IND,@,LAS,W (+1),29:06,8,0,1,3,4,4,3,7,2,5,natasha
2025-08-31,IND,@,GSV,L (-12),25:16,9,0,0,3,4,2,4,6,0,13,natasha
2025-09-02,IND,@,PHO,L (-6),17:40,3,0,1,0,0,0,3,3,3,4,natasha
2025-09-05,IND,,CHI,W (+20),22:17,8,0,0,4,5,3,4,7,2,18,natasha
2025-09-07,IND,@,WAS,W (+29),24:07,10,0,1,5,7,1,3,4,1,17,natasha
2025-09-09,IND,,MIN,W (+11),20:13,6,0,2,4,4,2,5,7,2,10,natasha
