Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,IND,@,DET,"W, 115-109",16:02,2,0,1,0,0,0,1,1,2,2,5,4,3,3,obi
2024-10-25,IND,@,NYK,"L, 98-123",19:48,6,0,1,0,0,0,1,1,4,8,13,12,9,5,obi
2024-10-27,IND,,PHI,"L, 114-118 (OT)",22:51,8,1,3,6,7,2,2,4,1,15,20,16,19,5,obi
2024-10-28,IND,@,ORL,"L, 115-119",14:12,6,3,4,1,2,1,1,2,0,14,16,14,16,2,obi
2024-10-30,IND,,BOS,"W, 135-132 (OT)",33:25,15,2,7,4,4,3,4,7,3,18,28,21,25,10,obi
2024-11-01,IND,@,NOP,"L, 118-125",18:47,6,1,3,0,0,1,4,5,0,7,12,7,12,5,obi
2024-11-04,IND,@,DAL,"W, 134-127",24:16,8,1,3,0,0,1,5,6,2,11,19,13,17,8,obi
2024-11-06,IND,,ORL,"W, 118-111",16:56,3,0,0,0,0,0,0,0,1,4,5,5,4,1,obi
2024-11-08,IND,@,CHO,"L, 83-103",20:37,4,0,2,0,0,1,1,2,1,2,5,3,4,3,obi
2024-11-13,IND,@,ORL,"L, 90-94",18:38,4,0,3,0,0,1,2,3,2,2,7,4,5,5,obi
2024-11-15,IND,,MIA,"L, 111-124",21:28,10,3,5,2,2,0,3,3,0,21,24,21,24,3,obi
2024-11-17,IND,,MIA,"W, 119-110",17:49,8,0,2,0,0,1,2,3,2,8,13,10,11,5,obi
2024-11-18,IND,@,TOR,"L, 119-130",31:00,13,3,8,0,0,0,2,2,5,19,26,24,21,7,obi
2024-11-20,IND,@,HOU,"L, 113-130",13:08,6,0,4,0,0,0,3,3,0,4,7,4,7,3,obi
2024-11-22,IND,@,MIL,"L, 117-129",16:40,9,0,3,0,0,2,2,4,3,6,13,9,10,7,obi
2024-11-24,IND,,WAS,"W, 115-103",15:52,6,1,1,0,0,1,2,3,0,11,14,11,14,3,obi
2024-11-25,IND,,NOP,"W, 114-110",15:50,8,1,4,0,0,0,2,2,2,7,11,9,9,4,obi
2024-11-27,IND,,POR,"W, 121-114",15:39,3,2,2,0,0,0,5,5,2,6,13,8,11,7,obi
2024-11-29,IND,,DET,"L, 106-130",25:17,5,0,2,3,3,0,3,3,2,5,10,7,8,5,obi
