Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-08-12,IND,,DAL,L (-1),12:49,4,0,1,0,0,0,0,0,2,0,odyssey
2025-08-15,IND,,WAS,L (-4),26:24,10,1,3,0,0,1,1,2,3,11,odyssey
2025-08-17,IND,@,CON,W (+6),42:01,13,0,1,7,9,1,3,4,7,19,odyssey
2025-08-22,IND,,MIN,L (-5),21:26,5,0,1,0,0,0,1,1,5,4,odyssey
2025-08-24,IND,@,MIN,L (-13),20:17,5,1,3,0,0,0,0,0,2,3,odyssey
2025-08-26,IND,,SEA,W (+20),28:21,14,3,4,3,4,0,3,3,6,22,odyssey
2025-08-29,IND,@,LAS,W (+1),33:43,20,1,5,0,0,0,6,6,3,21,odyssey
2025-08-31,IND,@,GSV,L (-12),30:12,10,1,5,2,2,0,2,2,5,5,odyssey
2025-09-02,IND,@,PHO,L (-6),25:54,9,1,4,0,0,0,1,1,2,5,odyssey
2025-09-05,IND,,CHI,W (+20),19:49,9,1,2,2,2,0,0,0,4,13,odyssey
2025-09-07,IND,@,WAS,W (+29),23:31,6,0,0,0,0,1,1,2,8,6,odyssey
2025-09-09,IND,,MIN,W (+11),32:42,14,0,1,3,4,1,0,1,1,15,odyssey
