Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,IND,@,DET,"W, 115-109",31:58,15,1,3,2,3,3,5,8,9,19,36,28,27,17,pascal
2024-10-25,IND,@,NYK,"L, 98-123",23:13,11,0,4,2,2,2,3,5,2,12,19,14,17,7,pascal
2024-10-27,IND,,PHI,"L, 114-118 (OT)",40:07,11,2,4,1,2,0,5,5,6,17,28,23,22,11,pascal
2024-10-28,IND,@,ORL,"L, 115-119",33:49,18,2,5,4,5,2,7,9,4,26,39,30,35,13,pascal
2024-10-30,IND,,BOS,"W, 135-132 (OT)",37:41,20,6,8,1,4,5,6,11,5,29,45,34,40,16,pascal
2024-11-01,IND,@,NOP,"L, 118-125",31:43,13,2,5,0,0,1,4,5,6,16,27,22,21,11,pascal
2024-11-04,IND,@,DAL,"W, 134-127",35:35,16,1,2,2,2,1,5,6,4,23,33,27,29,10,pascal
2024-11-06,IND,,ORL,"W, 118-111",33:29,13,0,3,5,5,1,3,4,3,17,24,20,21,7,pascal
2024-11-08,IND,@,CHO,"L, 83-103",33:37,17,5,7,0,2,0,4,4,3,27,34,30,31,7,pascal
2024-11-10,IND,,NYK,"W, 132-121",34:07,13,2,6,2,2,3,5,8,3,14,25,17,22,11,pascal
2024-11-13,IND,@,ORL,"L, 90-94",38:43,11,4,6,5,5,1,6,7,2,25,34,27,32,9,pascal
2024-11-15,IND,,MIA,"L, 111-124",29:56,14,1,4,1,1,2,3,5,2,14,21,16,19,7,pascal
2024-11-17,IND,,MIA,"W, 119-110",35:15,11,2,3,3,3,0,4,4,3,23,30,26,27,7,pascal
2024-11-18,IND,@,TOR,"L, 119-130",38:59,20,1,3,6,8,6,4,10,5,25,40,30,35,15,pascal
2024-11-20,IND,@,HOU,"L, 113-130",31:21,14,1,1,4,5,1,3,4,0,21,25,21,25,4,pascal
2024-11-22,IND,@,MIL,"L, 117-129",33:51,16,1,5,6,8,1,7,8,1,25,34,26,33,9,pascal
2024-11-24,IND,,WAS,"W, 115-103",33:35,14,2,3,6,6,1,5,6,6,22,34,28,28,12,pascal
2024-11-25,IND,,NOP,"W, 114-110",36:56,13,1,4,1,1,2,5,7,7,14,28,21,21,14,pascal
2024-11-27,IND,,POR,"W, 121-114",38:12,20,2,5,3,4,2,5,7,4,29,40,33,36,11,pascal
2024-11-29,IND,,DET,"L, 106-130",34:39,19,1,6,2,2,2,7,9,2,21,32,23,30,11,pascal
2024-12-01,IND,@,MEM,"L, 121-136",30:03,15,1,5,2,2,1,1,2,6,17,25,23,19,8,pascal
