Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-17,LVA,@,NYL,L (-14),35:46,22,1,3,8,8,2,14,16,3,31,aja
2025-05-20,LVA,@,CON,W (+25),29:08,16,0,3,10,12,3,7,10,4,22,aja
2025-05-23,LVA,,WAS,W (+3),37:41,13,1,3,4,4,2,10,12,5,15,aja
2025-05-25,LVA,@,SEA,L (-20),28:05,11,0,1,5,6,0,5,5,4,15,aja
2025-05-30,LVA,,LAS,W (+15),35:45,18,1,3,10,10,3,10,13,6,35,aja
2025-06-01,LVA,@,SEA,W (+5),34:49,22,1,2,0,0,4,3,7,3,19,aja
2025-06-07,LVA,@,GSV,L (-27),26:44,13,0,1,7,8,1,5,6,2,17,aja
2025-06-11,LVA,,LAS,L (-8),27:55,12,0,1,9,10,2,6,8,5,13,aja
2025-06-20,LVA,,SEA,L (-7),34:13,11,0,0,8,13,1,13,14,2,20,aja
2025-06-22,LVA,,IND,W (+8),34:15,21,0,1,8,10,1,6,7,2,24,aja
2025-06-25,LVA,,CON,W (+26),27:20,16,0,0,6,7,1,7,8,4,22,aja
2025-06-26,LVA,,WAS,L (-11),32:22,18,0,2,6,7,0,5,5,2,22,aja
2025-06-29,LVA,@,PHO,W (+3),35:16,19,0,1,10,11,3,15,18,7,26,aja
2025-07-03,LVA,@,IND,L (-27),26:01,18,0,0,11,13,0,3,3,1,29,aja
2025-07-06,LVA,@,CON,W (+18),24:11,10,1,1,2,3,0,3,3,0,19,aja
2025-07-08,LVA,@,NYL,L (-9),14:08,3,0,1,2,2,0,4,4,2,2,aja
2025-07-12,LVA,,GSV,W (+2),33:00,16,1,1,9,12,5,11,16,4,34,aja
2025-07-16,LVA,@,DAL,W (+4),34:04,25,0,2,7,12,2,8,10,2,37,aja
2025-07-22,LVA,,ATL,W (+15),30:45,18,0,2,6,7,1,11,12,5,24,aja
2025-07-24,LVA,@,IND,L (-10),29:49,17,0,1,6,6,0,6,6,2,20,aja
2025-07-25,LVA,@,MIN,L (-31),24:10,11,0,0,5,6,3,4,7,3,15,aja
2025-07-27,LVA,@,DAL,W (+26),33:41,10,1,1,3,3,1,9,10,7,14,aja
2025-07-29,LVA,@,LAS,W (+15),29:46,23,1,1,1,1,3,7,10,4,34,aja
2025-08-02,LVA,,MIN,L (-53),21:41,11,1,1,1,2,1,4,5,2,10,aja
2025-08-03,LVA,,GSV,W (+24),28:56,17,1,4,1,2,6,8,14,2,14,aja
2025-08-06,LVA,@,GSV,W (+6),32:29,11,0,0,11,11,3,4,7,3,27,aja
2025-08-08,LVA,,SEA,W (+4),34:43,24,1,1,6,8,3,9,12,3,29,aja
2025-08-10,LVA,,CON,W (+8),36:41,25,0,1,6,6,7,13,20,5,32,aja
2025-08-13,LVA,,NYL,W (+6),34:18,14,0,1,11,11,6,10,16,4,17,aja
2025-08-15,LVA,@,PHO,W (+3),33:50,16,0,0,14,15,5,11,16,1,30,aja
2025-08-17,LVA,,DAL,W (+19),30:30,16,1,1,11,14,1,7,8,1,34,aja
2025-08-19,LVA,,ATL,W (+2),37:12,24,2,4,6,6,4,8,12,4,32,aja
2025-08-21,LVA,,PHO,W (+22),29:46,16,0,1,5,6,3,10,13,1,19,aja
2025-08-23,LVA,@,WAS,W (+10),32:47,22,1,2,7,8,3,10,13,1,36,aja
2025-08-25,LVA,@,CHI,W (+5),34:58,18,1,2,3,4,1,8,9,3,18,aja
2025-08-27,LVA,@,ATL,W (+6),34:54,21,2,3,6,8,0,9,9,1,34,aja
2025-09-04,LVA,,MIN,W (+10),34:59,15,1,1,6,7,1,7,8,2,31,aja
2025-09-07,LVA,,CHI,W (+14),32:06,20,2,2,5,5,3,8,11,2,31,aja
2025-09-09,LVA,,CHI,W (+31),25:24,7,1,1,4,4,1,4,5,4,11,aja
2025-09-11,LVA,@,LAS,W (+28),33:20,17,3,3,2,2,5,14,19,4,23,aja
