Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-17,LVA,@,NYL,L (-14),35:02,13,3,5,1,1,0,3,3,4,12,chelsea
2025-05-20,LVA,@,CON,W (+25),21:20,7,0,3,6,7,3,3,6,4,12,chelsea
2025-05-23,LVA,,WAS,W (+3),33:42,17,2,8,1,1,0,4,4,2,17,chelsea
2025-05-25,LVA,@,SEA,L (-20),24:40,7,1,3,3,4,1,1,2,3,8,chelsea
2025-05-30,LVA,,LAS,W (+15),31:54,11,4,7,3,3,1,3,4,4,15,chelsea
2025-06-01,LVA,@,SEA,W (+5),34:10,6,2,3,2,2,0,4,4,6,10,chelsea
2025-06-07,LVA,@,GSV,L (-27),27:01,11,2,4,0,0,1,2,3,1,16,chelsea
2025-06-11,LVA,,LAS,L (-8),36:04,13,6,11,8,9,0,1,1,1,28,chelsea
2025-06-13,LVA,,DAL,W (+4),28:25,8,0,3,7,7,2,2,4,5,13,chelsea
2025-06-15,LVA,,PHO,L (-6),37:34,17,1,6,3,3,1,9,10,4,20,chelsea
2025-06-17,LVA,@,MIN,L (-14),33:13,9,0,4,5,7,1,1,2,6,9,chelsea
2025-06-20,LVA,,SEA,L (-7),31:01,7,1,3,2,2,0,4,4,7,7,chelsea
2025-06-22,LVA,,IND,W (+8),34:31,12,2,5,0,0,1,2,3,3,18,chelsea
2025-06-25,LVA,,CON,W (+26),28:47,10,3,7,4,5,1,6,7,6,15,chelsea
2025-06-26,LVA,,WAS,L (-11),30:35,8,1,3,0,0,0,4,4,8,13,chelsea
2025-06-29,LVA,@,PHO,W (+3),34:56,11,1,5,4,4,0,5,5,5,9,chelsea
2025-07-03,LVA,@,IND,L (-27),22:52,3,0,2,0,0,0,3,3,2,2,chelsea
2025-07-06,LVA,@,CON,W (+18),20:15,5,2,3,0,0,1,1,2,8,6,chelsea
2025-07-08,LVA,@,NYL,L (-9),33:38,9,2,3,1,1,1,6,7,3,11,chelsea
2025-07-10,LVA,@,WAS,L (-2),29:29,10,1,2,0,0,1,6,7,3,13,chelsea
2025-07-12,LVA,,GSV,W (+2),33:27,7,1,3,1,1,0,3,3,6,6,chelsea
2025-07-16,LVA,@,DAL,W (+4),25:22,4,0,1,2,2,0,3,3,7,6,chelsea
2025-07-22,LVA,,ATL,W (+15),29:32,7,1,2,2,2,1,1,2,5,9,chelsea
2025-07-24,LVA,@,IND,L (-10),32:50,9,0,2,3,3,0,3,3,4,9,chelsea
2025-07-25,LVA,@,MIN,L (-31),22:06,7,1,3,0,0,1,1,2,0,9,chelsea
2025-07-27,LVA,@,DAL,W (+26),27:57,9,1,4,3,3,1,5,6,8,10,chelsea
2025-07-29,LVA,@,LAS,W (+15),35:10,5,1,4,2,2,0,3,3,8,5,chelsea
2025-08-02,LVA,,MIN,L (-53),20:39,6,1,3,0,0,0,2,2,4,3,chelsea
2025-08-03,LVA,,GSV,W (+24),29:56,8,1,4,2,2,2,3,5,6,11,chelsea
2025-08-06,LVA,@,GSV,W (+6),32:43,8,0,3,2,4,0,8,8,3,8,chelsea
2025-08-08,LVA,,SEA,W (+4),33:55,6,2,4,5,6,0,2,2,5,13,chelsea
2025-08-10,LVA,,CON,W (+8),30:50,5,1,3,2,4,0,2,2,6,7,chelsea
2025-08-13,LVA,,NYL,W (+6),39:00,11,1,5,2,2,0,1,1,5,13,chelsea
2025-08-15,LVA,@,PHO,W (+3),35:32,11,0,2,6,6,0,2,2,9,16,chelsea
2025-08-17,LVA,,DAL,W (+19),31:47,6,1,2,3,3,1,1,2,14,10,chelsea
2025-08-19,LVA,,ATL,W (+2),36:04,8,1,3,1,1,0,7,7,11,8,chelsea
2025-08-21,LVA,,PHO,W (+22),32:42,9,0,2,0,0,0,3,3,4,12,chelsea
2025-08-23,LVA,@,WAS,W (+10),34:22,3,0,0,3,4,0,6,6,8,5,chelsea
2025-08-25,LVA,@,CHI,W (+5),35:39,10,4,5,0,0,1,3,4,7,14,chelsea
2025-08-27,LVA,@,ATL,W (+6),32:39,11,3,5,1,1,0,3,3,5,14,chelsea
2025-09-04,LVA,,MIN,W (+10),33:49,13,1,5,2,2,0,2,2,10,13,chelsea
2025-09-07,LVA,,CHI,W (+14),32:06,9,3,6,0,0,0,5,5,4,13,chelsea
2025-09-09,LVA,,CHI,W (+31),28:31,10,2,5,0,0,1,5,6,5,10,chelsea
2025-09-11,LVA,@,LAS,W (+28),32:30,10,3,5,0,0,2,4,6,10,15,chelsea
