Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-17,LVA,@,NYL,L (-14),32:36,19,4,12,2,3,2,3,5,5,16,jackie
2025-05-20,LVA,@,CON,W (+25),23:52,9,2,2,4,5,0,3,3,2,16,jackie
2025-05-23,LVA,,WAS,W (+3),32:34,15,2,6,9,10,1,4,5,3,25,jackie
2025-05-25,LVA,@,SEA,L (-20),26:18,11,0,4,0,0,0,2,2,3,14,jackie
2025-05-30,LVA,,LAS,W (+15),36:27,22,3,8,1,2,0,1,1,3,26,jackie
2025-06-01,LVA,@,SEA,W (+5),32:02,9,1,4,3,4,0,4,4,1,12,jackie
2025-06-07,LVA,@,GSV,L (-27),26:59,8,0,3,2,2,0,3,3,3,4,jackie
2025-06-11,LVA,,LAS,L (-8),37:14,24,2,10,8,9,3,5,8,4,34,jackie
2025-06-13,LVA,,DAL,W (+4),33:09,16,3,8,11,11,3,2,5,3,28,jackie
2025-06-15,LVA,,PHO,L (-6),32:28,14,2,5,5,5,2,1,3,5,15,jackie
2025-06-17,LVA,@,MIN,L (-14),31:17,13,1,3,2,2,1,2,3,6,9,jackie
2025-06-20,LVA,,SEA,L (-7),31:27,13,4,6,2,2,2,2,4,5,22,jackie
2025-06-22,LVA,,IND,W (+8),27:01,15,0,3,7,7,4,3,7,7,19,jackie
2025-06-25,LVA,,CON,W (+26),25:30,12,3,7,3,3,3,5,8,1,20,jackie
2025-06-26,LVA,,WAS,L (-11),28:24,12,1,6,0,0,1,3,4,5,13,jackie
2025-06-29,LVA,@,PHO,W (+3),35:10,9,0,2,5,5,1,2,3,6,15,jackie
2025-07-03,LVA,@,IND,L (-27),25:07,9,1,3,1,2,0,1,1,1,6,jackie
2025-07-06,LVA,@,CON,W (+18),21:11,10,1,4,3,3,0,3,3,6,14,jackie
2025-07-08,LVA,@,NYL,L (-9),32:36,15,2,7,7,9,0,7,7,3,19,jackie
2025-07-10,LVA,@,WAS,L (-2),30:22,15,0,2,0,0,3,4,7,3,10,jackie
2025-07-12,LVA,,GSV,W (+2),30:55,14,1,4,11,11,1,2,3,6,30,jackie
2025-07-16,LVA,@,DAL,W (+4),25:00,3,0,0,0,0,0,2,2,6,2,jackie
2025-07-22,LVA,,ATL,W (+15),23:53,10,0,3,8,8,1,3,4,7,14,jackie
2025-07-24,LVA,@,IND,L (-10),31:31,14,1,4,2,2,1,2,3,3,19,jackie
2025-07-25,LVA,@,MIN,L (-31),26:51,9,2,4,4,4,0,3,3,5,14,jackie
2025-07-27,LVA,@,DAL,W (+26),31:27,11,5,7,3,3,2,1,3,8,24,jackie
2025-07-29,LVA,@,LAS,W (+15),33:40,17,2,7,0,0,2,9,11,11,18,jackie
2025-08-02,LVA,,MIN,L (-53),18:56,7,0,2,0,0,0,1,1,3,6,jackie
2025-08-03,LVA,,GSV,W (+24),29:59,12,3,6,3,3,3,2,5,8,20,jackie
2025-08-06,LVA,@,GSV,W (+6),36:42,13,1,7,3,4,0,2,2,4,14,jackie
2025-08-08,LVA,,SEA,W (+4),33:01,15,4,6,6,7,1,4,5,5,26,jackie
2025-08-10,LVA,,CON,W (+8),32:10,14,2,6,1,1,1,3,4,6,21,jackie
2025-08-13,LVA,,NYL,W (+6),34:25,13,1,5,4,5,3,4,7,4,15,jackie
2025-08-15,LVA,@,PHO,W (+3),33:03,13,2,5,1,1,2,5,7,5,17,jackie
2025-08-17,LVA,,DAL,W (+19),29:11,9,2,6,0,0,1,2,3,5,8,jackie
2025-08-19,LVA,,ATL,W (+2),35:55,14,1,6,1,2,3,4,7,2,16,jackie
2025-08-21,LVA,,PHO,W (+22),27:01,15,2,5,0,0,1,4,5,5,12,jackie
2025-08-23,LVA,@,WAS,W (+10),30:31,9,1,2,3,3,0,6,6,8,10,jackie
2025-08-25,LVA,@,CHI,W (+5),34:29,13,4,6,0,1,1,2,3,7,22,jackie
2025-08-27,LVA,@,ATL,W (+6),34:52,10,0,2,0,0,2,9,11,10,10,jackie
2025-09-04,LVA,,MIN,W (+10),32:30,12,4,6,0,0,0,2,2,5,20,jackie
2025-09-07,LVA,,CHI,W (+14),31:01,14,3,7,1,1,1,4,5,9,20,jackie
2025-09-09,LVA,,CHI,W (+31),26:43,7,2,3,1,2,0,3,3,7,15,jackie
2025-09-11,LVA,@,LAS,W (+28),31:00,11,5,10,0,0,0,5,5,12,17,jackie
