Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-17,LVA,@,NYL,L (-14),31:28,10,1,6,0,0,3,1,4,2,5,jewell
2025-05-20,LVA,@,CON,W (+25),20:45,14,6,9,0,0,0,5,5,0,20,jewell
2025-05-23,LVA,,WAS,W (+3),28:47,9,2,7,3,3,1,2,3,2,9,jewell
2025-05-25,LVA,@,SEA,L (-20),33:53,15,3,8,3,3,0,2,2,3,14,jewell
2025-05-30,LVA,,LAS,W (+15),33:00,8,1,2,0,2,0,6,6,4,3,jewell
2025-06-01,LVA,@,SEA,W (+5),28:24,6,2,4,2,3,1,6,7,4,10,jewell
2025-06-07,LVA,@,GSV,L (-27),25:54,6,0,3,3,5,3,3,6,1,5,jewell
2025-06-11,LVA,,LAS,L (-8),25:14,9,1,4,0,0,0,0,0,1,7,jewell
2025-06-13,LVA,,DAL,W (+4),28:09,13,5,8,2,2,1,2,3,2,21,jewell
2025-06-15,LVA,,PHO,L (-6),31:34,11,3,8,2,2,2,4,6,2,17,jewell
2025-06-17,LVA,@,MIN,L (-14),33:50,12,4,8,0,0,2,6,8,3,12,jewell
2025-06-20,LVA,,SEA,L (-7),34:10,11,3,4,2,2,1,2,3,4,15,jewell
2025-06-22,LVA,,IND,W (+8),34:14,11,0,4,0,0,1,4,5,5,10,jewell
2025-06-25,LVA,,CON,W (+26),26:38,9,3,6,0,0,4,3,7,2,13,jewell
2025-06-26,LVA,,WAS,L (-11),25:27,8,1,3,2,2,0,4,4,1,11,jewell
2025-06-29,LVA,@,PHO,W (+3),29:56,6,2,4,2,2,0,0,0,1,10,jewell
2025-07-03,LVA,@,IND,L (-27),30:28,3,0,1,2,2,3,1,4,2,2,jewell
2025-07-06,LVA,@,CON,W (+18),31:51,9,1,5,0,0,2,4,6,2,3,jewell
2025-07-08,LVA,@,NYL,L (-9),32:03,12,0,6,0,0,2,1,3,2,10,jewell
2025-07-10,LVA,@,WAS,L (-2),32:50,13,2,7,6,6,2,1,3,1,20,jewell
2025-07-12,LVA,,GSV,W (+2),31:26,11,3,8,4,4,1,1,2,1,15,jewell
2025-07-16,LVA,@,DAL,W (+4),29:50,11,1,4,3,4,3,5,8,2,14,jewell
2025-07-22,LVA,,ATL,W (+15),29:03,11,1,4,0,0,1,2,3,0,7,jewell
2025-07-24,LVA,@,IND,L (-10),26:38,7,1,3,1,2,1,1,2,0,8,jewell
2025-07-25,LVA,@,MIN,L (-31),20:53,10,0,4,0,0,3,0,3,1,0,jewell
2025-07-27,LVA,@,DAL,W (+26),19:24,11,4,9,4,4,0,1,1,2,20,jewell
2025-07-29,LVA,@,LAS,W (+15),24:03,9,2,7,0,0,1,0,1,0,8,jewell
2025-08-02,LVA,,MIN,L (-53),18:36,10,1,5,1,2,0,1,1,2,12,jewell
2025-08-03,LVA,,GSV,W (+24),25:49,13,7,11,4,4,1,2,3,1,27,jewell
2025-08-06,LVA,@,GSV,W (+6),31:15,10,3,7,1,2,2,1,3,2,14,jewell
2025-08-08,LVA,,SEA,W (+4),25:52,10,3,7,1,1,1,2,3,2,10,jewell
2025-08-10,LVA,,CON,W (+8),29:20,10,1,5,5,5,0,2,2,2,12,jewell
2025-08-13,LVA,,NYL,W (+6),26:16,12,5,9,2,4,0,2,2,1,21,jewell
2025-08-15,LVA,@,PHO,W (+3),29:02,9,2,5,0,0,1,0,1,2,10,jewell
2025-08-17,LVA,,DAL,W (+19),25:03,11,4,8,0,0,0,1,1,3,12,jewell
2025-08-19,LVA,,ATL,W (+2),29:27,7,1,3,0,0,0,1,1,2,7,jewell
2025-08-21,LVA,,PHO,W (+22),26:20,8,1,5,0,0,1,2,3,3,5,jewell
2025-08-23,LVA,@,WAS,W (+10),26:58,9,2,7,0,0,0,2,2,3,8,jewell
2025-08-25,LVA,@,CHI,W (+5),28:55,5,0,4,2,2,1,1,2,1,2,jewell
2025-08-27,LVA,@,ATL,W (+6),32:31,9,2,5,2,2,1,1,2,3,14,jewell
2025-09-04,LVA,,MIN,W (+10),24:41,5,2,4,0,0,2,3,5,3,6,jewell
2025-09-07,LVA,,CHI,W (+14),27:59,8,2,8,0,1,0,0,0,0,6,jewell
2025-09-09,LVA,,CHI,W (+31),30:01,9,5,7,0,0,1,2,3,1,15,jewell
2025-09-11,LVA,@,LAS,W (+28),27:07,17,7,16,0,0,0,3,3,0,21,jewell
