Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-16,DAL,,MIN,L (-15),17:35,4,0,0,2,4,1,3,4,0,6,nalyssa
2025-05-19,DAL,,SEA,L (-8),18:17,6,0,1,4,6,2,2,4,0,12,nalyssa
2025-05-21,DAL,@,MIN,L (-4),24:55,8,0,2,0,0,3,4,7,0,8,nalyssa
2025-05-24,DAL,@,ATL,L (-8),18:32,10,1,1,4,5,0,2,2,0,13,nalyssa
2025-05-27,DAL,@,CON,W (+22),16:33,2,0,0,0,0,0,3,3,4,2,nalyssa
2025-05-29,DAL,@,CHI,L (-5),14:36,3,0,0,0,0,0,0,0,0,2,nalyssa
2025-05-31,DAL,,CHI,L (-11),27:37,12,1,1,7,10,3,2,5,1,20,nalyssa
2025-06-03,DAL,@,SEA,L (-6),23:07,7,0,0,4,6,2,2,4,2,6,nalyssa
2025-06-06,DAL,,LAS,L (-14),6:41,2,0,0,0,0,2,0,2,0,0,nalyssa
2025-06-08,DAL,,MIN,L (-16),15:50,5,0,1,1,2,0,3,3,0,3,nalyssa
2025-06-11,DAL,@,PHO,L (-13),17:02,3,0,0,2,2,2,4,6,0,4,nalyssa
2025-06-13,DAL,@,LVA,L (-4),10:06,3,0,1,1,2,1,1,2,1,5,nalyssa
2025-06-17,DAL,,GSV,W (+9),16:55,6,0,0,0,0,2,8,10,1,6,nalyssa
2025-06-20,DAL,@,CON,W (+3),17:07,9,0,1,2,2,2,5,7,1,12,nalyssa
2025-06-22,DAL,@,WAS,L (-3),32:15,7,0,1,1,2,2,7,9,1,7,nalyssa
2025-06-24,DAL,,ATL,W (+13),17:48,6,0,1,0,2,2,2,4,0,4,nalyssa
2025-06-27,DAL,,IND,L (-8),25:57,8,0,1,1,3,4,6,10,2,7,nalyssa
2025-06-28,DAL,,WAS,W (+8),22:52,5,0,0,0,1,1,6,7,1,4,nalyssa
2025-07-03,LVA,@,IND,L (-27),23:05,6,0,0,2,2,3,4,7,0,4,nalyssa
2025-07-06,LVA,@,CON,W (+18),23:35,7,0,1,1,2,4,6,10,1,11,nalyssa
2025-07-08,LVA,@,NYL,L (-9),25:43,5,0,0,3,4,1,3,4,1,11,nalyssa
2025-07-10,LVA,@,WAS,L (-2),24:10,6,0,0,2,4,0,4,4,2,6,nalyssa
2025-07-12,LVA,,GSV,W (+2),9:26,1,0,0,0,0,0,0,0,1,2,nalyssa
2025-07-16,LVA,@,DAL,W (+4),23:04,7,0,0,3,4,4,4,8,1,7,nalyssa
2025-07-22,LVA,,ATL,W (+15),22:21,7,1,2,0,0,1,3,4,0,11,nalyssa
2025-07-24,LVA,@,IND,L (-10),26:23,8,0,1,2,4,3,7,10,2,10,nalyssa
2025-07-25,LVA,@,MIN,L (-31),22:57,5,0,0,2,4,0,5,5,0,8,nalyssa
2025-07-27,LVA,@,DAL,W (+26),22:31,10,0,0,1,3,5,2,7,0,11,nalyssa
2025-07-29,LVA,@,LAS,W (+15),17:39,5,0,0,2,2,4,1,5,0,8,nalyssa
2025-08-02,LVA,,MIN,L (-53),16:59,6,0,0,1,2,2,0,2,0,7,nalyssa
2025-08-03,LVA,,GSV,W (+24),16:26,2,1,1,1,2,1,4,5,1,4,nalyssa
2025-08-06,LVA,@,GSV,W (+6),25:57,5,0,1,0,2,4,5,9,0,8,nalyssa
2025-08-08,LVA,,SEA,W (+4),31:24,6,0,0,0,1,4,8,12,1,10,nalyssa
2025-08-10,LVA,,CON,W (+8),21:31,5,0,1,2,5,1,5,6,0,6,nalyssa
2025-08-13,LVA,,NYL,W (+6),26:14,2,0,0,4,6,2,4,6,0,6,nalyssa
2025-08-15,LVA,@,PHO,W (+3),25:51,7,0,1,1,2,1,8,9,0,7,nalyssa
2025-08-17,LVA,,DAL,W (+19),21:31,8,2,2,4,4,0,4,4,1,14,nalyssa
2025-08-19,LVA,,ATL,W (+2),26:16,3,1,1,0,0,0,1,1,1,5,nalyssa
2025-08-21,LVA,,PHO,W (+22),22:37,8,0,1,2,2,1,4,5,2,12,nalyssa
2025-08-23,LVA,@,WAS,W (+10),19:09,5,0,0,0,0,1,1,2,2,8,nalyssa
2025-08-25,LVA,@,CHI,W (+5),28:23,7,0,0,2,2,0,3,3,0,10,nalyssa
2025-08-27,LVA,@,ATL,W (+6),17:08,5,0,1,0,0,1,2,3,0,2,nalyssa
2025-09-04,LVA,,MIN,W (+10),25:56,8,0,0,0,0,0,4,4,0,10,nalyssa
2025-09-09,LVA,,CHI,W (+31),22:37,8,1,2,2,4,1,4,5,1,13,nalyssa
2025-09-11,LVA,@,LAS,W (+28),23:31,8,0,1,0,0,1,1,2,2,10,nalyssa
