Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,MEM,@,UTA,"W, 126-124",27:56,12,0,2,8,9,0,5,5,10,22,37,32,27,15,ja
2024-10-25,MEM,@,HOU,"L, 108-128",23:48,17,2,4,6,9,0,0,0,2,24,26,26,24,2,ja
2024-10-26,MEM,,ORL,"W, 124-111",24:45,12,0,6,8,8,0,2,2,10,16,28,26,18,12,ja
2024-10-30,MEM,,BRK,"L, 106-119",29:08,16,1,6,3,4,2,6,8,11,14,33,25,22,19,ja
2024-10-31,MEM,,MIL,"W, 122-99",28:54,16,2,5,6,7,1,9,10,14,26,50,40,36,24,ja
2024-11-02,MEM,@,PHI,"W, 124-107",31:24,13,0,2,6,8,0,6,6,12,18,36,30,24,18,ja
2024-11-04,MEM,@,BRK,"L, 104-106",32:34,22,1,3,4,4,1,4,5,9,25,39,34,30,14,ja
2024-11-06,MEM,,LAL,"W, 131-114",24:09,17,2,3,4,5,0,4,4,5,20,29,25,24,9,ja
2024-11-25,MEM,,POR,"W, 123-98",23:03,12,2,3,8,10,1,1,2,11,22,35,33,24,13,ja
2024-11-29,MEM,,NOP,"W, 120-109",28:33,18,0,4,7,7,0,3,3,7,27,37,34,30,10,ja
2024-12-01,MEM,,IND,"W, 136-121",26:48,13,2,7,5,6,0,2,2,8,19,29,27,21,10,ja
2024-12-03,MEM,@,DAL,"L, 116-121",31:26,22,3,6,6,7,0,2,2,4,31,37,35,33,6,ja
2024-12-05,MEM,,SAC,"W, 115-110",27:49,13,0,6,4,4,2,1,3,7,8,18,15,11,10,ja
2024-12-07,MEM,@,BOS,"W, 127-121",34:04,20,4,6,6,7,1,8,9,9,32,50,41,41,18,ja
2024-12-13,MEM,,BRK,"W, 135-119",32:05,19,3,6,5,8,2,5,7,10,28,45,38,35,17,ja
2024-12-15,MEM,@,LAL,"L, 110-116",31:11,21,2,7,6,8,2,5,7,6,20,33,26,27,13,ja
2024-12-19,MEM,,GSW,"W, 144-93",17:25,9,1,5,0,0,1,2,3,3,9,15,12,12,6,ja
2024-12-23,MEM,,LAC,"L, 110-114",29:29,20,2,8,7,8,0,6,6,4,23,33,27,29,10,ja
2024-12-26,MEM,,TOR,"W, 155-126",24:07,10,1,3,4,4,0,2,2,9,15,26,24,17,11,ja
2024-12-27,MEM,@,NOP,"W, 132-124",24:50,11,3,4,6,7,0,2,2,7,25,34,32,27,9,ja
2025-01-09,MEM,,HOU,"L, 115-119",29:09,22,1,5,8,11,1,2,3,3,27,33,30,30,6,ja
2025-01-11,MEM,@,MIN,"W, 127-125",30:05,19,0,4,2,2,2,3,5,4,12,21,16,17,9,ja
2025-01-13,MEM,@,HOU,"L, 118-120",37:08,24,4,11,3,6,0,3,3,4,29,36,33,32,7,ja
2025-01-15,MEM,@,SAS,"W, 129-115",31:24,13,1,2,2,2,0,4,4,12,21,37,33,25,16,ja
2025-01-20,MEM,,MIN,"W, 108-106",30:01,16,0,4,9,13,0,4,4,7,19,30,26,23,11,ja
2025-01-22,MEM,,CHO,"W, 132-120",31:56,9,2,5,4,4,0,4,4,13,16,33,29,20,17,ja
2025-01-25,MEM,,UTA,"W, 125-103",25:42,9,2,6,1,2,1,0,1,7,11,19,18,12,8,ja
2025-01-27,MEM,@,NYK,"L, 106-143",27:18,13,0,1,0,0,1,4,5,2,10,17,12,15,7,ja
2025-02-03,MEM,,SAS,"W, 128-109",29:07,18,4,6,3,3,1,2,3,11,25,39,36,28,14,ja
2025-02-05,MEM,@,TOR,"W, 138-107",25:29,14,3,7,5,6,0,5,5,4,26,35,30,31,9,ja
2025-02-08,MEM,,OKC,"L, 112-125",36:00,19,2,4,2,4,1,4,5,7,16,28,23,21,12,ja
2025-02-11,MEM,@,PHO,"W, 119-112",33:18,19,0,5,10,12,1,6,7,6,26,39,32,33,13,ja
2025-02-20,MEM,@,IND,"L, 113-127",30:20,15,0,3,4,5,0,0,0,6,12,18,18,12,6,ja
2025-02-21,MEM,@,ORL,"W, 105-104",33:21,24,1,7,2,2,1,3,4,5,23,32,28,27,9,ja
2025-02-23,MEM,@,CLE,"L, 123-129",34:17,13,2,4,7,7,0,2,2,10,21,33,31,23,12,ja
2025-02-25,MEM,,PHO,"W, 151-148 (OT)",37:22,25,1,12,14,14,0,4,4,8,29,41,37,33,12,ja
