Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-26,MEM,,ORL,"W, 124-111",22:33,10,0,2,5,9,1,3,4,1,13,18,14,17,5,jaren
2024-10-28,MEM,,CHI,"L, 123-126",24:28,16,1,4,0,2,2,4,6,1,19,26,20,25,7,jaren
2024-10-30,MEM,,BRK,"L, 106-119",28:18,12,3,3,7,10,0,4,4,0,30,34,30,34,4,jaren
2024-10-31,MEM,,MIL,"W, 122-99",26:09,12,0,4,3,3,0,5,5,2,13,20,15,18,7,jaren
2024-11-02,MEM,@,PHI,"W, 124-107",31:00,16,2,3,3,4,2,4,6,0,27,33,27,33,6,jaren
2024-11-04,MEM,@,BRK,"L, 104-106",32:26,11,3,5,2,2,2,3,5,1,15,21,16,20,6,jaren
2024-11-06,MEM,,LAL,"W, 131-114",32:06,13,1,4,3,3,1,5,6,1,20,27,21,26,7,jaren
2024-11-08,MEM,,WAS,"W, 128-104",28:20,28,5,12,6,7,2,4,6,1,39,46,40,45,7,jaren
2024-11-10,MEM,@,POR,"W, 134-89",23:34,12,3,7,5,6,0,7,7,2,20,29,22,27,9,jaren
2024-11-13,MEM,@,LAL,"L, 123-128",33:17,20,2,7,7,8,1,6,7,1,29,37,30,36,8,jaren
2024-11-15,MEM,@,GSW,"L, 118-123",32:53,20,0,4,10,11,1,5,6,1,32,39,33,38,7,jaren
2024-11-17,MEM,,DEN,"W, 105-90",30:50,16,2,5,4,4,2,4,6,2,20,28,22,26,8,jaren
2024-11-19,MEM,,DEN,"L, 110-122",28:42,17,2,8,3,5,2,6,8,1,19,28,20,27,9,jaren
2024-11-20,MEM,,PHI,"W, 117-111",30:27,15,2,5,7,7,2,2,4,1,25,30,26,29,5,jaren
2024-11-23,MEM,@,CHI,"W, 142-131",26:06,15,3,7,6,8,2,2,4,4,23,31,27,27,8,jaren
2024-11-25,MEM,,POR,"W, 123-98",28:28,12,2,2,3,3,2,4,6,1,21,28,22,27,7,jaren
2024-11-27,MEM,,DET,"W, 131-111",22:14,16,0,7,2,3,3,3,6,2,12,20,14,18,8,jaren
2024-11-29,MEM,,NOP,"W, 120-109",28:17,18,0,5,5,5,3,5,8,1,23,32,24,31,9,jaren
2024-12-01,MEM,,IND,"W, 136-121",29:20,14,3,6,6,6,0,8,8,0,25,33,25,33,8,jaren
2024-12-03,MEM,@,DAL,"L, 116-121",29:22,14,2,7,4,4,0,7,7,2,16,25,18,23,9,jaren
2024-12-05,MEM,,SAC,"W, 115-110",25:19,9,0,1,5,5,0,2,2,2,15,19,17,17,4,jaren
2024-12-07,MEM,@,BOS,"W, 127-121",34:01,19,3,4,2,4,1,8,9,1,27,37,28,36,10,jaren
2024-12-08,MEM,@,WAS,"W, 140-112",16:46,15,3,8,2,4,1,3,4,1,21,26,22,25,5,jaren
2024-12-13,MEM,,BRK,"W, 135-119",32:22,17,3,6,3,4,2,5,7,2,20,29,22,27,9,jaren
2024-12-15,MEM,@,LAL,"L, 110-116",29:04,13,2,3,5,6,1,4,5,2,25,32,27,30,7,jaren
2024-12-19,MEM,,GSW,"W, 144-93",19:36,10,1,2,6,6,1,5,6,5,17,28,22,23,11,jaren
2024-12-21,MEM,@,ATL,"W, 128-112",25:15,17,1,5,0,0,0,5,5,1,13,19,14,18,6,jaren
2024-12-23,MEM,,LAC,"L, 110-114",29:56,26,1,7,5,9,1,5,6,3,24,33,27,30,9,jaren
2024-12-26,MEM,,TOR,"W, 155-126",31:58,17,1,3,2,2,4,7,11,6,21,38,27,32,17,jaren
2024-12-27,MEM,@,NOP,"W, 132-124",35:10,21,4,6,7,7,2,3,5,3,33,41,36,38,8,jaren
2024-12-29,MEM,@,OKC,"L, 106-130",25:21,17,0,6,7,8,2,3,5,4,13,22,17,18,9,jaren
2024-12-31,MEM,@,PHO,"W, 117-112",37:54,24,4,9,10,17,2,10,12,4,38,54,42,50,16,jaren
2025-01-03,MEM,@,SAC,"L, 133-138",34:02,21,3,9,7,10,0,6,6,5,28,39,33,34,11,jaren
2025-01-04,MEM,@,GSW,"L, 113-121",36:02,21,0,3,1,1,1,8,9,2,23,34,25,32,11,jaren
2025-01-06,MEM,,DAL,"W, 119-104",34:11,23,1,2,8,12,5,8,13,5,35,53,40,48,18,jaren
2025-01-09,MEM,,HOU,"L, 115-119",34:03,15,1,4,2,3,2,6,8,4,21,33,25,29,12,jaren
2025-01-11,MEM,@,MIN,"W, 127-125",33:56,24,2,5,5,7,4,4,8,1,33,42,34,41,9,jaren
2025-01-13,MEM,@,HOU,"L, 118-120",30:05,11,1,3,4,6,0,2,2,3,17,22,20,19,5,jaren
2025-01-15,MEM,@,SAS,"W, 129-115",30:56,24,2,8,1,2,2,4,6,2,19,27,21,25,8,jaren
2025-01-17,MEM,@,SAS,"W, 140-112",25:51,20,3,8,0,0,0,2,2,4,19,25,23,21,6,jaren
2025-01-20,MEM,,MIN,"W, 108-106",31:59,18,0,3,6,7,2,9,11,0,24,35,24,35,11,jaren
2025-01-22,MEM,,CHO,"W, 132-120",30:10,18,1,5,3,3,2,4,6,1,22,29,23,28,7,jaren
2025-01-24,MEM,,NOP,"W, 139-126",32:25,16,5,9,4,4,1,4,5,7,29,41,36,34,12,jaren
2025-01-25,MEM,,UTA,"W, 125-103",30:06,14,2,4,6,9,2,1,3,2,28,33,30,31,5,jaren
2025-01-27,MEM,@,NYK,"L, 106-143",33:15,14,3,4,2,2,1,3,4,0,21,25,21,25,4,jaren
2025-01-30,MEM,,HOU,"W, 120-119",30:59,15,1,4,6,7,0,4,4,4,21,29,25,25,8,jaren
2025-02-02,MEM,@,MIL,"W, 132-119",33:11,26,7,13,6,10,0,5,5,2,37,44,39,42,7,jaren
2025-02-03,MEM,,SAS,"W, 128-109",30:52,21,3,9,8,9,1,5,6,3,31,40,34,37,9,jaren
2025-02-05,MEM,@,TOR,"W, 138-107",28:04,16,4,5,8,9,3,2,5,4,32,41,36,37,9,jaren
2025-02-08,MEM,,OKC,"L, 112-125",35:06,14,2,3,3,6,0,3,3,2,19,24,21,22,5,jaren
2025-02-11,MEM,@,PHO,"W, 119-112",34:02,17,0,5,5,8,3,3,6,1,17,24,18,23,7,jaren
2025-02-12,MEM,@,LAC,"L, 114-128",27:07,12,0,2,3,5,1,5,6,2,13,21,15,19,8,jaren
2025-02-20,MEM,@,IND,"L, 113-127",29:55,14,1,2,3,4,0,7,7,4,18,29,22,25,11,jaren
2025-02-21,MEM,@,ORL,"W, 105-104",26:53,13,0,6,10,11,0,4,4,1,16,21,17,20,5,jaren
2025-02-23,MEM,@,CLE,"L, 123-129",25:27,18,1,5,3,6,0,3,3,4,22,29,26,25,7,jaren
2025-02-25,MEM,,PHO,"W, 151-148 (OT)",31:48,13,3,3,3,5,1,5,6,1,28,35,29,34,7,jaren
2025-02-28,MEM,,NYK,"L, 113-114",33:54,16,1,5,5,6,1,6,7,1,18,26,19,25,8,jaren
2025-03-01,MEM,,SAS,"L, 128-130",34:48,25,5,8,7,8,1,3,4,2,42,48,44,46,6,jaren
2025-03-03,MEM,,ATL,"L, 130-132",01:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jaren
2025-03-14,MEM,,CLE,"L, 124-133",28:27,10,3,5,2,2,0,3,3,0,13,16,13,16,3,jaren
2025-03-15,MEM,,MIA,"W, 125-91",32:57,18,1,4,4,4,1,5,6,1,31,38,32,37,7,jaren
2025-03-17,MEM,@,SAC,"L, 122-132",31:07,11,0,2,2,2,0,3,3,3,12,18,15,15,6,jaren
2025-03-19,MEM,@,POR,"L, 99-115",28:30,18,2,5,2,2,0,5,5,2,14,21,16,19,7,jaren
2025-03-21,MEM,@,LAC,"L, 108-128",35:12,24,3,9,2,4,0,2,2,1,23,26,24,25,3,jaren
2025-03-25,MEM,@,UTA,"W, 140-103",22:52,12,2,3,1,2,1,2,3,1,19,23,20,22,4,jaren
2025-03-27,MEM,@,OKC,"L, 104-125",30:43,21,5,7,4,4,1,1,2,4,27,33,31,29,6,jaren
2025-03-29,MEM,,LAL,"L, 127-134",28:31,13,3,4,5,6,0,4,4,1,24,29,25,28,5,jaren
2025-03-31,MEM,,BOS,"L, 103-117",32:44,16,3,6,1,2,0,15,15,1,20,36,21,35,16,jaren
2025-04-01,MEM,,GSW,"L, 125-134",30:59,20,2,9,6,6,2,5,7,1,22,30,23,29,8,jaren
2025-04-03,MEM,@,MIA,"W, 110-108",36:46,11,3,5,0,1,1,3,4,1,13,18,14,17,5,jaren
2025-04-05,MEM,@,DET,"W, 109-103",35:08,23,1,6,8,11,4,7,11,2,27,40,29,38,13,jaren
2025-04-08,MEM,@,CHO,"W, 124-100",26:34,10,1,6,7,7,2,3,5,1,14,20,15,19,6,jaren
2025-04-10,MEM,,MIN,"L, 125-141",37:13,18,4,7,3,3,1,0,1,1,23,25,24,24,2,jaren
2025-04-11,MEM,@,DEN,"L, 109-117",36:55,17,2,7,0,0,0,1,1,2,18,21,20,19,3,jaren
