Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,MEM,@,UTA,"W, 126-124",23:27,6,2,5,0,2,0,0,0,1,6,7,7,6,1,jaylen
2024-10-25,MEM,@,HOU,"L, 108-128",21:07,14,1,5,1,2,2,2,4,0,8,12,8,12,4,jaylen
2024-10-26,MEM,,ORL,"W, 124-111",17:34,6,1,1,2,2,1,1,2,2,7,11,9,9,4,jaylen
2024-10-28,MEM,,CHI,"L, 123-126",17:25,12,1,4,0,0,2,4,6,2,11,19,13,17,8,jaylen
2024-10-30,MEM,,BRK,"L, 106-119",22:58,7,2,6,1,2,0,1,1,4,9,14,13,10,5,jaylen
2024-10-31,MEM,,MIL,"W, 122-99",35:37,9,3,6,3,3,1,6,7,1,16,24,17,23,8,jaylen
2024-11-02,MEM,@,PHI,"W, 124-107",36:14,11,2,4,1,1,2,3,5,2,15,22,17,20,7,jaylen
2024-11-04,MEM,@,BRK,"L, 104-106",33:01,12,0,5,0,0,1,4,5,3,6,14,9,11,8,jaylen
2024-11-06,MEM,,LAL,"W, 131-114",28:02,10,5,7,1,2,0,3,3,1,20,24,21,23,4,jaylen
2024-11-08,MEM,,WAS,"W, 128-104",24:51,10,1,4,2,3,0,0,0,1,11,12,12,11,1,jaylen
2024-11-10,MEM,@,POR,"W, 134-89",23:46,9,2,4,4,4,0,3,3,1,16,20,17,19,4,jaylen
2024-11-13,MEM,@,LAL,"L, 123-128",27:16,8,0,3,1,1,0,3,3,2,9,14,11,12,5,jaylen
2024-11-15,MEM,@,GSW,"L, 118-123",27:13,10,2,6,4,5,3,1,4,2,16,22,18,20,6,jaylen
2024-11-17,MEM,,DEN,"W, 105-90",26:01,15,2,5,1,1,0,1,1,0,15,16,15,16,1,jaylen
2024-11-19,MEM,,DEN,"L, 110-122",19:18,9,1,3,1,2,2,1,3,2,8,13,10,11,5,jaylen
2024-11-20,MEM,,PHI,"W, 117-111",29:24,8,2,4,2,2,0,2,2,1,14,17,15,16,3,jaylen
2024-11-23,MEM,@,CHI,"W, 142-131",31:37,14,6,10,0,0,1,3,4,6,26,36,32,30,10,jaylen
2024-11-25,MEM,,POR,"W, 123-98",15:55,6,1,4,0,0,0,4,4,1,5,10,6,9,5,jaylen
2024-11-27,MEM,,DET,"W, 131-111",23:57,11,3,9,2,2,1,1,2,3,13,18,16,15,5,jaylen
2024-11-29,MEM,,NOP,"W, 120-109",21:52,9,2,4,1,1,2,4,6,3,13,22,16,19,9,jaylen
2024-12-01,MEM,,IND,"W, 136-121",25:40,9,3,7,0,0,1,5,6,1,13,20,14,19,7,jaylen
2024-12-03,MEM,@,DAL,"L, 116-121",21:52,9,2,7,0,0,2,1,3,2,10,15,12,13,5,jaylen
2024-12-05,MEM,,SAC,"W, 115-110",18:26,5,1,3,5,6,1,5,6,0,10,16,10,16,6,jaylen
2024-12-07,MEM,@,BOS,"W, 127-121",18:20,6,1,4,0,0,1,0,1,0,7,8,7,8,1,jaylen
2024-12-08,MEM,@,WAS,"W, 140-112",29:47,3,0,0,4,4,1,1,2,2,4,8,6,6,4,jaylen
2024-12-13,MEM,,BRK,"W, 135-119",24:35,8,2,3,0,0,1,4,5,3,12,20,15,17,8,jaylen
2024-12-15,MEM,@,LAL,"L, 110-116",17:40,8,0,0,2,2,0,0,0,0,8,8,8,8,0,jaylen
2024-12-19,MEM,,GSW,"W, 144-93",19:48,6,3,4,0,0,1,3,4,1,13,18,14,17,5,jaylen
2024-12-21,MEM,@,ATL,"W, 128-112",25:43,12,1,4,0,0,2,1,3,2,13,18,15,16,5,jaylen
2024-12-23,MEM,,LAC,"L, 110-114",27:57,5,1,4,2,2,2,1,3,2,7,12,9,10,5,jaylen
2024-12-26,MEM,,TOR,"W, 155-126",23:46,12,5,10,0,0,0,1,1,1,17,19,18,18,2,jaylen
2024-12-27,MEM,@,NOP,"W, 132-124",32:26,10,1,6,3,4,0,2,2,2,10,14,12,12,4,jaylen
2024-12-29,MEM,@,OKC,"L, 106-130",25:14,12,0,7,0,0,1,1,2,1,4,7,5,6,3,jaylen
2024-12-31,MEM,@,PHO,"W, 117-112",31:44,12,2,8,3,4,3,3,6,2,11,19,13,17,8,jaylen
2025-01-03,MEM,@,SAC,"L, 133-138",36:08,16,8,9,0,0,3,2,5,2,30,37,32,35,7,jaylen
2025-01-04,MEM,@,GSW,"L, 113-121",35:18,13,0,5,0,0,2,4,6,4,8,18,12,14,10,jaylen
2025-01-06,MEM,,DAL,"W, 119-104",34:55,11,1,5,10,11,2,9,11,1,17,29,18,28,12,jaylen
2025-01-09,MEM,,HOU,"L, 115-119",22:57,5,0,3,2,2,1,2,3,1,4,8,5,7,4,jaylen
2025-01-11,MEM,@,MIN,"W, 127-125",31:11,13,3,9,2,3,1,1,2,2,13,17,15,15,4,jaylen
2025-01-13,MEM,@,HOU,"L, 118-120",30:02,8,3,4,1,2,0,0,0,0,14,14,14,14,0,jaylen
2025-01-15,MEM,@,SAS,"W, 129-115",21:23,7,1,5,2,2,0,1,1,0,5,6,5,6,1,jaylen
2025-01-17,MEM,@,SAS,"W, 140-112",35:11,11,6,8,0,0,1,2,3,2,22,27,24,25,5,jaylen
2025-01-20,MEM,,MIN,"W, 108-106",29:19,9,2,6,3,3,1,1,2,1,13,16,14,15,3,jaylen
2025-01-22,MEM,,CHO,"W, 132-120",26:04,10,3,7,2,2,3,0,3,2,13,18,15,16,5,jaylen
2025-01-24,MEM,,NOP,"W, 139-126",29:38,7,2,4,0,0,0,0,0,5,8,13,13,8,5,jaylen
2025-01-25,MEM,,UTA,"W, 125-103",28:38,8,2,4,4,4,1,3,4,0,16,20,16,20,4,jaylen
2025-01-27,MEM,@,NYK,"L, 106-143",16:44,6,1,5,2,2,2,1,3,2,5,10,7,8,5,jaylen
2025-01-30,MEM,,HOU,"W, 120-119",30:03,7,1,3,0,0,0,3,3,3,11,17,14,14,6,jaylen
