Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,MEM,@,UTA,"W, 126-124",31:26,16,5,10,2,2,2,3,5,2,27,34,29,32,7,santi
2024-10-25,MEM,@,HOU,"L, 108-128",22:22,2,0,1,2,2,0,5,5,3,2,10,5,7,8,santi
2024-10-26,MEM,,ORL,"W, 124-111",27:39,12,4,6,0,0,0,7,7,5,22,34,27,29,12,santi
2024-10-28,MEM,,CHI,"L, 123-126",35:01,13,1,5,0,0,4,9,13,7,11,31,18,24,20,santi
2024-10-30,MEM,,BRK,"L, 106-119",22:03,5,0,2,0,0,0,3,3,0,2,5,2,5,3,santi
2024-10-31,MEM,,MIL,"W, 122-99",33:06,14,1,4,4,4,2,7,9,2,19,30,21,28,11,santi
2024-11-02,MEM,@,PHI,"W, 124-107",34:49,12,0,5,0,0,1,12,13,4,10,27,14,23,17,santi
2024-11-04,MEM,@,BRK,"L, 104-106",31:17,12,0,6,1,1,2,4,6,5,9,20,14,15,11,santi
2024-11-06,MEM,,LAL,"W, 131-114",31:20,10,1,5,2,2,3,9,12,3,11,26,14,23,15,santi
2024-11-08,MEM,,WAS,"W, 128-104",32:28,13,0,5,2,2,1,4,5,4,12,21,16,17,9,santi
2024-11-10,MEM,@,POR,"W, 134-89",29:57,11,2,4,0,0,1,5,6,6,16,28,22,22,12,santi
2024-11-13,MEM,@,LAL,"L, 123-128",29:27,14,2,7,1,2,3,4,7,5,15,27,20,22,12,santi
2024-11-15,MEM,@,GSW,"L, 118-123",15:59,8,0,3,0,0,2,1,3,0,4,7,4,7,3,santi
2024-11-17,MEM,,DEN,"W, 105-90",19:32,6,0,3,0,0,0,2,2,2,6,10,8,8,4,santi
2024-11-19,MEM,,DEN,"L, 110-122",33:16,19,4,7,0,1,2,9,11,0,28,39,28,39,11,santi
2024-11-20,MEM,,PHI,"W, 117-111",26:54,9,2,3,2,2,1,5,6,6,12,24,18,18,12,santi
2024-11-23,MEM,@,CHI,"W, 142-131",23:36,10,1,4,1,2,3,7,10,5,10,25,15,20,15,santi
2024-11-25,MEM,,POR,"W, 123-98",22:01,12,1,1,0,1,7,10,17,2,13,32,15,30,19,santi
2024-11-27,MEM,,DET,"W, 131-111",22:31,7,1,3,0,0,1,5,6,1,9,16,10,15,7,santi
2024-11-29,MEM,,NOP,"W, 120-109",27:18,9,3,3,1,2,0,6,6,4,20,30,24,26,10,santi
2024-12-01,MEM,,IND,"W, 136-121",25:10,9,3,5,0,0,1,3,4,6,15,25,21,19,10,santi
2024-12-03,MEM,@,DAL,"L, 116-121",28:42,8,1,2,0,0,2,6,8,3,15,26,18,23,11,santi
