Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-18,MIN,@,LAS,W (+14),16:35,10,4,7,0,0,0,3,3,3,18,alanna
2025-05-21,MIN,,DAL,W (+4),29:27,9,3,7,0,2,1,5,6,2,13,alanna
2025-05-23,MIN,,CON,W (+6),14:38,2,0,0,0,2,0,0,0,2,2,alanna
2025-05-27,MIN,,SEA,W (+5),27:54,11,2,3,0,1,1,6,7,3,16,alanna
2025-05-30,MIN,@,PHO,W (+3),33:46,15,2,6,1,2,2,2,4,0,19,alanna
2025-06-01,MIN,@,GSV,W (+11),26:24,1,0,1,0,0,2,2,4,2,0,alanna
2025-06-03,MIN,,PHO,W (+23),25:03,6,3,4,0,0,0,3,3,6,13,alanna
2025-06-08,MIN,@,DAL,W (+16),32:20,9,0,5,0,2,2,5,7,6,4,alanna
2025-06-11,MIN,@,SEA,L (-10),37:25,10,1,3,1,1,1,5,6,1,14,alanna
2025-06-14,MIN,,LAS,W (+23),21:42,3,1,2,0,0,0,3,3,2,3,alanna
2025-06-17,MIN,,LVA,W (+14),31:18,8,0,2,2,4,7,6,13,3,10,alanna
2025-06-21,MIN,,LAS,W (+16),29:13,5,1,3,1,4,0,8,8,3,6,alanna
2025-06-24,MIN,@,WAS,L (-4),29:43,17,2,6,6,7,1,4,5,2,26,alanna
2025-06-27,MIN,@,ATL,W (+4),30:25,10,1,5,0,0,3,5,8,4,9,alanna
2025-06-29,MIN,,CON,W (+39),21:11,8,0,3,3,4,2,5,7,2,9,alanna
2025-07-03,MIN,,WAS,W (+17),28:04,14,2,8,0,0,0,4,4,4,10,alanna
2025-07-05,MIN,,GSV,W (+11),18:48,6,1,3,0,0,3,2,5,6,5,alanna
2025-07-06,MIN,,CHI,W (+5),24:26,7,0,3,0,0,1,1,2,1,4,alanna
2025-07-09,MIN,@,PHO,L (-8),28:56,5,0,3,0,0,2,7,9,1,2,alanna
2025-07-10,MIN,@,LAS,W (+9),22:57,7,3,4,0,1,3,2,5,0,15,alanna
2025-07-12,MIN,@,CHI,L (-6),34:22,10,0,6,0,1,2,3,5,4,8,alanna
2025-07-14,MIN,@,CHI,W (+13),24:43,5,0,2,0,2,2,5,7,5,4,alanna
2025-07-16,MIN,,PHO,W (+13),21:58,6,3,4,0,1,2,3,5,3,11,alanna
2025-07-22,MIN,,CHI,W (+23),26:43,7,2,6,2,2,1,3,4,2,10,alanna
2025-07-25,MIN,,LVA,W (+31),18:35,4,0,3,2,6,3,3,6,4,4,alanna
2025-07-27,MIN,,ATL,L (-4),31:14,10,1,4,1,2,1,2,3,2,12,alanna
2025-07-30,MIN,,NYL,W (+7),30:27,7,2,4,0,0,1,4,5,3,12,alanna
2025-08-02,MIN,@,LVA,W (+53),15:18,6,1,4,0,1,4,2,6,3,7,alanna
2025-08-05,MIN,@,SEA,W (+4),22:30,10,1,5,1,4,2,2,4,2,6,alanna
2025-08-08,MIN,,WAS,W (+4),36:17,15,4,9,1,2,1,4,5,4,25,alanna
2025-08-10,MIN,@,NYL,W (+12),37:45,6,2,3,0,0,1,8,9,7,8,alanna
2025-08-16,MIN,,NYL,W (+6),35:03,11,0,2,2,2,3,4,7,2,14,alanna
2025-08-19,MIN,@,NYL,L (-10),32:03,6,0,2,1,1,1,8,9,2,5,alanna
2025-08-21,MIN,@,ATL,L (-2),36:40,7,2,2,0,0,1,5,6,1,10,alanna
2025-08-22,MIN,@,IND,W (+5),25:11,6,2,4,0,2,2,1,3,5,8,alanna
2025-08-24,MIN,,IND,W (+13),24:06,7,0,1,2,2,1,2,3,2,8,alanna
2025-08-28,MIN,,SEA,L (-14),23:38,7,1,4,1,1,1,4,5,3,8,alanna
2025-08-30,MIN,@,CON,W (+24),24:54,10,4,6,0,2,0,1,1,1,18,alanna
2025-09-01,MIN,,DAL,W (+25),20:15,3,0,1,0,0,2,2,4,4,4,alanna
2025-09-04,MIN,@,LVA,L (-10),23:54,11,1,4,0,0,0,4,4,2,13,alanna
2025-09-09,MIN,@,IND,L (-11),19:34,9,1,4,4,4,2,1,3,4,11,alanna
2025-09-11,MIN,,GSV,W (+19),18:20,4,0,3,0,0,1,0,1,3,0,alanna
