Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,MIN,@,LAL,"L, 103-110",41:04,25,5,13,2,3,0,6,6,3,27,36,30,33,9,anthony
2024-10-24,MIN,@,SAC,"W, 117-115",39:12,24,5,15,7,7,1,6,7,4,32,43,36,39,11,anthony
2024-10-26,MIN,,TOR,"W, 112-101",39:11,21,5,12,1,3,0,6,6,4,24,34,28,30,10,anthony
2024-10-29,MIN,,DAL,"L, 114-120",37:20,20,7,13,6,12,0,6,6,3,37,46,40,43,9,anthony
2024-11-01,MIN,,DEN,"W, 119-116",38:18,23,7,14,0,0,0,4,4,4,29,37,33,33,8,anthony
2024-11-02,MIN,@,SAS,"L, 103-113",35:33,17,3,7,2,4,0,5,5,2,21,28,23,26,7,anthony
2024-11-04,MIN,,CHO,"W, 114-93",29:05,11,4,6,5,7,0,5,5,1,21,27,22,26,6,anthony
2024-11-07,MIN,@,CHI,"W, 135-119",34:49,23,5,9,2,2,3,5,8,6,33,47,39,41,14,anthony
2024-11-08,MIN,,POR,"W, 127-102",30:07,21,9,15,4,5,0,6,6,5,37,48,42,43,11,anthony
2024-11-10,MIN,,MIA,"L, 94-95",37:16,24,4,14,2,3,1,4,5,6,22,33,28,27,11,anthony
2024-11-12,MIN,@,POR,"L, 108-122",37:01,19,4,10,6,6,0,0,0,3,26,29,29,26,3,anthony
2024-11-13,MIN,@,POR,"L, 98-106",40:08,25,0,9,4,4,0,4,4,4,24,32,28,28,8,anthony
2024-11-15,MIN,@,SAC,"W, 130-126 (OT)",41:56,27,6,14,2,2,1,4,5,2,36,43,38,41,7,anthony
2024-11-17,MIN,,PHO,"W, 120-117",38:50,14,3,7,3,3,0,4,4,6,24,34,30,28,10,anthony
2024-11-21,MIN,@,TOR,"L, 105-110",36:01,20,5,9,3,3,1,2,3,2,26,31,28,29,5,anthony
2024-11-24,MIN,@,BOS,"L, 105-107",39:17,21,6,11,4,4,0,9,9,7,28,44,35,37,16,anthony
2024-11-26,MIN,,HOU,"L, 111-117 (OT)",43:15,22,3,12,10,10,3,7,10,1,29,40,30,39,11,anthony
2024-11-27,MIN,,SAC,"L, 104-115",37:25,24,4,9,7,8,1,4,5,5,29,39,34,34,10,anthony
2024-11-29,MIN,,LAC,"W, 93-92",36:01,21,4,9,3,5,2,2,4,3,21,28,24,25,7,anthony
2024-12-02,MIN,,LAL,"W, 109-80",26:57,13,1,5,1,2,0,7,7,3,8,18,11,15,10,anthony
2024-12-04,MIN,@,LAC,"W, 108-80",26:12,14,4,9,2,2,1,5,6,4,16,26,20,22,10,anthony
2024-12-06,MIN,@,GSW,"W, 107-90",34:57,18,4,10,4,4,0,4,4,9,30,43,39,34,13,anthony
2024-12-08,MIN,@,GSW,"L, 106-114",36:34,19,5,9,2,2,0,5,5,6,27,38,33,32,11,anthony
2024-12-13,MIN,,LAL,"W, 97-87",32:37,20,2,7,3,5,2,4,6,1,23,30,24,29,7,anthony
2024-12-15,MIN,@,SAS,"W, 106-92",28:28,21,3,7,3,3,0,5,5,2,26,33,28,31,7,anthony
2024-12-19,MIN,,NYK,"L, 107-133",33:36,16,3,7,0,0,0,5,5,7,17,29,24,22,12,anthony
2024-12-21,MIN,,GSW,"L, 103-113",39:05,20,4,11,3,4,1,6,7,5,19,31,24,26,12,anthony
2024-12-23,MIN,@,ATL,"L, 104-117",32:17,20,1,7,1,1,2,4,6,4,16,26,20,22,10,anthony
2024-12-25,MIN,@,DAL,"W, 105-99",39:13,24,4,7,0,0,1,7,8,5,26,39,31,34,13,anthony
