Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-16,MIN,@,DAL,W (+15),30:14,5,1,4,0,0,0,7,7,1,3,bridget
2025-05-18,MIN,@,LAS,W (+14),39:41,7,0,3,2,4,0,7,7,4,8,bridget
2025-05-21,MIN,,DAL,W (+4),32:41,10,1,4,0,0,2,4,6,3,9,bridget
2025-05-23,MIN,,CON,W (+6),35:01,11,2,11,0,0,0,2,2,3,6,bridget
2025-05-27,MIN,,SEA,W (+5),29:04,4,0,1,0,0,0,2,2,1,2,bridget
2025-05-30,MIN,@,PHO,W (+3),17:53,7,1,5,0,0,2,3,5,2,5,bridget
2025-06-01,MIN,@,GSV,W (+11),34:19,9,2,6,2,2,2,0,2,2,12,bridget
2025-06-03,MIN,,PHO,W (+23),23:08,3,1,3,0,0,0,3,3,3,3,bridget
2025-06-08,MIN,@,DAL,W (+16),33:45,6,2,4,0,0,1,4,5,2,8,bridget
2025-06-11,MIN,@,SEA,L (-10),35:08,6,3,4,0,0,1,0,1,1,11,bridget
2025-06-14,MIN,,LAS,W (+23),22:43,3,2,3,0,0,0,2,2,4,6,bridget
2025-06-17,MIN,,LVA,W (+14),33:42,6,1,4,2,2,2,4,6,4,7,bridget
2025-06-21,MIN,,LAS,W (+16),20:39,2,1,2,0,0,0,1,1,3,3,bridget
2025-06-24,MIN,@,WAS,L (-4),25:04,4,0,1,0,0,1,1,2,1,4,bridget
2025-06-27,MIN,@,ATL,W (+4),36:43,5,4,4,0,0,1,1,2,3,14,bridget
2025-06-29,MIN,,CON,W (+39),21:31,7,1,4,0,0,0,1,1,1,7,bridget
2025-07-03,MIN,,WAS,W (+17),27:47,7,2,3,0,0,1,2,3,2,8,bridget
2025-07-05,MIN,,GSV,W (+11),34:52,8,1,6,0,0,1,3,4,4,7,bridget
2025-07-06,MIN,,CHI,W (+5),25:55,4,0,2,0,0,2,3,5,2,0,bridget
2025-07-09,MIN,@,PHO,L (-8),34:11,11,2,7,0,0,2,0,2,4,10,bridget
2025-07-10,MIN,@,LAS,W (+9),27:39,3,0,1,0,0,1,2,3,6,4,bridget
2025-07-12,MIN,@,CHI,L (-6),25:32,4,0,1,2,2,0,4,4,1,6,bridget
2025-07-14,MIN,@,CHI,W (+13),30:02,8,3,6,0,1,2,3,5,2,11,bridget
2025-07-16,MIN,,PHO,W (+13),26:42,10,1,5,2,2,0,6,6,5,5,bridget
2025-07-22,MIN,,CHI,W (+23),31:17,8,3,7,0,0,2,3,5,0,11,bridget
2025-07-25,MIN,,LVA,W (+31),25:03,7,3,5,3,4,2,4,6,0,14,bridget
2025-07-27,MIN,,ATL,L (-4),16:57,3,0,0,0,0,1,3,4,1,0,bridget
2025-07-30,MIN,,NYL,W (+7),33:05,9,3,8,1,2,1,5,6,1,10,bridget
2025-08-02,MIN,@,LVA,W (+53),24:42,4,2,3,0,0,0,4,4,2,6,bridget
2025-08-05,MIN,@,SEA,W (+4),29:39,6,4,6,0,0,0,1,1,1,12,bridget
2025-08-08,MIN,,WAS,W (+4),21:29,2,0,1,0,0,0,6,6,3,2,bridget
2025-08-10,MIN,@,NYL,W (+12),21:57,4,1,3,0,0,0,2,2,1,3,bridget
2025-08-16,MIN,,NYL,W (+6),18:43,2,0,2,0,0,0,2,2,3,0,bridget
2025-08-19,MIN,@,NYL,L (-10),17:09,3,0,2,1,2,0,1,1,1,3,bridget
2025-08-21,MIN,@,ATL,L (-2),35:27,13,4,8,2,2,2,4,6,2,16,bridget
2025-08-22,MIN,@,IND,W (+5),33:04,7,1,4,0,0,2,3,5,0,7,bridget
2025-08-24,MIN,,IND,W (+13),31:05,5,1,2,0,0,2,2,4,1,7,bridget
2025-08-28,MIN,,SEA,L (-14),24:37,3,1,2,0,0,1,3,4,0,3,bridget
2025-08-30,MIN,@,CON,W (+24),22:35,2,0,1,0,0,1,3,4,1,0,bridget
2025-09-01,MIN,,DAL,W (+25),28:26,8,4,8,0,0,0,0,0,0,12,bridget
2025-09-04,MIN,@,LVA,L (-10),27:32,3,3,3,0,0,1,2,3,1,9,bridget
2025-09-06,MIN,@,GSV,W (+6),26:44,5,1,4,1,2,2,2,4,2,4,bridget
2025-09-09,MIN,@,IND,L (-11),24:48,4,0,1,0,0,0,3,3,2,4,bridget
2025-09-11,MIN,,GSV,W (+19),29:07,6,1,5,0,0,1,1,2,3,3,bridget
