Date,Tm,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,name
2025-05-16,MIN,@,DAL,W (+15),27:59,15,2,4,3,3,0,4,4,9,25,courtney
2025-05-18,MIN,@,LAS,W (+14),30:29,19,3,7,0,0,0,5,5,10,13,courtney
2025-05-21,MIN,,DAL,W (+4),33:22,13,1,4,2,2,1,4,5,7,13,courtney
2025-05-23,MIN,,CON,W (+6),26:02,11,0,4,0,0,2,3,5,3,0,courtney
2025-05-27,MIN,,SEA,W (+5),32:30,18,1,1,2,2,2,3,5,4,23,courtney
2025-05-30,MIN,@,PHO,W (+3),29:42,18,1,6,0,0,1,6,7,7,11,courtney
2025-06-01,MIN,@,GSV,W (+11),26:04,17,3,7,1,1,2,3,5,5,20,courtney
2025-06-03,MIN,,PHO,W (+23),21:50,6,0,0,0,0,0,4,4,5,6,courtney
2025-06-08,MIN,@,DAL,W (+16),16:44,8,1,1,0,0,0,2,2,8,5,courtney
2025-06-11,MIN,@,SEA,L (-10),19:38,1,0,0,3,4,0,3,3,6,3,courtney
2025-06-14,MIN,,LAS,W (+23),18:01,10,3,4,2,3,0,3,3,2,17,courtney
2025-06-17,MIN,,LVA,W (+14),31:59,23,2,5,2,4,1,3,4,5,20,courtney
2025-06-21,MIN,,LAS,W (+16),30:49,13,2,5,0,0,0,3,3,6,18,courtney
2025-06-24,MIN,@,WAS,L (-4),27:48,11,0,0,1,2,0,9,9,4,5,courtney
2025-06-27,MIN,@,ATL,W (+4),33:35,16,2,6,0,0,0,2,2,8,16,courtney
2025-06-29,MIN,,CON,W (+39),24:47,8,2,5,0,0,1,8,9,7,12,courtney
2025-07-03,MIN,,WAS,W (+17),26:24,8,0,0,0,0,0,6,6,8,10,courtney
2025-07-05,MIN,,GSV,W (+11),26:45,14,3,8,0,0,0,3,3,2,15,courtney
2025-07-06,MIN,,CHI,W (+5),31:25,17,2,5,3,3,1,7,8,6,25,courtney
2025-07-09,MIN,@,PHO,L (-8),31:44,18,1,2,2,2,1,5,6,5,21,courtney
2025-07-10,MIN,@,LAS,W (+9),32:57,16,2,6,0,0,0,5,5,7,16,courtney
2025-07-12,MIN,@,CHI,L (-6),37:43,15,1,5,2,2,1,7,8,8,13,courtney
2025-07-14,MIN,@,CHI,W (+13),35:54,16,2,7,2,2,1,7,8,7,18,courtney
2025-07-16,MIN,,PHO,W (+13),29:30,11,2,3,2,2,0,7,7,5,12,courtney
2025-07-22,MIN,,CHI,W (+23),30:45,11,0,1,4,5,0,1,1,7,10,courtney
2025-07-25,MIN,,LVA,W (+31),26:52,12,3,4,0,0,0,3,3,5,23,courtney
2025-07-27,MIN,,ATL,L (-4),34:29,12,1,4,0,0,0,1,1,9,11,courtney
2025-07-30,MIN,,NYL,W (+7),32:34,13,1,2,3,4,1,8,9,13,6,courtney
2025-08-02,MIN,@,LVA,W (+53),24:20,5,1,1,0,0,0,6,6,9,9,courtney
2025-08-05,MIN,@,SEA,W (+4),32:18,20,2,4,2,2,1,3,4,4,20,courtney
2025-08-08,MIN,,WAS,W (+4),29:34,13,0,2,0,0,0,2,2,5,14,courtney
2025-08-10,MIN,@,NYL,W (+12),25:10,18,0,2,0,0,1,4,5,7,14,courtney
2025-08-16,MIN,,NYL,W (+6),35:27,18,3,6,3,4,0,5,5,5,26,courtney
2025-08-19,MIN,@,NYL,L (-10),31:56,19,1,3,2,2,1,4,5,2,17,courtney
2025-08-21,MIN,@,ATL,L (-2),27:03,14,0,2,0,0,0,5,5,9,6,courtney
2025-08-22,MIN,@,IND,W (+5),13:29,5,0,2,0,0,0,4,4,1,2,courtney
2025-08-24,MIN,,IND,W (+13),26:33,11,3,5,1,1,1,1,2,10,14,courtney
2025-08-28,MIN,,SEA,L (-14),30:46,12,2,4,2,2,1,4,5,10,18,courtney
2025-08-30,MIN,@,CON,W (+24),31:34,11,3,3,0,0,1,7,8,4,15,courtney
2025-09-01,MIN,,DAL,W (+25),26:36,10,1,1,0,0,1,2,3,9,15,courtney
2025-09-04,MIN,@,LVA,L (-10),28:54,15,0,2,0,0,0,4,4,4,14,courtney
2025-09-06,MIN,@,GSV,W (+6),33:22,16,1,3,1,1,0,8,8,5,14,courtney
2025-09-09,MIN,@,IND,L (-11),25:27,13,0,2,0,0,1,4,5,5,8,courtney
2025-09-11,MIN,,GSV,W (+19),29:21,11,0,1,0,0,0,5,5,4,6,courtney
