Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,MIN,@,LAL,"L, 103-110",31:33,11,2,8,2,4,1,2,3,3,10,16,13,13,6,donte
2024-10-24,MIN,@,SAC,"W, 117-115",26:39,10,1,6,0,0,1,0,1,2,9,12,11,10,3,donte
2024-10-26,MIN,,TOR,"W, 112-101",23:21,15,4,11,2,2,0,2,2,2,16,20,18,18,4,donte
2024-10-29,MIN,,DAL,"L, 114-120",26:27,6,1,5,0,0,0,2,2,6,3,11,9,5,8,donte
2024-11-01,MIN,,DEN,"W, 119-116",24:56,7,2,7,1,2,1,7,8,6,7,21,13,15,14,donte
2024-11-02,MIN,@,SAS,"L, 103-113",27:52,7,3,5,1,1,1,1,2,2,14,18,16,16,4,donte
2024-11-04,MIN,,CHO,"W, 114-93",28:17,9,3,6,1,1,0,5,5,3,14,22,17,19,8,donte
2024-11-07,MIN,@,CHI,"W, 135-119",27:11,12,3,10,2,2,0,4,4,4,13,21,17,17,8,donte
2024-11-08,MIN,,POR,"W, 127-102",29:03,12,4,11,2,2,1,2,3,7,14,24,21,17,10,donte
2024-11-10,MIN,,MIA,"L, 94-95",29:16,9,2,7,0,0,1,5,6,2,8,16,10,14,8,donte
2024-11-12,MIN,@,POR,"L, 108-122",17:59,3,1,3,0,0,0,2,2,1,3,6,4,5,3,donte
2024-11-13,MIN,@,POR,"L, 98-106",21:58,10,0,6,0,0,0,3,3,3,2,8,5,5,6,donte
2024-11-15,MIN,@,SAC,"W, 130-126 (OT)",19:06,4,1,4,0,0,0,3,3,2,3,8,5,6,5,donte
2024-11-17,MIN,,PHO,"W, 120-117",25:43,11,5,10,0,0,0,1,1,3,15,19,18,16,4,donte
2024-11-21,MIN,@,TOR,"L, 105-110",30:06,12,3,9,0,0,0,2,2,4,11,17,15,13,6,donte
2024-11-24,MIN,@,BOS,"L, 105-107",28:54,8,3,6,0,0,0,3,3,2,11,16,13,14,5,donte
2024-11-26,MIN,,HOU,"L, 111-117 (OT)",21:17,5,0,4,1,2,0,1,1,3,3,7,6,4,4,donte
2024-11-27,MIN,,SAC,"L, 104-115",25:20,7,1,6,0,0,0,3,3,3,5,11,8,8,6,donte
2024-11-29,MIN,,LAC,"W, 93-92",21:43,6,3,5,0,0,0,2,2,5,9,16,14,11,7,donte
2024-12-02,MIN,,LAL,"W, 109-80",28:07,8,3,6,0,0,0,5,5,9,11,25,20,16,14,donte
2024-12-04,MIN,@,LAC,"W, 108-80",21:15,5,1,4,0,0,2,1,3,2,3,8,5,6,5,donte
2024-12-06,MIN,@,GSW,"W, 107-90",24:51,7,1,5,0,0,0,4,4,6,5,15,11,9,10,donte
2024-12-08,MIN,@,GSW,"L, 106-114",17:45,9,2,8,0,0,0,1,1,2,8,11,10,9,3,donte
2024-12-13,MIN,,LAL,"W, 97-87",19:54,4,1,3,0,0,0,3,3,2,3,8,5,6,5,donte
2024-12-15,MIN,@,SAS,"W, 106-92",20:11,7,1,5,0,0,0,5,5,2,7,14,9,12,7,donte
2024-12-19,MIN,,NYK,"L, 107-133",25:28,9,3,6,2,2,1,5,6,3,15,24,18,21,9,donte
2024-12-21,MIN,,GSW,"L, 103-113",25:33,12,3,6,2,3,1,3,4,4,19,27,23,23,8,donte
2024-12-23,MIN,@,ATL,"L, 104-117",19:11,8,2,6,2,2,1,2,3,3,8,14,11,11,6,donte
2024-12-25,MIN,@,DAL,"W, 105-99",24:41,10,3,7,0,0,0,3,3,1,11,15,12,14,4,donte
2024-12-27,MIN,@,HOU,"W, 113-112",36:37,12,6,10,2,2,0,4,4,4,22,30,26,26,8,donte
2024-12-29,MIN,,SAS,"W, 112-110",33:41,15,5,10,5,6,1,6,7,4,26,37,30,33,11,donte
2024-12-31,MIN,@,OKC,"L, 105-113",29:50,10,2,7,2,2,1,3,4,5,10,19,15,14,9,donte
2025-01-02,MIN,,BOS,"L, 115-118",28:35,5,3,5,3,3,0,3,3,3,12,18,15,15,6,donte
