Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,MIN,@,LAL,"L, 103-110",16:00,8,0,3,0,0,0,2,2,1,6,9,7,8,3,jaden
2024-10-24,MIN,@,SAC,"W, 117-115",27:29,9,0,4,2,2,2,0,2,3,6,11,9,8,5,jaden
2024-10-26,MIN,,TOR,"W, 112-101",33:27,5,1,1,0,0,1,2,3,2,9,14,11,12,5,jaden
2024-10-29,MIN,,DAL,"L, 114-120",34:38,11,1,3,0,0,3,1,4,4,13,21,17,17,8,jaden
2024-11-01,MIN,,DEN,"W, 119-116",26:16,7,2,4,0,0,0,0,0,1,10,11,11,10,1,jaden
2024-11-02,MIN,@,SAS,"L, 103-113",29:55,9,1,6,0,0,1,2,3,1,7,11,8,10,4,jaden
2024-11-04,MIN,,CHO,"W, 114-93",22:26,10,1,5,2,4,1,2,3,0,9,12,9,12,3,jaden
2024-11-07,MIN,@,CHI,"W, 135-119",33:05,7,3,3,4,4,0,2,2,0,19,21,19,21,2,jaden
2024-11-08,MIN,,POR,"W, 127-102",26:37,8,1,2,0,0,0,3,3,2,5,10,7,8,5,jaden
2024-11-10,MIN,,MIA,"L, 94-95",32:57,9,0,3,1,2,3,3,6,1,9,16,10,15,7,jaden
2024-11-12,MIN,@,POR,"L, 108-122",35:49,10,1,3,0,0,1,5,6,2,17,25,19,23,8,jaden
2024-11-13,MIN,@,POR,"L, 98-106",33:48,9,0,3,1,2,1,5,6,2,7,15,9,13,8,jaden
2024-11-15,MIN,@,SAC,"W, 130-126 (OT)",37:24,13,3,8,1,2,3,3,6,3,14,23,17,20,9,jaden
2024-11-17,MIN,,PHO,"W, 120-117",26:30,7,2,3,1,4,1,2,3,2,11,16,13,14,5,jaden
2024-11-21,MIN,@,TOR,"L, 105-110",41:47,15,2,6,4,4,2,5,7,3,22,32,25,29,10,jaden
2024-11-24,MIN,@,BOS,"L, 105-107",31:36,13,2,6,0,0,0,5,5,1,10,16,11,15,6,jaden
2024-11-26,MIN,,HOU,"L, 111-117 (OT)",40:15,16,1,8,0,0,3,2,5,2,9,16,11,14,7,jaden
2024-11-27,MIN,,SAC,"L, 104-115",23:58,3,0,2,0,0,0,2,2,2,0,4,2,2,4,jaden
2024-11-29,MIN,,LAC,"W, 93-92",24:49,6,1,3,2,2,2,1,3,5,11,19,16,14,8,jaden
2024-12-02,MIN,,LAL,"W, 109-80",22:34,3,1,2,0,0,0,2,2,0,3,5,3,5,2,jaden
2024-12-04,MIN,@,LAC,"W, 108-80",24:02,9,1,2,0,0,0,5,5,0,11,16,11,16,5,jaden
2024-12-06,MIN,@,GSW,"W, 107-90",29:32,11,2,5,0,0,2,1,3,2,10,15,12,13,5,jaden
2024-12-08,MIN,@,GSW,"L, 106-114",36:04,9,1,3,0,0,1,3,4,3,9,16,12,13,7,jaden
2024-12-13,MIN,,LAL,"W, 97-87",36:30,11,2,5,2,3,1,8,9,0,18,27,18,27,9,jaden
2024-12-15,MIN,@,SAS,"W, 106-92",27:37,10,2,2,2,2,4,7,11,1,12,24,13,23,12,jaden
2024-12-19,MIN,,NYK,"L, 107-133",24:16,8,2,6,0,0,0,6,6,3,8,17,11,14,9,jaden
2024-12-21,MIN,,GSW,"L, 103-113",35:07,12,1,4,1,2,5,2,7,2,10,19,12,17,9,jaden
2024-12-23,MIN,@,ATL,"L, 104-117",20:14,6,0,1,0,0,1,1,2,0,6,8,6,8,2,jaden
2024-12-25,MIN,@,DAL,"W, 105-99",34:36,7,1,2,0,0,3,3,6,2,5,13,7,11,8,jaden
2024-12-27,MIN,@,HOU,"W, 113-112",20:08,6,0,2,0,0,1,4,5,1,2,8,3,7,6,jaden
